id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,1,1,1,1,1,1,1,4,3,1
mh1,mh1,50.0,1,1,1,1,1,1,5,7,1,1
mh2,mh2,50.0,2,2,1,2,2,2,2,1,2,2
mh3,mh3,50.0,0,0,0,2,2,2,2,0,2,2
mh4,mh4,50.0,1,1,1,1,1,1,1,1,1,2
mnh0,mnh0,50.0,1,1,1,1,1,1,1,1,1,1
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1
mnh2,mnh2,50.0,1,1,1,2,1,1,1,3,1,1
mnh3,mnh3,50.0,1,1,1,1,2,2,2,10,2,2
mnh4,mnh4,50.0,1,1,1,1,2,2,2,1,2,4
mnh5,mnh5,50.0,1,1,1,3,2,2,2,1,2,2
mnh6,mnh6,50.0,1,1,1,2,2,2,2,1,2,3
mnh7,mnh7,50.0,3,4,1,1,1,1,1,6,1,5
mnh8,mnh8,50.0,1,1,1,1,1,1,1,1,1,1
mnh9,mnh9,50.0,1,1,1,1,1,1,1,1,1,1
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,1,1
mnh11,mnh11,50.0,1,1,1,1,1,1,1,1,1,1
mnh12,mnh12,50.0,1,1,1,1,1,1,1,1,1,2
mnh13,mnh13,50.0,1,1,1,1,1,1,1,1,1,1
mnh14,mnh14,50.0,2,1,1,1,1,1,1,1,1,1
lpsh0,lpsh0,1.0,1,1,6/8/9,2,2,2,2,6,2,2
lpsh1,lpsh1,1.0,1,1,1,1,1/2,1/2,1/2,1,2,2
lpsh2,lpsh2,1.0,0,0/1,4,0,0,0,0,0,2,0
lpsh3,lpsh3,1.0,1,1,1,1,1,0,0/1,1,1,1
lpsh4,lpsh4,1.0,1,1,1,2,2,2,2,4,2,2/3
lpsh5,lpsh5,1.0,1,1,1,1,1,1/2,1,0/1,1,1
lpsh6,lpsh6,1.0,0,0,0,0,0,0,0,0,1,0
lpsh7,lpsh7,1.0,1,1,1,1,1,1,1,1/2,1,1
lpsnh0,lpsnh0,1.0,1,1,1,1,2,3,3,13/15,2,2/5
lpsnh1,lpsnh1,1.0,1,1,1,1,1,1/2,1,1,1,1
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1,1,1,1,2
lpsnh3,lpsnh3,1.0,1,1,1,3,1,1,1,5,1,1
lpsnh4,lpsnh4,1.0,1,1,1,1,2,3,3,1,3,4
lpsnh5,lpsnh5,1.0,1,1,1,1/2,1,1,1,1,1,1
lpsnh6,lpsnh6,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh8,lpsnh8,1.0,1,1,1,1,1,1,1,1,1,2
lpsnh9,lpsnh9,1.0,1,1,1,1,1,1,1,1,1,1/2
lpsnh10,lpsnh10,1.0,1,2,1,1/5,1,1,1,1,3,3
lpsnh11,lpsnh11,1.0,1,1,1,1,1,1,1,1/4,1,2
lpsnh12,lpsnh12,1.0,1,1,1,1,1,1,1,1,1/2,1
lpsnh13,lpsnh13,1.0,1,1,1,1/2,2/3,2,2,5,2,2
lpsnh14,lpsnh14,1.0,1,1,1,1,1,1/4,1,1,1,1/5/6
lpsnh15,lpsnh15,1.0,1/2,2,1,1,1,1,1,5,1,4
lpsnh16,lpsnh16,1.0,1/2,1,1,1,1,1,1,1/3,1,1
lpsnh17,lpsnh17,1.0,1,1,1,1,1,1/2,1,1,1,1
lpsnh18,lpsnh18,1.0,1,1,1,1,1,1,1/2,1,1,1
lpsnh19,lpsnh19,1.0,1,1,1,1,1,2,2,1,1/3,1/3
lpsnh20,lpsnh20,1.0,2,2,1,2,2,2,2,1,2,2
lpsnh21,lpsnh21,1.0,1,1,1,2,1,1,1,1,1,1
lpsnh22,lpsnh22,1.0,1,1,1,6,1,1,1,1,1,1
lpsnh23,lpsnh23,1.0,1,1,1,1,1,1,1,3,1,1
lpsnh24,lpsnh24,1.0,1,1,1,1,1,1,1,5,1/2/3,1/4
lpsnh25,lpsnh25,1.0,1,1,1,1,1,1/2,1,1,1,3
lpsnh26,lpsnh26,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh27,lpsnh27,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh28,lpsnh28,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh29,lpsnh29,1.0,1,1,1,1,1/3,1/3,3,1,1,1
lpsnh30,lpsnh30,1.0,1,1,1,1,1,1,1,1,1,2
lpsnh31,lpsnh31,1.0,1,1,1/2,1,1,1,1,2,1,1
lpsnh32,lpsnh32,1.0,1,1,1,1,1,1,1,3,1,1
lpsnh33,lpsnh33,1.0,1,5,1,1,1,1,1,1,1,1
lpsnh34,lpsnh34,1.0,1,1,1,2/3,1,1,1,1,1,1
lpsnh35,lpsnh35,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh36,lpsnh36,1.0,1,1,1,1,1,1,1,1/2/3/4,1,1
lpsnh37,lpsnh37,1.0,1,1,1,1,1/3,4/5,4/5,1,3,3
lpsnh38,lpsnh38,1.0,1,1,2,1,1,1,1,1,1,1
lpsnh39,lpsnh39,1.0,1,1,1,3,3,3,3,1,3,3/4
lpsnh40,lpsnh40,1.0,1,1,1,1,1,1,1,7,2,2
lpsnh41,lpsnh41,1.0,1,1,1,1,1,2,1,1,1,1
lpsnh42,lpsnh42,1.0,1,1,1/3,1,1,1,1,5,1,1
lpsnh43,lpsnh43,1.0,1,1/2,1/5,1/4,1,1,1,1,1,1
lpsnh44,lpsnh44,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh45,lpsnh45,1.0,1,1,1,1,1,3,1,1,1,1
lpsnh46,lpsnh46,1.0,1,1,1,1,2/3,3,3,1,3,3
lpsnh47,lpsnh47,1.0,1,1,1/2,1,1,1,1,1,1,1
lpsnh48,lpsnh48,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh49,lpsnh49,1.0,1,1,1,3,1,1,1,1,1,1/2
lpsnh50,lpsnh50,1.0,1,1,2,1,1,1,1,1,1,1
lpsnh51,lpsnh51,1.0,1,1,1,1,1,1/2/3/4,1/2/3/4,1,1,1
lpsnh52,lpsnh52,1.0,2,1,1,1,1,1,1,1,1,1
lpsnh53,lpsnh53,1.0,1/2/3,1,1,1,1,1,1,1/4,1,1
lpsnh54,lpsnh54,1.0,1,1,1,1,1,1,1,25,1,1
lpsnh55,lpsnh55,1.0,1,1,1,1,1,1,1,1/2/3,1,1
lpsnh56,lpsnh56,1.0,1,1,7,3,3,3/4,3,9,3/5/6,3/5
lpsnh57,lpsnh57,1.0,1,1,1,1,1,1,1,1,1,1
lpmh0,lpmh0,1.0,1,1,1,1,1,1,1,1,1,1
lpmh1,lpmh1,1.0,1,1,1,0,0,0,0,1,0,0
lpmh2,lpmh2,1.0,1,1/2,1,1,1,1,1,5,1,1
lpmh3,lpmh3,1.0,1,1,1,1,0,0,0,9,0/3/4,3
lpmh4,lpmh4,1.0,1,1,1,1,1/9,1,1,1,1,8
lpmh5,lpmh5,1.0,1,1,1,1/9,3,3/6,3,25,3,8
lpmh6,lpmh6,1.0,1,1,1,6,6,0,0,1,6/9,9
lpmh7,lpmh7,1.0,0,0,0,0,0/2,0,0/2,0/14,5,0/11
lpmh8,lpmh8,1.0,1,1,1/5,1,1/2,1,1/2,6,2,2
lpmh9,lpmh9,1.0,1,1,1,2,2,2,2,1,2,5
lpmnh0,lpmnh0,1.0,1,1,1,1,1,1,1/2,7/12,3,6
lpmnh1,lpmnh1,1.0,3,3,1,1,1,1,1,1,1,1
lpmnh2,lpmnh2,1.0,1,1,1/3,2,1,1,1,4,1,1
lpmnh3,lpmnh3,1.0,1,1,1,3,1/3,4,1,1,1/3,3
lpmnh4,lpmnh4,1.0,1,1,1,1,1,1/2,1,1,1,1
lpmnh5,lpmnh5,1.0,1/4,3,1,1,1/5,1,1,1,1,5
lpmnh6,lpmnh6,1.0,1,1/2,1,1/3/5,3,1/3,1/3,1,3,4
lpmnh7,lpmnh7,1.0,1,1,1,1,1,1,1,3,1,1
lpmnh8,lpmnh8,1.0,1/2,1,1,1,1,1,1,4,1,1
lpmnh9,lpmnh9,1.0,1,1,1,1/5,1,1,1,1,4,4
lpmnh10,lpmnh10,1.0,1/2,2,1,1,1,1,1,7,1,1
lpmnh11,lpmnh11,1.0,2/3,2,1,1,1,1,1,1,1,6/7
lpmnh12,lpmnh12,1.0,1,1,1/12,3/5,4,4,4,11,4,4
lpmnh13,lpmnh13,1.0,1/2,1/2,1,1,1,1,1,1,1,1
lpmnh14,lpmnh14,1.0,3,2,1,1,1,1,1,1/7,4,4
lpmnh15,lpmnh15,1.0,2,1,1/13,1,1,4,4,14,1,5
