id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,0,6,5,5,5,0/5,0/13,5,7,5
lpsh1,lpsh1,1.0,8,4,1,1,1,1,0,1,1/5,1
lpsh2,lpsh2,1.0,6,1,3,5,0/1/2,1,6,5,3,0
lpsh3,lpsh3,1.0,1,1,1,1,1,1,1,1,1,1
lpsh4,lpsh4,1.0,1,1,1,1,1,2,0/5,1,3,1
lpsh5,lpsh5,1.0,0/1/4,1,1,1/3,1,1,1,1,1,1
lpsh6,lpsh6,1.0,4,1,1,1,1,1,0,1,2,1
lpsh7,lpsh7,1.0,1,1,3,1,1,1,1,1,1,6
lpsh8,lpsh8,1.0,1,0/4,2,2,1,2,0/12,2,2,6
lpsh9,lpsh9,1.0,11,0,0,0,0,0,15,0,0,0
lpsnh0,lpsnh0,1.0,1/6,4,4,4,4,4,1,4,4,4
lpsnh1,lpsnh1,1.0,1,3,1/10,1,1,8/9,1,1,1,12/13
lpsnh2,lpsnh2,1.0,1,1,3,7,1,1,8,6,3,6
lpsnh3,lpsnh3,1.0,30,13,25,2/28,2/3,2,1,2/28,23,2/29
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,5/6/7,1,1,1
lpsnh5,lpsnh5,1.0,1,7,11,1,3,1,1,1,13,1
lpsnh6,lpsnh6,1.0,1,3,7,8,3,5,1,5/8,3,5/10
lpsnh7,lpsnh7,1.0,8,1,4,1,1,1,1,1,5,1
lpsnh8,lpsnh8,1.0,1,3,6,4/11,1,2,1,4,4/5/6,4
lpsnh9,lpsnh9,1.0,8,1,1,1,1/2,1/3,1,1,1,1
lpsnh10,lpsnh10,1.0,12/13,2,7/9,10,2,2,11,10,2,2
lpsnh11,lpsnh11,1.0,9,1,3,1,1,1,10,1,4,1
lpsnh12,lpsnh12,1.0,1,1,5/6/7,1,1,3,1,1,1,1
lpsnh13,lpsnh13,1.0,5,1,1,4,1,1,1,1,2,1
lpsnh14,lpsnh14,1.0,1,1,1,5,1,1,1,2,1,6
lpsnh15,lpsnh15,1.0,16/17,3,5,8,2,4,1,8,4,4
lpsnh16,lpsnh16,1.0,1,2,5,6,2,1,1,1,1,1
lpsnh17,lpsnh17,1.0,1,3,3,3,3,3/4,1,3,3,6
lpsnh18,lpsnh18,1.0,1,11,16,17/15,11,15,1,15,16,15
lpsnh19,lpsnh19,1.0,21,10,4,4,1,4,1,4,4/14,4
lpsnh20,lpsnh20,1.0,1,1,5,1,1/2,1,1,1,1,13
lpsnh21,lpsnh21,1.0,21/25,1,6,1,1,1,1,1,1,1
lpsnh22,lpsnh22,1.0,1,4,2,7,1,1,1,7,2,1
lpsnh23,lpsnh23,1.0,17,5,6,14,5,5/6,1,14,6,6
lpsnh24,lpsnh24,1.0,19,5,8,15,2,2/6,1,15,3,3
lpsnh25,lpsnh25,1.0,7,5,5,5,5,5,1,5,5,5
lpsnh26,lpsnh26,1.0,1,2,5,1/6,2,1,1,1/6,1,1
lpsnh27,lpsnh27,1.0,7/8,2,3,3/4,2,3,1,3/4,3,3
