id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,3,1,1,9,9,1,0,3,3,10
mh1,mh1,50.0,0,1,1,1,1,1,5,3,0,18
mh2,mh2,50.0,2,12,1,1,1,0,1,2,2,1
mh3,mh3,50.0,1,0,9,1,5,1,0,4,1,1
mh4,mh4,50.0,1,1,9,9,9,1,1,4,4,0
mnh0,mnh0,50.0,2,7,16,7,7,7,13,5,6,7
mnh1,mnh1,50.0,5,1,1,1,1,15,1,12,12,1
mnh2,mnh2,50.0,1,12,10,21,19,13,18,1,1,20
mnh3,mnh3,50.0,1,13,13,15,27,13,14,7,5,18
mnh4,mnh4,50.0,2,1,1,1,1,4,1,2,2,1
mnh5,mnh5,50.0,1,1,1,1,17,5,1,3,3,1
mnh6,mnh6,50.0,1,1,1,1,1,1,14,2,2,15
mnh7,mnh7,50.0,2,1,23,1,1,1,20,6,2,22
mnh8,mnh8,50.0,4,1,1,18,17,10,16,4,6,18
mnh9,mnh9,50.0,5,24,24,24,24,24,28,1,1,24
mnh10,mnh10,50.0,1,11,1,1,13,1,1,4,1,1
mnh11,mnh11,50.0,1,5,19,5,5,11,5,2,2,16
mnh12,mnh12,50.0,1,8,19,11,18,6,5,1,1,13
mnh13,mnh13,50.0,2,1,1,1,1,1,10,4,4,13
mnh14,mnh14,50.0,5,22,24,25,26,18,1,9,5,24
lpsh0,lpsh0,1.0,2,17,11,19,19,11,11,1,4,20
lpsh1,lpsh1,1.0,4,19,0,0,16,0,19,15,4,20/21
lpsnh0,lpsnh0,1.0,1,1,1,18,1,8/9,14,5,6,1
lpsnh1,lpsnh1,1.0,2,8,1,9,1/9,1,7,2,2,9
lpsnh2,lpsnh2,1.0,1,10/11,1,1,1,8,1,3,1,13/15
lpsnh3,lpsnh3,1.0,1,4/5,9,1/6,1,1,4,2,2,7
lpsnh4,lpsnh4,1.0,1,1,13,16,13,12,1,10,1,13
lpsnh5,lpsnh5,1.0,3,1,21,21,28,4,1,3,3,21
lpsnh6,lpsnh6,1.0,2,5,9/10,1,1,1/3,6,2,2,1
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,1,4,4,1
lpsnh8,lpsnh8,1.0,1,11,16/17,13,1,1/10,11/12,4,6,1
lpsnh9,lpsnh9,1.0,3,10,1,20,1,1,11,5/6,3,21
lpsnh10,lpsnh10,1.0,1,1,1,1,1,1,5,1,1,1
lpsnh11,lpsnh11,1.0,2/3,1,1,11,1,1,7,4,4/5,16
lpsnh12,lpsnh12,1.0,2,4,1,1,15,1/3,6,1,1,1
lpsnh13,lpsnh13,1.0,1,1,8,11,9,7,1,1,1/2/6,11
lpmh0,lpmh0,1.0,1,0,0,24/25,21,14,19,4,6/7,21
lpmh1,lpmh1,1.0,6/8,17,1,22,27,14,17,6,9,21
lpmnh0,lpmnh0,1.0,1,8,9,13,9,1,7,1,5/6,18
lpmnh1,lpmnh1,1.0,1,6,1,12,13,4/5,6/7,2,1/3,10
lpmnh2,lpmnh2,1.0,2,10,10,16,14,10,10,8,8/9,14
lpmnh3,lpmnh3,1.0,1,18,24,24,29/30,9,18,5/6,3/7,26
lpmnh4,lpmnh4,1.0,1,24/25/15,26,15,15,21,23,12,13,15
lpmnh5,lpmnh5,1.0,1,17,28/29,7,26,10,17,6,4,23/24
lpmnh6,lpmnh6,1.0,7,17/19,28,1,1/27,13,17,10,10,25
lpmnh7,lpmnh7,1.0,2,28/31,15,15,40,25,28,14,4,36
lpmnh8,lpmnh8,1.0,2,28,1,31,1,27,28,12,12,1/31
lpmnh9,lpmnh9,1.0,3/5,1,21,21,21,1/15,1,10,9/11,21
lpmnh10,lpmnh10,1.0,19,1,57,40,51,35,1,21,20,41
lpmnh11,lpmnh11,1.0,1,29/30,31,40,31,12/13,27,11,1,31
lpmnh12,lpmnh12,1.0,1,9,60,9,9,51,54,7,1,9/57
lpmnh13,lpmnh13,1.0,1,21,21,36,39,28/30,21,3/6,3,37
lphh0,lphh0,1.0,8,15,44,0,41,15,32/33,0,10/13,40
lphh1,lphh1,1.0,1,23,12,0,0,13/14,23,4,10,0
lphnh0,lphnh0,1.0,11,28,28,33,28,28,28,22,13,28
lphnh1,lphnh1,1.0,2,155,179,171,177,89,155,68,80,171
lphnh2,lphnh2,1.0,62,1,81/95,85,93/94,76/78,79,62,62,89/91
lphnh3,lphnh3,1.0,8,35/31,43,44,52,28,32,9/10,15,49/51
lphnh4,lphnh4,1.0,1/9,98,34,108,223,37,97/95,18,24,219
lphnh5,lphnh5,1.0,4/9,92,116,101,112,25,85,18/22,18,101
lphnh6,lphnh6,1.0,3,51,72,66,69,40,55,30,34,67
lphnh7,lphnh7,1.0,1,18,11,11,35,11,27,6,10,30
lphnh8,lphnh8,1.0,1,20,62/63,48,61,23,44,17,8,58
lphnh9,lphnh9,1.0,3,17,53,50,37,15,33/30,6,8,47
lphnh10,lphnh10,1.0,6/7,57,72,59,36/71,36,53,31,11,67
lphnh11,lphnh11,1.0,1,19/22,26,26,26,1,19,4,9,26
lphnh12,lphnh12,1.0,2,75,76,78,76,65,74,10,46,81
lphnh13,lphnh13,1.0,3,13,1,27,1,10,15,6,3,16
lnpsh0,lnpsh0,1.0,4,26,17,27,17,0,26,14,10,29
lnpsh1,lnpsh1,1.0,1,8,8,13,13,8,8,3,4,14
lnpsh2,lnpsh2,1.0,1,3,10,8,3,3,3,1,1,0
lnpsh3,lnpsh3,1.0,0,0,0,0,0,4,0,1,1,0
lnpsh4,lnpsh4,1.0,1,1,1,1,27,1,1,20,21,1
lnpsh5,lnpsh5,1.0,1,1,8,10,8,0,1,2,1,13
lnpsh6,lnpsh6,1.0,3,8,8,8,8,8,0,3,4,14
lnpsh7,lnpsh7,1.0,4,8,6,6,6,7,8,4,4,13
lnpsh8,lnpsh8,1.0,2,25,9,0,38,10,25,0,7,34
lnpsh9,lnpsh9,1.0,0,1,10,0,7,4,0,0,0,0
lnpsnh0,lnpsnh0,1.0,1,6,10,18,11,1,9,2,2,19
lnpsnh1,lnpsnh1,1.0,1,1,1,1,1,28,1,16,18,1
