id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,1,1,1,1,1,1,7,1,8,13
mh1,mh1,50.0,1,1,1,1,4,1,1,3,0,13
mh2,mh2,50.0,1,1,1,13,1,9,1,1,1,13
mh3,mh3,50.0,1,3,0,1,1,1,1,1,1,1
mh4,mh4,50.0,0,0,0,0,4,0,7,0,0,12
mnh0,mnh0,50.0,1,1,1,12,1,9,4,3,7,12
mnh1,mnh1,50.0,1,6,2,1,2,1,9,2,25,29
mnh2,mnh2,50.0,1,1,1,1,1,5,10,1,12,1
mnh3,mnh3,50.0,3,3,6,22,6,21,13,6,18,22
mnh4,mnh4,50.0,9,15,9,23,10,20,1,9,1,1
mnh5,mnh5,50.0,1,1,1,1,1,8,7,1,19,1
mnh6,mnh6,50.0,1,4,1,13,3,1,1,1,10,13
mnh7,mnh7,50.0,2,1,1,11,1,1,6,1,9,19
mnh8,mnh8,50.0,1,2,2,18,6,12,1,4,7,17
mnh9,mnh9,50.0,2,2,2,20,2,1,1,2,19,20
mnh10,mnh10,50.0,1,4,5,9,5,1,1,5,7,9
mnh11,mnh11,50.0,1,4,3,1,3,6,5,1,1,1
mnh12,mnh12,50.0,4,4,4,15,4,1,7,4,1,15
mnh13,mnh13,50.0,2,1,1,1,5,8,1,1,7,14
mnh14,mnh14,50.0,1,1,1,1,1,11,7,4,9,13
lpsh0,lpsh0,1.0,4,4,4,1/10,4,7,7,5,0/9,1/10
lpsh1,lpsh1,1.0,4,11,0,1,0,18,13,4/6/8,15,1/19
lpsh2,lpsh2,1.0,1,0/1,0,1,0,10,1,0,7,1
lpsh3,lpsh3,1.0,1,1,1/6,1/12,1,1,7/8,5,1,1
lpsh4,lpsh4,1.0,0,0,0,18,0,17,14,0,16,18
lpsh5,lpsh5,1.0,1,1,1,0,1,21,6,1,0,23
lpsnh0,lpsnh0,1.0,1,1,1,34,1,1,31,1,32,34
lpsnh1,lpsnh1,1.0,1,10,1/4,1,6/9,16/15,12/14,3,12,1
lpsnh2,lpsnh2,1.0,1,1,1,27,1/2,4,21,1,4/25,26
lpsnh3,lpsnh3,1.0,6,6,6,1,6,1,1,6,1,1
lpsnh4,lpsnh4,1.0,2,2,2,10,2,7,4/5,2,4/6,10
lpsnh5,lpsnh5,1.0,2,1,1,11,3,9,8,1,9,13
lpsnh6,lpsnh6,1.0,1,1,1,1,1,1/53,52,1/3,1,1
lpsnh7,lpsnh7,1.0,2/3,5,2/4,1,2,10,6,2,9,1
lpsnh8,lpsnh8,1.0,3,3,3/6/10,28,6/12,13,24,6/9,13,28
lpsnh9,lpsnh9,1.0,1/3,1,1,33,1,25,24,17,1,33
lpsnh10,lpsnh10,1.0,2/3,3,3/4,6,5,21,13,3,7,6
lpsnh11,lpsnh11,1.0,2/3,5,5,1,5,11,9/10,5,7,12
lpsnh12,lpsnh12,1.0,1,1,1,15,4,1,1,1,1,15
lpsnh13,lpsnh13,1.0,1,1,1,1,3,1/12,9,1,1,1
lpsnh14,lpsnh14,1.0,1,1,1,19,1,1,1/5,1,11,18
lpsnh15,lpsnh15,1.0,3,3,3,1,3,1/14,1,7,12,17
lpsnh16,lpsnh16,1.0,2,2/3/4,2,1,2,1/12,1,2,6,1
lpsnh17,lpsnh17,1.0,2,2,2,17,2,6,13,3,16/15,1
lpsnh18,lpsnh18,1.0,1,1,1,12,1,1/10,4,1,9,12
lpsnh19,lpsnh19,1.0,3,1,1,1/9,1/4,7,7,1,7,1
lpsnh20,lpsnh20,1.0,1,1,1,15,1,2,14,1,2,15
lpsnh21,lpsnh21,1.0,1/3,4,3,8,6,7,7,3,7,8
lpsnh22,lpsnh22,1.0,1,5/7,1,26,2/3,15,13,1,16,26
lpsnh23,lpsnh23,1.0,1,4/5,1,1,1,1,7,1,10,1
lpsnh24,lpsnh24,1.0,1,1,1,8,1,1,6,1,1,8
lpsnh25,lpsnh25,1.0,2,2,4,21,4,1,13,6,16,21
lpsnh26,lpsnh26,1.0,5/6,1,1,10,1,12,11,9,11,10
lpsnh27,lpsnh27,1.0,1/2,1,1,18,7/12,1,16,4,1,18/20
lpsnh28,lpsnh28,1.0,7,7,7,1,7/12,16/1,13,7,15,1
lpsnh29,lpsnh29,1.0,1,2,1,7,6,8,11,1,12,7
lpsnh30,lpsnh30,1.0,1,3,1,1,1,10,10/13,1/2,10,1
lpsnh31,lpsnh31,1.0,1,1,1/12,30,14/15,1,22,5/10,26,30
lpsnh32,lpsnh32,1.0,1/2/3,1,1,11,5,1,7,1/4,8/9,11/14
lpsnh33,lpsnh33,1.0,1/2,6,1,1,1,7,7,3,8,1
lpsnh34,lpsnh34,1.0,1,1,1,1,4,1,5,1/3,1,1
lpsnh35,lpsnh35,1.0,1/2,1,1,1/10,5,6,8,1,6/9,1/10
lpsnh36,lpsnh36,1.0,2/3,1,5,1,5,1/9,7,1,8,1
lpsnh37,lpsnh37,1.0,1,1/12/13,2,17,8/10,1,1,4,16/14,18
lpsnh38,lpsnh38,1.0,1,1,1,13/15,1,1,6,1,1,13
lpsnh39,lpsnh39,1.0,1,1/3,1,1,1,18,12,2,14,1
lpsnh40,lpsnh40,1.0,1,1,1,11,3,6/8,1,2,1,11
lpsnh41,lpsnh41,1.0,1,23,2/3,1/37,22,1/34,30,17,1,37
lpsnh42,lpsnh42,1.0,1,1,1,1,2,17,1/13,9,1,20
lpsnh43,lpsnh43,1.0,1/2/3,1,1,1,1,12,11,1,1,1
lpmh0,lpmh0,1.0,1,1,1/4,1,1,1,10,1/2,1,1
lpmh1,lpmh1,1.0,1,1,0,1,0,1,1,1,3,1
lpmh2,lpmh2,1.0,2,1,0/4,24,5,7,0,1,0,25
lpmh3,lpmh3,1.0,1/3,9,1,17/18,1,1,1,8,1,17
lpmh4,lpmh4,1.0,0,0/9,0,41,0,37,27,0,0,43
