id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,4,6,1,1,1,4,4,4,4,4
lpsh1,lpsh1,1.0,29/45,40,0/1,0,1,43,29,36/38,32/29,34
lpsh2,lpsh2,1.0,1,1,1,1,1,1,3/4,1,1,1/2
lpsh3,lpsh3,1.0,0/8,12,1,24,2,0,12,13,12,21
lpsh4,lpsh4,1.0,0,0,0,0,0,10,6,4/5,0,4
lpsh5,lpsh5,1.0,11,0,0,1,1,0/4,0,6,0/5,6
lpsh6,lpsh6,1.0,8,3,0,12,0,3,3/4,3,3,3
lpsh7,lpsh7,1.0,5,20,1,1,1,21,7,7,5,7
lpsnh0,lpsnh0,1.0,1,11,2,1,1,1,9,1,1,1
lpsnh1,lpsnh1,1.0,7,5,1,1,1,3,3,3,3,3
lpsnh2,lpsnh2,1.0,17,11,1,1,1,6,11,6,6,6
lpsnh3,lpsnh3,1.0,28/31,21/8,3/4,1,1,27,8,19,8,20
lpsnh4,lpsnh4,1.0,2,4,1,1,1,2,2/4,2,3,2
lpsnh5,lpsnh5,1.0,29,20,1,31,30,1,1,2,1,6
lpsnh6,lpsnh6,1.0,1,1,1/2,1,21/15,1,1,4,1,4
lpsnh7,lpsnh7,1.0,4,16,1,1,1,4,9,4/6,4,5
lpsnh8,lpsnh8,1.0,2,21,1,1,1/22,2,2,9,8,9
lpsnh9,lpsnh9,1.0,1,6/9,1,1,1,10,6/8,1,1,5
lpsnh10,lpsnh10,1.0,24,21/22,4,1,1,1,10,7/9,1,1
lpsnh11,lpsnh11,1.0,4,11,1/2,1,3,7,7,8,4,8
lpsnh12,lpsnh12,1.0,40,26,1,1,1,29,8,6,3/5,6
lpsnh13,lpsnh13,1.0,25,9,1,1,1,11/12,1/3,1,1,1
lpsnh14,lpsnh14,1.0,10,2/7,1,1,2,2,2,5,2,5
lpsnh15,lpsnh15,1.0,20,15,1,1,1,1,13,7,1,7
lpsnh16,lpsnh16,1.0,1,6,1,1,1,1/7,6,1,2,1
lpsnh17,lpsnh17,1.0,8,1,1,14,1,5,1,3/4,1,4
lpsnh18,lpsnh18,1.0,12,1,1,1/14,1,1,1,6,2,6
lpsnh19,lpsnh19,1.0,11,4,1,1,1,2,2,2,2,2
lpsnh20,lpsnh20,1.0,17,4,1,1/18,2,15,4/9,4,5/6,4
lpsnh21,lpsnh21,1.0,11,8,1,1,1,1,4,1/3,1,1
lpsnh22,lpsnh22,1.0,1,14,8,22,18,1,14,1,1,1/12/13
lpsnh23,lpsnh23,1.0,32,17,1/2,1,1,30/31,17,7,3,7/9
lpsnh24,lpsnh24,1.0,1,7,1,10/11,1,1,7,1/5,1,1
lpsnh25,lpsnh25,1.0,8,3,1,1,1,5,2,2,2,2
lpsnh26,lpsnh26,1.0,9,6,1,1,1,6,6,6,6,6
lpsnh27,lpsnh27,1.0,5,10/11,1,21,3,13/14,8,5,5,5
lpsnh28,lpsnh28,1.0,8,4,1,1,1,6,1,2,1,2
lpsnh29,lpsnh29,1.0,53,42,1,1,1,43,1,8,1,8
lpsnh30,lpsnh30,1.0,3,3,1,3,3,3,3,3,3,3
lpsnh31,lpsnh31,1.0,1,21,1,1,1,1,16,14,1,14
lpsnh32,lpsnh32,1.0,1,1,6,1,1,18,1,1,10/14,1
lpsnh33,lpsnh33,1.0,7,4,1,1,1,2,4,2,3,2
lpsnh34,lpsnh34,1.0,70,25/27,1,1,72,6,6/24,18/23,6/12,20
lpsnh35,lpsnh35,1.0,1,16,1,1,19,1,1,8,1,12
lpsnh36,lpsnh36,1.0,13,25,1,28,2,26,21,19/20,13,19
lpsnh37,lpsnh37,1.0,10,4,1,1,13/14,8,4,4,4,7
lpsnh38,lpsnh38,1.0,23,18,1,28,1,20/21/9,9,9,10,14
lpsnh39,lpsnh39,1.0,2,9,1,1,1,1,9,1,3,7
lpsnh40,lpsnh40,1.0,17,24/26,2,1,28,27,17,17,17,20/21
lpsnh41,lpsnh41,1.0,4,11,1,1/14,13,4,4,4,4,4
lpsnh42,lpsnh42,1.0,13,2,1,1,1/14,11,2,7/8,2/3,10
lpsnh43,lpsnh43,1.0,5,8,1,2,1,11,8,7,4,7
lpsnh44,lpsnh44,1.0,17,8,1,1,1,11,8,3,4,7
