id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,37,37,37,0,50,34,48,35,48,34
lpsh1,lpsh1,1.0,1,9,5,1,1,4,13/15,2,21,4
lpsh2,lpsh2,1.0,2,0,1,20,25,1,23,1,0,1
lpsh3,lpsh3,1.0,5,1,0,1,1,3,8,2,1,3
lpsh4,lpsh4,1.0,1,2/6,4/5,26/27,22,0,23,1,0,0/1
lpsh5,lpsh5,1.0,1/7,0,1,16,1,4/5,14,6,1,4
lpsnh0,lpsnh0,1.0,13,18,17,41,36,9,34,12,36/38,9
lpsnh1,lpsnh1,1.0,1,21,1,30,1,9,1,18,23,1
lpsnh2,lpsnh2,1.0,6,22,13,33,25/26,4,7,3,32,1
lpsnh3,lpsnh3,1.0,20,36,15,15,15,9,38,12,38,7
lpsnh4,lpsnh4,1.0,1/17,21,1,33,26,7,26,15,26,7
lpsnh5,lpsnh5,1.0,8,8/11/12,8,24,30,3,24,7,32,6
lpsnh6,lpsnh6,1.0,19,25,21,17,28,12,44,15,28,12/13
lpsnh7,lpsnh7,1.0,17,34,31,31,31,10,44,12,31,11
lpsnh8,lpsnh8,1.0,1,12,1,23,16,2,16,6,16,1
lpsnh9,lpsnh9,1.0,1,15,11,1,1,1,17,1,1,1/5
lpsnh10,lpsnh10,1.0,13,13,13,17,17,11,23,11/12,17,11
lpsnh11,lpsnh11,1.0,1,9,12,9,9,4,9,6,13,4/5
lpsnh12,lpsnh12,1.0,24,32,1,39,39,5/9,41,19,39,5
lpsnh13,lpsnh13,1.0,1/12,16,13,13,19,9,17,1,20,2/10
lpsnh14,lpsnh14,1.0,1,1,1,50/53,50,5,51,1,50,5
lpsnh15,lpsnh15,1.0,1,1,21,30,30,4,38,18,44,4
lpsnh16,lpsnh16,1.0,1,25/27,22,31,42,8,40,19,42,1
lpsnh17,lpsnh17,1.0,1,11,1,14,18,2,39,1/4,42,2
lpsnh18,lpsnh18,1.0,1,12,1,27,28,7,28,8,28,7
lpsnh19,lpsnh19,1.0,15,19,19,21,26,5/7,33,12,37,5
lpsnh20,lpsnh20,1.0,1,17,1,21,21,9/10,21,2/14,21,7
lpsnh21,lpsnh21,1.0,15,1,16,19,22,6,21,13,23,5
lpsnh22,lpsnh22,1.0,1,52/53,43,1,1,40,61,34,1,40
lpsnh23,lpsnh23,1.0,1,16,16,16,17,4,20,11,23,4/9
lpsnh24,lpsnh24,1.0,1,11,1,12,12,8/9,13,2,12,5
lpsnh25,lpsnh25,1.0,10,12,12,10,10,6,26,6,33,6
lpsnh26,lpsnh26,1.0,1,1,1/8,15,15,3,15,5,15,3
lpsnh27,lpsnh27,1.0,23,29,28,103,95,19,100,20,95,18
lpsnh28,lpsnh28,1.0,13,1,1,128/137,128,11,128,9,133,11
lpsnh29,lpsnh29,1.0,1,1,1,1,1,8,1,19/13,26/28,8/11
lpsnh30,lpsnh30,1.0,1,32,1,34,34,22,34,29/30,34,22
lpsnh31,lpsnh31,1.0,1/8,11,11,20,14,7,14,6,18,6/7
lpsnh32,lpsnh32,1.0,1/7,1,1,1,1,2,12,3/6,1,1/2
lpsnh33,lpsnh33,1.0,1,1/11,1,12,12,3,12,9,17,3
lpsnh34,lpsnh34,1.0,10,10,10,28,17,8,19,5,25,8
lpsnh35,lpsnh35,1.0,31,28,34,49,46,19/20,45,27,47,7
lpsnh36,lpsnh36,1.0,1/7,22/23,9/10,41,41/44,3/6,43,2,41,2
lpsnh37,lpsnh37,1.0,9/10,11,11,12,27,5,25,5/6/7,12,5
lpsnh38,lpsnh38,1.0,1,30,1/21,1/49,1,7,43,18/19,48/47,3
lpsnh39,lpsnh39,1.0,47,1,48/49,1,1,6,56,45,1,1
lpsnh40,lpsnh40,1.0,1,13,1,76,48,6,48,1,48/52,3
lpsnh41,lpsnh41,1.0,1,39,1,1,46,14,51,36,46,13/14
lpsnh42,lpsnh42,1.0,1,50,21,67,53,4/8,56,20,63,4/7
lpsnh43,lpsnh43,1.0,1,1,20,25,25,1,32,13,25,1
lpmh0,lpmh0,1.0,18,0,25,37,31,2,33,13/15,0,10
lpmh1,lpmh1,1.0,19,34,0,20,41/42,6/7,20,0,63,10
lpmh2,lpmh2,1.0,19,28,1,44,0,10,0,16,38,10
lpmh3,lpmh3,1.0,0,32,0,0,52,12,56,23,52,11
lpmh4,lpmh4,1.0,8,16,12/13,39,39,2,60,3,65,0/2
lpmh5,lpmh5,1.0,0,0,19,36,43,3,43,16,48,5
lpmh6,lpmh6,1.0,0,0,37,0,78,12,69,36,0,12
lpmnh0,lpmnh0,1.0,9/10,23,21,31,31,2,31,3,36,2
lpmnh1,lpmnh1,1.0,26,1,56,72/73,59,10,66,22/25,59,14
lpmnh2,lpmnh2,1.0,19,1,38,75,75,1,80,5,75,1
lpmnh3,lpmnh3,1.0,41,40/43,40,181,65,35,61,38,178,35
lpmnh4,lpmnh4,1.0,26,38,37,25,42/43,20,25/41,5,42,17/21
lpmnh5,lpmnh5,1.0,124,138,133,165,157,49/57,155,113,159,58
lpmnh6,lpmnh6,1.0,1,27,21,41,30,12,39,18,30,10/12
