id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,18,11,1,14,3,17,17,18,3,0
mh1,mh1,50.0,9,6,1,1,1,1,22,1,3,1
mh2,mh2,50.0,0,1,1,2,1,2,2,0,1,18
mh3,mh3,50.0,10,1,18,1,1,1,1,16,6,14
mh4,mh4,50.0,25,3,1,1,1,1,31,30,3,29
mnh0,mnh0,50.0,25,10,1,1,16,1,1,1,1,1
mnh1,mnh1,50.0,24,10,1,1,15,18,18,24,10,24
mnh2,mnh2,50.0,14,1,1,12,11,12,12,16,1,14
mnh3,mnh3,50.0,19,11,1,19,16,20,28,19,7,19
mnh4,mnh4,50.0,15,3,1,1,11,12,12,12,1,27
mnh5,mnh5,50.0,13,3,1,1,1,12,13,13,8,18
mnh6,mnh6,50.0,1,6,1,1,11,13,17,1,6,1
mnh7,mnh7,50.0,1,1,1,1,1,16,1,1,9,18
mnh8,mnh8,50.0,24,11,1,20,19,20,20,20,8,20
mnh9,mnh9,50.0,63,10,66,1,61,62,1,1,7,65
mnh10,mnh10,50.0,23,6,1,1,20,1,1,22,6,22
mnh11,mnh11,50.0,17,2,1,21,8,10,10,19,4,10
mnh12,mnh12,50.0,1,2,1,1,1,5,1,16,2,1
mnh13,mnh13,50.0,22,14,1,1,3,18,1,19,3,19
mnh14,mnh14,50.0,27,3,29,3,6,19,12,12,3,12
lpsh0,lpsh0,1.0,43/46,7,1,42,39,43,43,43,2,49/43
lpsh1,lpsh1,1.0,0,5,0,32/22,20,0,0,30,18,28
lpsh2,lpsh2,1.0,12,2/4,1,2,2,2,2,17,2,7/13
lpsh3,lpsh3,1.0,20,0/6,1,1,14,18/19,16,20,5,23/24/25
lpsh4,lpsh4,1.0,11,1,1,1,3,6,6,6,1,6
lpsh5,lpsh5,1.0,0,1/3,1,1,1,9,14,9,1,11
lpsh6,lpsh6,1.0,18,1/3,1,9,8,15,15,15,2,15
lpsh7,lpsh7,1.0,17,0,0,0,10,0,25,12,4,24
lpsh8,lpsh8,1.0,108,2,1,8,5/7,0,9,0,2,0
lpsh9,lpsh9,1.0,18,3/4/6,0,1,7,0,1,1,1,20
lpsnh0,lpsnh0,1.0,23,9/10,1,1,15,16/17/18,26,19,7/8,24/25
lpsnh1,lpsnh1,1.0,4,5,1,4,4,4,4,17,5,4
lpsnh2,lpsnh2,1.0,20,1,1,1,12,15,14,14,1,14
lpsnh3,lpsnh3,1.0,1,16,1,1,18,1,48,42,16,41
lpsnh4,lpsnh4,1.0,13,2,1,24,11,12,19/13,13,2,18
lpsnh5,lpsnh5,1.0,20,2/6,1,2,7,2,2,2,4,23/24/25/26
lpsnh6,lpsnh6,1.0,16/14/15,2,1,7,3,7,7,14,2,22
lpsnh7,lpsnh7,1.0,27,3,1,1,26,28,27/30,27,3,27
lpsnh8,lpsnh8,1.0,19,3,1,3,3,18,38,19,3/5,33
lpsnh9,lpsnh9,1.0,32,23,1/35,2,29,30,2/30,2,27,34
lpsnh10,lpsnh10,1.0,17,7/10,1,1,1/2,1,1,43/44,3/4,40
lpsnh11,lpsnh11,1.0,3/5,1,1,3,1/2,3,15,3,1,9
lpsnh12,lpsnh12,1.0,17,7,1,1/22,14,1,17,17,7,18
lpsnh13,lpsnh13,1.0,33,8,1,18,15,21,19,19/38/39,6,36
lpsnh14,lpsnh14,1.0,23,14,1,1,16,17,17,20,7/9,19
lpsnh15,lpsnh15,1.0,1,3,14,1,4,8/9,1/13,1,2,11
lpsnh16,lpsnh16,1.0,4,14,1,4,15,4,21,4,11/13,19
lpsnh17,lpsnh17,1.0,15,11,1,1,2,15,19,15,9,15
lpsnh18,lpsnh18,1.0,23,19/14,1,20,1,23/24,23,33,14,23
lpsnh19,lpsnh19,1.0,9,5,1,1,1,8,8,18,5,16
lpsnh20,lpsnh20,1.0,27,15,1/34,13,17,20,33,13,15,31
lpsnh21,lpsnh21,1.0,24,7,1/31,2,2,13,2,29,5,15
lpsnh22,lpsnh22,1.0,25/26,5/6,1,1,10,23/24,23,23,2,23
lpsnh23,lpsnh23,1.0,44,8,1,1/50,43,44,49,47,8,44
lpsnh24,lpsnh24,1.0,20,7,1,3,14,17/15,3,3,10,22
lpsnh25,lpsnh25,1.0,14,2,1,2,10,2,22,20,2,2
lpsnh26,lpsnh26,1.0,1,12,26,1,19,1/23,1,1,12,1
lpsnh27,lpsnh27,1.0,26,10,1,1/2,12,18,1,19,9,59
lpsnh28,lpsnh28,1.0,17,12,1,1,16/15,1,17,18,10,17
lpsnh29,lpsnh29,1.0,106,70/71,112/1,2,80,91,111,2,59,108
lpsnh30,lpsnh30,1.0,25,18/12,1/34,26,21,25,32/33/25,31,16/17/15,29
lpsnh31,lpsnh31,1.0,21,10,1,3,3/13,3,3,3,7,24
lpsnh32,lpsnh32,1.0,35,14,1,3,20,25,63,47,10,40/41/42
lpsnh33,lpsnh33,1.0,21,15,1,19,17/18,5,5/21,21,15,23
lpsnh34,lpsnh34,1.0,1,14,1,1,15,18,1,1,9,23
lpsnh35,lpsnh35,1.0,1,1,1,1/8,6,1,16/1,1,1/3,13/15
lpsnh36,lpsnh36,1.0,24,9,1,31,20,22,22,28/29,17,24
lpsnh37,lpsnh37,1.0,28,10,1,16,13,17,17,34,5,32/33
lpsnh38,lpsnh38,1.0,28,6,1,22,21,1,33,32/31,18,27
lpsnh39,lpsnh39,1.0,11,4,1,1,1,7,1,22,1,19
lpsnh40,lpsnh40,1.0,56,42,1,52,1,1,54/59,54,22,58
lpsnh41,lpsnh41,1.0,1,1,1,1,1,1,1,13,6,1
lpsnh42,lpsnh42,1.0,22,5,1,1,11/14,19,16,24,1,16
lpsnh43,lpsnh43,1.0,1,22,1,1,23/26,28,1,1,22,32
lpsnh44,lpsnh44,1.0,20,10,1,16,12,16,16,20,6,20
lpsnh45,lpsnh45,1.0,2,6,1,2/19,18,2,2/19,27,2,2
lpsnh46,lpsnh46,1.0,14/15,1,1,1,1,7,6,20/6,1/3,18
lpsnh47,lpsnh47,1.0,135/138,124,1,133,2/126,135,135,135,121/122,141
lpsnh48,lpsnh48,1.0,9,1,1,1/3,1,5,5,6,2,18
lpsnh49,lpsnh49,1.0,1,4,1,23,13,1,22,1,1,1/17
lpsnh50,lpsnh50,1.0,16,5/6,1,1,10,11,11,11,5,21
lpsnh51,lpsnh51,1.0,26/14,3,1,13,1,23,32,14,7,29
lpsnh52,lpsnh52,1.0,11,6,1,6,6/9,11,11,11,6/7,11
lpsnh53,lpsnh53,1.0,1,13,1/37,35/36,1,1,34,1,5/6,27
lpsnh54,lpsnh54,1.0,17,6,1,10,1,12/13/14,43,15,2,40
lpsnh55,lpsnh55,1.0,56,22/40,1,5,42,53/54/55,53,53,39,53
lpsnh56,lpsnh56,1.0,13,4,1,1,7,9,8,1,4,15
lpsnh57,lpsnh57,1.0,37,3,1,43,28,35,35,42,3/4,39
lpsnh58,lpsnh58,1.0,86,74,1,80,1,88,86,104,72,100
lpsnh59,lpsnh59,1.0,1,25,1,1,1,33,1,1/36,29,1
lpsnh60,lpsnh60,1.0,20/22,17,1,7,7,21,20,20,14,39
lpsnh61,lpsnh61,1.0,13,6/8,24,1/23,2,10,1,1,6,19
lpsnh62,lpsnh62,1.0,37,23,42,24,1,28,39/24,24,22,38
lpsnh63,lpsnh63,1.0,26,3,36,1,1,12,35/12,12,3,32
lpsnh64,lpsnh64,1.0,37,16,1,1,23/25,27,29,41/29,16,29
lpsnh65,lpsnh65,1.0,23,7,1,1,14,20,24,21,5,21
lpsnh66,lpsnh66,1.0,31,17/20,49,48/4,27,4,43,4,17,41
lpsnh67,lpsnh67,1.0,50,4/5,1,1,41,1,73,68,4,65
lpsnh68,lpsnh68,1.0,1,7,1,1,1,1,1,1,5,21
lpsnh69,lpsnh69,1.0,20,16,33,1,19,20,20,30,12,26
lpmh0,lpmh0,1.0,29,7,1,1,8,11,33,31,0/5,30
lpmh1,lpmh1,1.0,26,20,1,1,21/24,1,40,26,1,37/39
lpmh2,lpmh2,1.0,83,62,1,1,1,68,96,89,64,70
lpmh3,lpmh3,1.0,56,0,1,63,13,19,17,62,5/7,59
lpmh4,lpmh4,1.0,28/30,11,42,12,2,0/12,12,38/39/40,11,0
lpmh5,lpmh5,1.0,44,28,0,38,0/35,40,0/49,0,26,46
lpmh6,lpmh6,1.0,45,18,0,0,25,42,53,45,0,45
lpmh7,lpmh7,1.0,74,29,1,1,1,72,0,78,21,0
lpmh8,lpmh8,1.0,54/55,14,58,16,9,21,16,53,10,53
lpmh9,lpmh9,1.0,62,24/25,1,73,35,43,71,69,23,67
lpmnh0,lpmnh0,1.0,49,25,1,4,28,33/34,35,43,18,43
lpmnh1,lpmnh1,1.0,40/41,11/12/13/15,1/58,1,19,22,22,56,4,49
lpmnh2,lpmnh2,1.0,25,9,1,15,11/13,18,40,38,2,35/36
lpmnh3,lpmnh3,1.0,50/52,30,62,5,42,43,59,5,20,56
lpmnh4,lpmnh4,1.0,23,13,1,1,15,22,23,27,8,26
lpmnh5,lpmnh5,1.0,48,30,1,14,14,45,48,48,28,48
lpmnh6,lpmnh6,1.0,23,5,1,1,12/14,19,1,37,1,26
lpmnh7,lpmnh7,1.0,44/46,18,1,1,37,1,48,1,7,47
lpmnh8,lpmnh8,1.0,57,6,60,2,36,40,40,40,2,40/58
lpmnh9,lpmnh9,1.0,42,26,1,1,34/35/36,41,45,44,13,42
lpmnh10,lpmnh10,1.0,1,6,1/21,1,9/10,11/12,20,1,3,1/18
lpmnh11,lpmnh11,1.0,23,11,1,1,16/15,1,1,1,9,1
lpmnh12,lpmnh12,1.0,33,11,1,3,23,3,47,3,15,40
lpmnh13,lpmnh13,1.0,57/58,3,1,69/47,46,47,48,67,45,65
lpmnh14,lpmnh14,1.0,55,18,1,4,41,44,46,46,19,46
lpmnh15,lpmnh15,1.0,45,9,1,17,15,19,48,37,5,37
lpmnh16,lpmnh16,1.0,65,8,1,1,57,1,77,61,2,71
lpmnh17,lpmnh17,1.0,84,18,1,89,78,1,83,84,9,86
lpmnh18,lpmnh18,1.0,23,4,76,8,7,14,74,73,1,64
lpmnh19,lpmnh19,1.0,40,9,1,1,32,36,45,38,9,44
lpmnh20,lpmnh20,1.0,42,13,1/77,2/76,18,2,75,21,2,21
lpmnh21,lpmnh21,1.0,52,18,61,13,27,13/31,59/60/13,33,16,33
lpmnh22,lpmnh22,1.0,35,25,1/40/41,1/39,1,28/29,32,32,1,37/38
lpmnh23,lpmnh23,1.0,20,8,1,1,9,14,14,14,6,28/29
lpmnh24,lpmnh24,1.0,41,16/18,1,5,6,25,47,26,10,44
lpmnh25,lpmnh25,1.0,106,71,1/116,1,87,89,92,107,7/8,112/113
lpmnh26,lpmnh26,1.0,6/11,2,1,5,2,9,14,6,2,6
lpmnh27,lpmnh27,1.0,32/31,16,1,2/23/24,22,27,25,35,14,33/34
lpmnh28,lpmnh28,1.0,62,18,1,1,28,49/51,65,64,14,33
lpmnh29,lpmnh29,1.0,96,26/28,1,72,69,75,75,83,17/19,125
lpmnh30,lpmnh30,1.0,64,16,1,2,47,49,49,64,14,64
lpmnh31,lpmnh31,1.0,80,14,1/101,8,39,45/46,99,42,15,98
lpmnh32,lpmnh32,1.0,24,5,1,2/8,2/6,16,29,27,2,26
lpmnh33,lpmnh33,1.0,10,3/4,1,1,1,6,16,6,1,6
lpmnh34,lpmnh34,1.0,32,8,1,114,24,26,112,25/109,7,103/105/106
lpmnh35,lpmnh35,1.0,60,17/18,1,68/69,23,53,66/7,7,13,62
lpmnh36,lpmnh36,1.0,21,6,1,1,1,18,25,17,1,22
lpmnh37,lpmnh37,1.0,62,17,110,1,48,51,105,53/94,10,92
lpmnh38,lpmnh38,1.0,70,16,1,63,61,65,63,63,10,74
lpmnh39,lpmnh39,1.0,70/78,36,100,1/97,58,61/63,1,96,21,87
lpmnh40,lpmnh40,1.0,124,16,125,1,99,106,106,106,1/4,106
lpmnh41,lpmnh41,1.0,36,8,49/50,2,16/18,2,48/46,21,5/6,42/44
lpmnh42,lpmnh42,1.0,43/46,13,1,4,18,30,4,71,13,70
lpmnh43,lpmnh43,1.0,18,10,1,16,14,16,34,23,9,21
lpmnh44,lpmnh44,1.0,29,11,1,1/44,1,18,17,27,3/5,43
lpmnh45,lpmnh45,1.0,25,13,1,1,1,16,28,16,11,26
lpmnh46,lpmnh46,1.0,65,33,1,40,38,49,49,49,35,68
lpmnh47,lpmnh47,1.0,26,21,1,1,1,1,51,44/47,1,35/37
lpmnh48,lpmnh48,1.0,14,7,1/22/23,1,1,1,1,21/12,6,20
lpmnh49,lpmnh49,1.0,18/19,12/14,27,6,6,6,6/24,23,6,22
lpmnh50,lpmnh50,1.0,149,11,1/156,13,1,21,18,18/153,1,152
lpmnh51,lpmnh51,1.0,2,8,1,38,2,11,2,35,6,2
lpmnh52,lpmnh52,1.0,56,12,1,2,25,35,35,48,2,47
lpmnh53,lpmnh53,1.0,35,15,1,1,30,33,41,1,7,39
lpmnh54,lpmnh54,1.0,26,18,1,26,23,28,32,26,6,31
lpmnh55,lpmnh55,1.0,51/52,33,1/55,3,4,47,54,48,21,48
lpmnh56,lpmnh56,1.0,36,17,1,1,23,26,27,27,16,40
lpmnh57,lpmnh57,1.0,55,44/46,1,1,49,53,64,1/61/62,32/31,59
lpmnh58,lpmnh58,1.0,29,18,1,3,23,31,29,29,16,47
lpmnh59,lpmnh59,1.0,31,19,1,41,26,27,40,27,17/15,38
lpmnh60,lpmnh60,1.0,47,6,1,1,33,1,60,36,9,50
lpmnh61,lpmnh61,1.0,55,27,1,40,38,47,57,48,27,48
lpmnh62,lpmnh62,1.0,98,17,1,22,1,24,25,22,16,105
lpmnh63,lpmnh63,1.0,22,3,1,31,9,16/19,16,21,3,25
lpmnh64,lpmnh64,1.0,25/26,13,1,2,16,19,21,21,3,29
lpmnh65,lpmnh65,1.0,38,5,1,1,1,25,46/47,38,5,44
lpmnh66,lpmnh66,1.0,64/56,43,1,4,47,50,74,71/72,41,65
lpmnh67,lpmnh67,1.0,35,7,1,1,30,31,31,31,7,37
lpmnh68,lpmnh68,1.0,33,10,1,7,19,29,7,7,8,42
lpmnh69,lpmnh69,1.0,67,44,1,8,49,55,55,73,15,69
lphh0,lphh0,1.0,49,7,1,25,0,38/40,60,57,4,0
lphh1,lphh1,1.0,76,23,0/114,48,43/44,73,111,55,37,108
lphh2,lphh2,1.0,79,48,83,3,56,60,57,63,51/53,63
lphh3,lphh3,1.0,68,29,1/78,36,30,37,0/72,54,22,54
