id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,67,65,69,0,77,51,72,56,72,51
lpsh1,lpsh1,1.0,1,18/21/22,6,6/30,6,2,24,3,29,0
lpsnh0,lpsnh0,1.0,1,14,15,17/21,17,7,19,1,17/20,4
lpsnh1,lpsnh1,1.0,1,17,15,68,59,8,59,9,63,7
lpsnh2,lpsnh2,1.0,1,13,8,16,21,1,30,4,33,1
lpsnh3,lpsnh3,1.0,1,42,1,71,94,6,91,10,77,1
lpsnh4,lpsnh4,1.0,19,26/27,22,35,45,12,41,15,48,12/13
lpsnh5,lpsnh5,1.0,1,20,1,31,24,8/10/11,1,16,24,2
lpsnh6,lpsnh6,1.0,13,32,17,41,55,6,52,4,104,4/8
lpsnh7,lpsnh7,1.0,34/35,51/55,36/38,57,62,21,61,26,66,21
lpsnh8,lpsnh8,1.0,22,30,1,46,49,7,56,20,49,7
lpsnh9,lpsnh9,1.0,8,8/13,8,56,58/60,2,56,1,71,2
lpsnh10,lpsnh10,1.0,20,27/28,1,33,46,6,42,11,48,6
lpsnh11,lpsnh11,1.0,24,48,42,51,68,7,62,16/15,70,7
lpsnh12,lpsnh12,1.0,1,11,10,14,20/14,6,14,8,21,4
lpsnh13,lpsnh13,1.0,25,44,37,26,48,16,52/53,22,54,17
lpmh0,lpmh0,1.0,24,31,43,45,53,19,55,15,0,16
lpmh1,lpmh1,1.0,76,96/97/94/95,77,116,0,18,129/131,50,0,20
lpmnh0,lpmnh0,1.0,1,28,28,155/157,147,23,151,24/25,144,23
lpmnh1,lpmnh1,1.0,50,64,61,147,107,9/10,104,49,140,9
lpmnh2,lpmnh2,1.0,107/108,110,107,149,126,71,132,101,146,29
lpmnh3,lpmnh3,1.0,29,39,33,123,100,17,97/99,20/23,112/117,17
lpmnh4,lpmnh4,1.0,30,52,35,129,122,25,117,26,125,25
lpmnh5,lpmnh5,1.0,71,81,78/79,88,96,21,119,42,125,20
lpmnh6,lpmnh6,1.0,45,56,48,77,68,37,67,3/43,70/71,29
lpmnh7,lpmnh7,1.0,59,66,47,69,77/78,34/38,69/71,46,83,30
lpmnh8,lpmnh8,1.0,219,237,223,244,248,193,275/276,203,248,195
lpmnh9,lpmnh9,1.0,84,80,80,92,106,50,100/103,69/72,122,57
lpmnh10,lpmnh10,1.0,1,32,35,88,75/76,28,64,1,80,20
lpmnh11,lpmnh11,1.0,26,1,1,104,52,20,48,22,103,20/21
lpmnh12,lpmnh12,1.0,24,31,29,67,72,19,69,1,73,16/17
lpmnh13,lpmnh13,1.0,86,93,91,283,262,59,260,70,274,59
lphh0,lphh0,1.0,151,160,152,247/248,196,80,192,144,246,80
lphh1,lphh1,1.0,184,216,0/189,252,0,143,244,173,246,143
lphnh0,lphnh0,1.0,1,55,49,100,90,21/22,78,43/44,92,15
lphnh1,lphnh1,1.0,84,92,102,165,148,51,146,80,162,54
lphnh2,lphnh2,1.0,89,107,111,225,154,82,153,45,189,77/78
lphnh3,lphnh3,1.0,253,280,274,402,336,173,341,218,350,174
lphnh4,lphnh4,1.0,56,87,69,253,214/218,48,206,50,246,39
lphnh5,lphnh5,1.0,33,48/54,46,109,64,12,101,16,105,14
lphnh6,lphnh6,1.0,103,123,102,243,127,55/56/57,214,98,235,39
lphnh7,lphnh7,1.0,197,236,208,263,242/248,32/31,246,187,260,34/35/27
lphnh8,lphnh8,1.0,87,108,101,662,379/380,47,372,62,385,29
lphnh9,lphnh9,1.0,264,271,267,277,307,80,304,259,281,76
lphnh10,lphnh10,1.0,107/108,203,114,451,246,43,261,96/97/99,404/414,33/44
lphnh11,lphnh11,1.0,1/98,147,145,232,207,10,202,95,210,11
lphnh12,lphnh12,1.0,78,114/110,90/91,258,187,16,182,33,243/244,21
lphnh13,lphnh13,1.0,51/55,68,78,158/159,112/109/111,13,103,38,121,32
lnpsh0,lnpsh0,1.0,24,34,27,37,38,13,37,20,39,13
lnpsh1,lnpsh1,1.0,20,24,23,35,35,8,38,18,35,8
lnpsh2,lnpsh2,1.0,17,9,27,0,56,6,55,1,57,2
lnpsh3,lnpsh3,1.0,1,1,1,36,41,3,38,11,0,2
lnpsh4,lnpsh4,1.0,1,53,1,74,72,24,62,41,73,0
lnpsh5,lnpsh5,1.0,1,24,0,38,27,7,34,0,27,5
lnpsh6,lnpsh6,1.0,16,35,31,42,42,6,42,1,49,3
lnpsh7,lnpsh7,1.0,0,35,34,0,0,3,47,7,0,0
lnpsh8,lnpsh8,1.0,15,22,26,0,0,0,46,10,0,0
lnpsh9,lnpsh9,1.0,39,42,41,238,46,32,45,36,236,35
lnpsnh0,lnpsnh0,1.0,115,125,122,135,131,46,126,94,131,47
lnpsnh1,lnpsnh1,1.0,15,15,15,16,22,12,20,14,22,12
lnpsnh2,lnpsnh2,1.0,31,42,38,46,49,6,58,29,66,3
lnpsnh3,lnpsnh3,1.0,7,15,14,33,29,2,25,6,32,2
lnpsnh4,lnpsnh4,1.0,1,53,52,46,60,31,57,42,58,30
lnpsnh5,lnpsnh5,1.0,8,19,13,37,30,6,30,7,35,3
lnpsnh6,lnpsnh6,1.0,30,27,39,50,45,14,47,25,45,20
lnpsnh7,lnpsnh7,1.0,1,32,1,35,56,19,55,24,57,19
