id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,1,4,1,17,40,62,0,55,51,64
lpsh1,lpsh1,1.0,39,21/24,15,29,0,0/44,74,1,1,1
lpsh2,lpsh2,1.0,1,4,1/2,6,6,0,41,19,0,0
lpsh3,lpsh3,1.0,26,2,9,23/15,21,61,69,61,60,0/73
lpsnh0,lpsnh0,1.0,1/14,9,9,11,11,29/30,31,23/26/27,34,36/21
lpsnh1,lpsnh1,1.0,18,2,2,8,12,19,28,25,19,46
lpsnh2,lpsnh2,1.0,1,14,16/14,26,30,48,36/55,40,36,36
lpsnh3,lpsnh3,1.0,12,8,8,8,8,218,231,209,237,12
lpsnh4,lpsnh4,1.0,15,7,7,5,5,54,55,52,22,22
lpsnh5,lpsnh5,1.0,22/23,5/11,9,13,20,34,39,33,24,49
lpsnh6,lpsnh6,1.0,15,3,1,10,12/13,32,34,28,20/37,40
lpsnh7,lpsnh7,1.0,21/23,10,10,14,14,52/47,80,49/50/51,47,47
lpsnh8,lpsnh8,1.0,10,1/3,1,1/9,8,10,22,20/21,23,13
lpsnh9,lpsnh9,1.0,1,2,7,13,13,60,28,34,28,28
lpsnh10,lpsnh10,1.0,19,10,10,6,15,45,33,38/42,50,33
lpsnh11,lpsnh11,1.0,11,2,2,2/10,9,53,58,39,11,60
lpsnh12,lpsnh12,1.0,9,2,2,8,1,23/26,13/30,13,10,31
lpsnh13,lpsnh13,1.0,30,1,6,15,23,44,67,57,44,70/44
lpsnh14,lpsnh14,1.0,37,16,16,20,21,63,65,41/43,41,67
lpsnh15,lpsnh15,1.0,1,10,18,23/24,21,25,25,26,25,25
lpsnh16,lpsnh16,1.0,24,1,3,22,19,70,75,49,79,79
lpsnh17,lpsnh17,1.0,2,1,1,1,1,11,16,4/6,17,17
lpsnh18,lpsnh18,1.0,18,2,6,7,16,25,28,19/20,19,19
lpsnh19,lpsnh19,1.0,20,6,6,1,14,65,68,60,69/25,71/25
lpsnh20,lpsnh20,1.0,1,7/10/11,12,37,37,46,46,64,43,43
lpsnh21,lpsnh21,1.0,11,1,1,5,6,18,21,16,14,27/29
lpsnh22,lpsnh22,1.0,25,12,17/18,20/22,20/21,28,35,1/29,1,41/42
lpsnh23,lpsnh23,1.0,15,2,5,1,6,23,19,18/15,15,25/15
lpsnh24,lpsnh24,1.0,21,1,8/9,1,1,29/30,56,26,58,21
lpsnh25,lpsnh25,1.0,1,1,3,11,11,21,12,17,24,12
lpsnh26,lpsnh26,1.0,50,44,42/43,42,46,50,50,57,62/63,75
lpsnh27,lpsnh27,1.0,17,8,3/6,14,14,34,85,55,90,90/92
lpsnh28,lpsnh28,1.0,32,2,2/3,5/7,8,39,46,28,28,47
lpmh0,lpmh0,1.0,23,17,13,21,22,30,0,0,26/42,46
lpmh1,lpmh1,1.0,31,19,18,0,28,66,108,79,112/111,117
lpmh2,lpmh2,1.0,33,1,10,14,31,42,46,39,35,50
lpmh3,lpmh3,1.0,35,9,19,27,31,0/101,103,50,36,36
lpmh4,lpmh4,1.0,50,34,38,44,0,0,77,0,79,0
lpmnh0,lpmnh0,1.0,144,116,116,138,136,168,185,162,193,196
lpmnh1,lpmnh1,1.0,64/69,10,15,55,59,101,70,95,103,102
lpmnh2,lpmnh2,1.0,97,27,34,88/62,87,129,185,120,202,203
lpmnh3,lpmnh3,1.0,76,30,52,59,57,117,126,112,138,152
lpmnh4,lpmnh4,1.0,54,21,18,43,43,81,115,71,120,135
lpmnh5,lpmnh5,1.0,58,1,10,50/51,55,74,74,81,85,74
lpmnh6,lpmnh6,1.0,46,28/29,23,30,40,86,89,74,94,100
lpmnh7,lpmnh7,1.0,58/59,4,12/13,56,54,158,160,145,162,169
lpmnh8,lpmnh8,1.0,58,34,18,57,54,92,95,81/82,67,67
lpmnh9,lpmnh9,1.0,68,5,9,62,66,102,109,81,112/115,1
lpmnh10,lpmnh10,1.0,248,1,30,235,232/234,279,283,275,270,285
lpmnh11,lpmnh11,1.0,38,21,18,33,37,55,145,50,149,150
lpmnh12,lpmnh12,1.0,89/90,13,16,64,77,92,125,108,137,139
lpmnh13,lpmnh13,1.0,86,55,52,57,58,101,92,97,106,108
lpmnh14,lpmnh14,1.0,1,17,33,63,56,83,83,79,73/89,96
lpmnh15,lpmnh15,1.0,71,8/14,13,47,69,81,117,72,118/120,135
lpmnh16,lpmnh16,1.0,74/75,5,5,56,60/61,119,121,116,124,126
lpmnh17,lpmnh17,1.0,1/268,222,213/216,264,249/255,281,285,278,309,276
lpmnh18,lpmnh18,1.0,23,2/10,9,2,2,75,83,55,29,85/29
lpmnh19,lpmnh19,1.0,62,1,5/6,42,58,90,91,83,96/100,102
lpmnh20,lpmnh20,1.0,29,13,14,17,20,62,71,57,73,32/76
lpmnh21,lpmnh21,1.0,63,10,5,32,34,71,80,1,82,1
lpmnh22,lpmnh22,1.0,44,18,26,37,37,63,53,48/57,48,81
lpmnh23,lpmnh23,1.0,113,16,26,111,111,145,123,126,159,123
lpmnh24,lpmnh24,1.0,42,4,12,27,32,140,144,64/63,155,158
lpmnh25,lpmnh25,1.0,124,70/72,52,80,77,151,139,149,139,139
lpmnh26,lpmnh26,1.0,25,7,14,20,20,25,25,41,25,25
lpmnh27,lpmnh27,1.0,101,18,29,93,77,123,147/148/149,117,154,104
lpmnh28,lpmnh28,1.0,210,3,116,158,188,242,269/271,231,216,272
lphh0,lphh0,1.0,81,40,54,74,77/78,173,0,105/108,180,184
lphh1,lphh1,1.0,41,11,0,22/28,0/27,90,105,0,113,0
lphh2,lphh2,1.0,85,53,0,62,58,142/143,96,137,146/147,199
lphh3,lphh3,1.0,0,0,0,0,26,142,156,0,162,210
lphnh0,lphnh0,1.0,121,18,18,64/63,60,246,262,257,263/265,274
lphnh1,lphnh1,1.0,127,49,45,101,117,195/196,201,160/161,214,246
lphnh2,lphnh2,1.0,218,9,12,22,192,323,358,278,365,368
lphnh3,lphnh3,1.0,26,15,11,21,20,62,65/66,43,34,84
lphnh4,lphnh4,1.0,1,10,4/5,37,39,94,178,85,69,250/251
lphnh5,lphnh5,1.0,1/138,13,46,135/60,134,221,463,450,490/491,497/498
lphnh6,lphnh6,1.0,55,39,35,42,45,139,155/158,133,162,168
lphnh7,lphnh7,1.0,139,6,6,124,121,208,164,163,155,211
lphnh8,lphnh8,1.0,107/110,2/93,90/91/92,101,105,300,306/301,293/296,309,316
lphnh9,lphnh9,1.0,61/63,5,8,42,33/34/30,227/232/233,253,212,256/132,132
lphnh10,lphnh10,1.0,39/43,6,23,33/36,32,120,130,97,132,140/142
lphnh11,lphnh11,1.0,183,142,138/139,158,177,302,305,283,275,329
lphnh12,lphnh12,1.0,160,23,17,43,73,238,236,231,219,244
lphnh13,lphnh13,1.0,346,44,43,84,87,451,481,442,440,492
lphnh14,lphnh14,1.0,65,39,36,62,60/61,168,177,159,63,193
lphnh15,lphnh15,1.0,130,65,51,79,98,274,289,239,292,197
lphnh16,lphnh16,1.0,86,4,7,17/85,84,132,137/138,114,139,139
lphnh17,lphnh17,1.0,122,47,45/46,113,113,283/284,287,281,295,304/305
lphnh18,lphnh18,1.0,120,31,35,68,91,287,399,261,401,420
lphnh19,lphnh19,1.0,1,4,10,48,37,123,183,105/106,86,187/189
lphnh20,lphnh20,1.0,1/148,59,55,146,145,197/198,200,187,210/213,210
lphnh21,lphnh21,1.0,71,14,14,45,50,298,314/316,291,283/317,319
lphnh22,lphnh22,1.0,141,122/123,119,128,128,336,345,329,346,352
lphnh23,lphnh23,1.0,76,18/5,17,72,62,113,196,110,202,87
lphnh24,lphnh24,1.0,144,32,27/28,135,129,290,275,286,311,327
lphnh25,lphnh25,1.0,127,24,22,55,110/111,197,197,289,196,302
lphnh26,lphnh26,1.0,120,25,19,94,108,199,216,195,188,229
lphnh27,lphnh27,1.0,77,17,17,50,46,152,166,148,168,171
lphnh28,lphnh28,1.0,60,37,33,57,55,112,116,108/109,121,189
lnpsh0,lnpsh0,1.0,16,12,4,13,13,27,29,22,0,21
lnpsh1,lnpsh1,1.0,27,16,15,7,22,49,0,47,33,0
lnpsh2,lnpsh2,1.0,1,4,5,6,6,58,0,55,42,62
lnpsh3,lnpsh3,1.0,25,0,0,4,23,48,50,0,53,58
lnpsh4,lnpsh4,1.0,32,0,7,0,30,73,75,70,82,0
lnpsh5,lnpsh5,1.0,1,8,12,13,13,33,46,21,49,51
lnpsh6,lnpsh6,1.0,27,6,9,22,0,42,44,41,39,46
lnpsh7,lnpsh7,1.0,1,7,8,18,17,0,53,47,0,59
lnpsnh0,lnpsnh0,1.0,52,5,5,46,51,76,96,94,76,101
lnpsnh1,lnpsnh1,1.0,13,9,9,11,11,50,51,44,36,71
lnpsnh2,lnpsnh2,1.0,22,13,13,18,18,40,22,38,22,22
lnpsnh3,lnpsnh3,1.0,1,6,8,95,102,159,163,155,164,165
lnpsnh4,lnpsnh4,1.0,1,4,4,15,15,18,18,24,18,31
lnpsnh5,lnpsnh5,1.0,14,7,7,6,6,27,27,38,26,26
lnpsnh6,lnpsnh6,1.0,22,5,1,8,14,43,69,62,43,43
lnpsnh7,lnpsnh7,1.0,65,42,42,48,62,103,111,83,115,115
lnpsnh8,lnpsnh8,1.0,34,5,8,33,31,44,45,43,34,47
lnpsnh9,lnpsnh9,1.0,43,24,27,30,37,95,42,85,100,101
lnpsnh10,lnpsnh10,1.0,29,5,5,16,20,44,66,57,67,72
lnpsnh11,lnpsnh11,1.0,22,12,12,15,16,23,23,34,23,35
lnpsnh12,lnpsnh12,1.0,29,9,9,23,15,102,105,35,32,109
lnpsnh13,lnpsnh13,1.0,39,26,22,33,30,83,86,81,76,93
lnpsnh14,lnpsnh14,1.0,35,2,7,16,16,45,52,47,55,58
lnpsnh15,lnpsnh15,1.0,24,5,4,11,23,61,65,46,66,86
