id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,0,5,0,0,8,8,5,2,4,5
mh1,mh1,50.0,1,1,0,7,0,10,1,1,0,1
mh2,mh2,50.0,1,1,1,1,1,1,1,5,1,1
mh3,mh3,50.0,1,1,7,1,1,1,1,1,1,1
mh4,mh4,50.0,3,1,0,1,1,1,0,1,1,1
mnh0,mnh0,50.0,6,6,8,8,9,9,6,5,1,6
mnh1,mnh1,50.0,3,8,17,18,19,19,7,3,3,7
mnh2,mnh2,50.0,13,9,15,1,18,1,9,7,7,9
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,2
mnh4,mnh4,50.0,1,8,1,1,1,1,1,3,3,6
mnh5,mnh5,50.0,1,6,14,14,18,18,1,1,1,1
mnh6,mnh6,50.0,8,2,1,1,1,1,2,4,2,2
mnh7,mnh7,50.0,1,1,1,1,1,1,1,1,1,1
mnh8,mnh8,50.0,1,1,1,1,1,7,1,1,1,2
mnh9,mnh9,50.0,4,4,12,12,17,20,4,3,1,4
mnh10,mnh10,50.0,8,4,10,1,1,1,4,1,2,4
mnh11,mnh11,50.0,1,1,10,10,13,13,1,1,7,1
mnh12,mnh12,50.0,1,28,1,1,1,1,1,1,7,1
mnh13,mnh13,50.0,12,7,13,13,1,1,7,7,7,7
mnh14,mnh14,50.0,7,5,1,1,1,1,2,2,2,5
lpsh0,lpsh0,1.0,7,1,13,16,1,1,1/7,1,1,1/7
lpsh1,lpsh1,1.0,13,0,1,1/15,1,1,2,1,1,6
lpsnh0,lpsnh0,1.0,2/11,11,13,1,1,1,11,7,10,11
lpsnh1,lpsnh1,1.0,1/2,1,1,1,1,1,1/2,3,2,2
lpsnh2,lpsnh2,1.0,1,1,1/6,1,7,1,4,1,1,5
lpsnh3,lpsnh3,1.0,1/9,7,10,1,10,10,1,2,3,1
lpsnh4,lpsnh4,1.0,1,1,10,10,6,6/11,1,1,2/3,1
lpsnh5,lpsnh5,1.0,1,1/4,1,1,1,1,1,3,1,1
lpsnh6,lpsnh6,1.0,6,5,10,10/11,16/14/15,10,5,2,2,5
lpsnh7,lpsnh7,1.0,3,3,7,9,1,1,3,6,3,3
lpsnh8,lpsnh8,1.0,1,1,1,1,4,4,1,1,1,3
lpsnh9,lpsnh9,1.0,11,10,18,18,18,20/21,1,1,1,1/6
lpsnh10,lpsnh10,1.0,2,4,1,1,8,1,2,2,3,2
lpsnh11,lpsnh11,1.0,1,1,1,1,6,8,3,1,1,1
lpsnh12,lpsnh12,1.0,3,10,1,13,1,1,10,2,2/3,10
lpsnh13,lpsnh13,1.0,1/11,7/8,1/15,17/15,1,18,1,1,1,1
lpmh0,lpmh0,1.0,6,5,11,0,21,7,1,1,1,1
lpmh1,lpmh1,1.0,239,234,241,244,1/246,1,234,1/2,230,235
lpmnh0,lpmnh0,1.0,1,1,8,9,11,11,1,1/3,1,5
lpmnh1,lpmnh1,1.0,4,3,5,5,7,8,2,2,2,2
lpmnh2,lpmnh2,1.0,3,3,9/12,9,9,9,3,3,5/6,3
lpmnh3,lpmnh3,1.0,19,17/15,22,20,28,20,1/10,5/6,9,1
lpmnh4,lpmnh4,1.0,20,13,24,24,24,24,14,7,11,13
lpmnh5,lpmnh5,1.0,11,9,1,17,19,1,9,5,5,9
lpmnh6,lpmnh6,1.0,3,8,20,22/24,1/25,1,8,4,4/7,15
lpmnh7,lpmnh7,1.0,2/21,2,39,43,44,47,2,2/4,18,2
lpmnh8,lpmnh8,1.0,35,32,37,43,37,37/46,29/30,20,27,1
lpmnh9,lpmnh9,1.0,3,11,16,18,22,22,8,3,7,3
lpmnh10,lpmnh10,1.0,2,30,1,1,32,48,2,2/3,2/4,7
lpmnh11,lpmnh11,1.0,7,4,8/10,8,11,1,1,1,1/2,3
lpmnh12,lpmnh12,1.0,13,10,15,15,1/17,1,1,1,3,1
lpmnh13,lpmnh13,1.0,2,2,16/15,18,19,24,2,2,6,2
lphh0,lphh0,1.0,1,1,0/1,1,1,24/25,1,0/5/6,12,14
lphh1,lphh1,1.0,15,1,0/24,17,25,25,1/10,4/5,7,14
lphnh0,lphnh0,1.0,31,24,36/39,41,47,49/47,1,16/13/15,1,23
lphnh1,lphnh1,1.0,6,1,16,17,13,13,1,2,2,1
lphnh2,lphnh2,1.0,7,7,25,25,18,26,7,10,12,7
lphnh3,lphnh3,1.0,37,7,80,82,76,83/84/76,7/11,8,2,13
lphnh4,lphnh4,1.0,2,15,1,22,23,1,2,3,4,2/5/6
lphnh5,lphnh5,1.0,12,11,21,17,1,1,5,5,5,5/10
lphnh6,lphnh6,1.0,28,26,31,34,35,31,16,9,8,23
lphnh7,lphnh7,1.0,31,30,42/46,47,50,54,17,15,16,21
lphnh8,lphnh8,1.0,12,19,27,33/34,24,24,12,12,18,12
lphnh9,lphnh9,1.0,16,3,18,1,1,1,3,8,3,12
lphnh10,lphnh10,1.0,2,2,21,21,21,21,7,2,4,16/18
lphnh11,lphnh11,1.0,14,1,17,21,1,1,1,7,9,1
lphnh12,lphnh12,1.0,16/17,12/14,20,20,24,22,8,6,3,10/11
lphnh13,lphnh13,1.0,7,17/21,1,31,1,1,7,7,13,7
lnpsh0,lnpsh0,1.0,0,1,1,0,1,1,1,1,1,1
lnpsh1,lnpsh1,1.0,0,0,4,4,0,5,0,0,0,0
lnpsh2,lnpsh2,1.0,0,7,0,0,0,0,0,0,0,0
lnpsh3,lnpsh3,1.0,3,3,7,7,7,11,3,3,3,3
