id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,5,1,1,1,3,1,3,3,1,1
lpsh1,lpsh1,1.0,3,1,1,1,2,1,2,2,1,1
lpsnh0,lpsnh0,1.0,2,1,3,3,1,2,1,1,1/2,2
lpsnh1,lpsnh1,1.0,1,1,1,1,1,1,1,1,1,2
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1/3,2,1,1,1
lpsnh3,lpsnh3,1.0,9,1,7,7,1,6/8,5,1,6,6
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,1,1,1,2
lpsnh5,lpsnh5,1.0,1,1,1,1,1,1,1/3,1,1,1/4
lpsnh6,lpsnh6,1.0,4,1,1,1/3,1,1,1,1,8,1
lpsnh7,lpsnh7,1.0,1/3,1,2,2,1,1,1,1,1,1
lpsnh8,lpsnh8,1.0,1,1,1,1,3,1,2,2,1,1
lpsnh9,lpsnh9,1.0,2,1/2,2,2,1,2/3,1,1,2,2
lpsnh10,lpsnh10,1.0,1,1,1,1,1,1,1/2,1,1,1
lpsnh11,lpsnh11,1.0,4,1,4,4,1,4,1,1,4,4
lpsnh12,lpsnh12,1.0,5,1,5,5,1/3/4,5,1,1,5,5
lpsnh13,lpsnh13,1.0,1/7,1,1,1,1,1,2/4,1,1,1
lpmh0,lpmh0,1.0,0,0,6,6,0,0,3,0,7,0
lpmh1,lpmh1,1.0,1,1,1,1,1,6,0,4,1,0/1
lpmnh0,lpmnh0,1.0,1,1,8,8,1,1,2,2,1/11,12
lpmnh1,lpmnh1,1.0,10,1,8,8,3/6,1,4,4,14,1
lpmnh2,lpmnh2,1.0,17,17,17,17,1,17/18/19,16,1,17,17
lpmnh3,lpmnh3,1.0,6/7,1,1,1,1,5,1,1,5,5
lpmnh4,lpmnh4,1.0,1,1,1,1,1,1/3,2,1,1,1
lpmnh5,lpmnh5,1.0,7,1,7,7,1,7,5,2,7,7/8
lpmnh6,lpmnh6,1.0,1,1,7,7,1/6,1,4,2,1,9/10
lpmnh7,lpmnh7,1.0,1,1,1,1,1,3/4/5,1,1,1,1
lpmnh8,lpmnh8,1.0,1,1/15,1,1,14,1,14,14,1,1
lpmnh9,lpmnh9,1.0,18,1,18/19,18/19,1,18,1,17,18,18
lpmnh10,lpmnh10,1.0,1,1,1,1,2,9,2,2,12,5
lpmnh11,lpmnh11,1.0,6,1,1,1,4,6,4,4,12,6
lpmnh12,lpmnh12,1.0,1,1,2,2,1,1,1,1,1/5,1
lpmnh13,lpmnh13,1.0,10,1,7,7,3,10,3,3,12,13
lphh0,lphh0,1.0,0,0,0,0,12,0,9,7,18/19,0
lphh1,lphh1,1.0,10,1,10,0/11,0/8,10,5,6,10,0
lphnh0,lphnh0,1.0,1,1,1,1,6/7,1,3,4,1,1
lphnh1,lphnh1,1.0,7,1,1,1,1,1,2/3,4,1,1
lphnh2,lphnh2,1.0,11,7,10,10,1,11,4,6,14,18
lphnh3,lphnh3,1.0,56,55,56,56,5,56,49,5,58,70
lphnh4,lphnh4,1.0,16/19,1/10,12,12,1,18,7,8,16,16
lphnh5,lphnh5,1.0,1,1,5,5,3/4,1,1/2,2,8,1
