id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,1,1,7,5,6,1,1,1,1,5
mh1,mh1,50.0,1,1,9,9,9,1,7,3,1,9
mh2,mh2,50.0,3,8,8,8,14,9,8,7,7,8
mh3,mh3,50.0,1,1,1,1,1,1,1,4,4,1
mh4,mh4,50.0,1,2,7,1,1,1,2,1,1,3
mnh0,mnh0,50.0,1,1,7,1,1,1,1,1,2,4
mnh1,mnh1,50.0,2,1,1,9,1,1,1,2,5,9
mnh2,mnh2,50.0,1,4,1,1,1,5,4,1,1,1
mnh3,mnh3,50.0,1,1,1,17,1,1,1,12,5,17
mnh4,mnh4,50.0,7,1,14,1,13,1,1,7,7,11
mnh5,mnh5,50.0,1,7,1,1,1,1,7,4,4,9
mnh6,mnh6,50.0,1,1,1,4,1,1,1,3,1,4
mnh7,mnh7,50.0,1,1,7,1,1,1,1,1,1,3
mnh8,mnh8,50.0,1,1,1,7,1,5,1,4,1,1
mnh9,mnh9,50.0,1,1,1,4,4,1,1,3,1,6
mnh10,mnh10,50.0,1,7,7,7,7,7,7,3,2,9
mnh11,mnh11,50.0,1,5,6,1,1,3,5,1,1,1
mnh12,mnh12,50.0,3,5,1,1,1,1,6,4,3,1
mnh13,mnh13,50.0,1,2,3,2,2,2,2,1,1,2
mnh14,mnh14,50.0,1,1,1,1,1,1,1,3,3,1
lpsh0,lpsh0,1.0,3,11,0/12,0,0,8,10,4,4,0
lpsh1,lpsh1,1.0,4,8,6,6,6,7,10,4,4/5,6
lpsh2,lpsh2,1.0,0,1/4,1,1,1,0,0,0,0/3,1
lpsh3,lpsh3,1.0,0,3,8,0,0/7,0,6,0/1,0,0
lpsnh0,lpsnh0,1.0,1/2/3,1,1,17,19,1,12,5/6,4/7,18
lpsnh1,lpsnh1,1.0,1,10,13,14,13,7,10,4,4/6,15
lpsnh2,lpsnh2,1.0,1,1,1,1,7,1,1,2,2/4,1
lpsnh3,lpsnh3,1.0,2,8,1,10,1,6,8/9,3,3/4,1
lpsnh4,lpsnh4,1.0,1,1/3/4,6,6,12,1,1,1,1,8/9
lpsnh5,lpsnh5,1.0,3,10,1,1,1,1,10,3/9,3,1
lpsnh6,lpsnh6,1.0,2,1,9,1,1,3,1,2,2,6
lpsnh7,lpsnh7,1.0,1,1,8,5,5,1,1,1,1,5
lpsnh8,lpsnh8,1.0,1,1,15,13,13,1,8,1,1,13
lpsnh9,lpsnh9,1.0,1,1,1/6,1,1,1,1,4,4,1
lpsnh10,lpsnh10,1.0,3,8,10,10,10,1,8/9,4,3,13
lpsnh11,lpsnh11,1.0,1,1,1,1,1,1,1,1/2/3,5,11
lpsnh12,lpsnh12,1.0,1,1,1,8,1,1,1,1,1,1
lpsnh13,lpsnh13,1.0,1,1,1/12,8/10,11,1/6,1,5,5,8
lpsnh14,lpsnh14,1.0,1,1,4,1/5,1/4,1,1,1,1,9
lpsnh15,lpsnh15,1.0,2,1,1,1/6,1,3/4,1,2,2,1/8
lpsnh16,lpsnh16,1.0,3,1,1,1/7,11,1,1,3,3,8
lpsnh17,lpsnh17,1.0,3,1,1,1,1,1,1,3,3,1
lpsnh18,lpsnh18,1.0,1,1,1,7,8,1,6,4/5,1,7
lpsnh19,lpsnh19,1.0,1,1,1,1,1,1,1/6,3,2,1
lpsnh20,lpsnh20,1.0,1/2,4,1,1,5,1,4,2,2,1
lpsnh21,lpsnh21,1.0,1,7,7,7/13,7,10,7,6,1,11
lpsnh22,lpsnh22,1.0,1,1/3,4/11,2/4/7,9,1,1,1,1,8
lpsnh23,lpsnh23,1.0,1,1,1,1,4,1,1,1,1,1
lpsnh24,lpsnh24,1.0,1,4,7,7,7,1/3,6,1,1,7
lpsnh25,lpsnh25,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh26,lpsnh26,1.0,3,1,1,1/12,1/14,10,1,8,4,1
lpsnh27,lpsnh27,1.0,1,5,5,5,5,5,5,3,1,5
lpsnh28,lpsnh28,1.0,3,1,1,1,6,1,5,4,1/4,1
lpmh0,lpmh0,1.0,6/10,1,1,1,0,13,0,10/12,10,1
lpmh1,lpmh1,1.0,1,1,18/19,1,17,9,12,1,0,1
lpmh2,lpmh2,1.0,0,7,2,2,2,6,7,1,0,2
lpmh3,lpmh3,1.0,1,5,8,11,9/12,5,5,1,3,11
lpmh4,lpmh4,1.0,1,0,1,12,1,7,1,3,3,18
lpmnh0,lpmnh0,1.0,2,1,1,1,1/14,7/8,10,5,6,1
lpmnh1,lpmnh1,1.0,1,1/5,1/5,5,1,1,1,1,4,5
lpmnh2,lpmnh2,1.0,2,6/11,12,14,17,6,9,1,1,14
lpmnh3,lpmnh3,1.0,1,8/9,1,11/13,18,6,8,1,1,11
lpmnh4,lpmnh4,1.0,1,1,2,4,2,3,1,1,1,2
