id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,1,1,1,1,1,0,1,0,3,1
mh1,mh1,50.0,0,0,0,0,0,0,0,0,1,3
mh2,mh2,50.0,1,2,1,1,0,2,6,0,0,1
mh3,mh3,50.0,1,0,1,1,0,0,0,0,0,1
mh4,mh4,50.0,1,1,1,1,3,4,3,3,3,5
mnh0,mnh0,50.0,1,1,1,1,1,1,1,1,1,1
mnh1,mnh1,50.0,1,1,1,1,1,4,1,1,2,1
mnh2,mnh2,50.0,1,1,1,3,1,1,1,1,1,3
mnh3,mnh3,50.0,1,2,6,13,2,4,2,2,2,13
mnh4,mnh4,50.0,1,1,9,11,1,5,1,1,1,11
mnh5,mnh5,50.0,1,2,1,5,2,2,2,2,2,5
mnh6,mnh6,50.0,1,1,1,10,1,1,1,6,4,11
mnh7,mnh7,50.0,1,1,4,4,1,1,3,1,1,4
mnh8,mnh8,50.0,7,1,1,1,1,6,1,1,1,1
mnh9,mnh9,50.0,1,1,9,9,4,7,3,1,2,9
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,3,1
mnh11,mnh11,50.0,1,1,1,1,1,1,1,1,1,1
mnh12,mnh12,50.0,1,1,1,15,1,8,1,1,1,15
mnh13,mnh13,50.0,1,1,1,7,2,1,2,3,2,6
mnh14,mnh14,50.0,1,1,5,5,1,1,1,1,1,5
lpsh0,lpsh0,1.0,0/1,0,1/9,1,0,0,0,8,0,1/11
lpsh1,lpsh1,1.0,1,3,1,1,3,2/3,3,3,3,1
lpsh2,lpsh2,1.0,1,1,1,0/5,1,1,1,1,1,0
lpsh3,lpsh3,1.0,1,1,1,1,1,1,1,1,1,1/3
lpsh4,lpsh4,1.0,1,1,1,1,2,1/3,1,1,1,1
lpsh5,lpsh5,1.0,1,1,3,3,1,1,1,1,1/2,3
lpsh6,lpsh6,1.0,0,0,8,0,0/1,0,0/1,0/1,1,9
lpsh7,lpsh7,1.0,1,1,0,5,1,1,1,1,1,5
lpsh8,lpsh8,1.0,10,0/1,0/8,8,1/5/7,1,1/5/7,5/6,5/6,8
lpsh9,lpsh9,1.0,1,1,1,3,1,1,1,1,1,1
lpsnh0,lpsnh0,1.0,1,2,1,1,6,2,5/6,2/4,4,1
lpsnh1,lpsnh1,1.0,1,1,1,6,1,1,1,4,1,6
lpsnh2,lpsnh2,1.0,1,2,1,10,7,2/3,7,2,4,1
lpsnh3,lpsnh3,1.0,13,2,13,13,5,2,11,2,4,13
lpsnh4,lpsnh4,1.0,1,2,1,1/5,2/4,3,4,4,4,1
lpsnh5,lpsnh5,1.0,1,2,1,1/17,9,15,9,5,7,1/17
lpsnh6,lpsnh6,1.0,1,4,9,9,7,4,7,7,7,9
lpsnh7,lpsnh7,1.0,1,1,1,1,1,4,1,1,1,1/6
lpsnh8,lpsnh8,1.0,1,1,15,13,12,2,12,6,6/9,13
lpsnh9,lpsnh9,1.0,1,1,7/8,1,5,1,5,5,5,1
lpsnh10,lpsnh10,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh11,lpsnh11,1.0,1,2,1,1,2,2,2,2,2,1
lpsnh12,lpsnh12,1.0,1,1,1,1,7,2,4/7,11/12,4/10,1
lpsnh13,lpsnh13,1.0,1,1,8,6,1,1,1,1,1,6
lpsnh14,lpsnh14,1.0,1,1,1,1,1/3,1,1,1/2,1,1
lpsnh15,lpsnh15,1.0,1,1,13,11,6,1,6/10,1,1,11
lpsnh16,lpsnh16,1.0,8,1/6,7,7,4,1,4/5,2,2,7
lpsnh17,lpsnh17,1.0,1,1,1,7,3,1,3,4,4,7
lpsnh18,lpsnh18,1.0,1,12,17,1/17,12,12,12,12,12,1/17
lpsnh19,lpsnh19,1.0,1,1,1,1,4/5,1,4,3,3,1
lpsnh20,lpsnh20,1.0,1,1,3,6,1,1,1/2,2,2,6
lpsnh21,lpsnh21,1.0,1,1/3,1,11,4,3,4,3/5,1/3/4,7
lpsnh22,lpsnh22,1.0,1,1,1,1,5,1,5,3,1,1
lpsnh23,lpsnh23,1.0,1,5/6/7,13/15,11,5,10,5,5,5,11
lpsnh24,lpsnh24,1.0,1,6,1,1,6/9,6,6,6,6,1
lpsnh25,lpsnh25,1.0,1,3,8,10,4/7,3,4/7,4/6,4,8
lpsnh26,lpsnh26,1.0,1/8,1,1,1,3,3,3,5/6/7,5,1
lpsnh27,lpsnh27,1.0,1/4,1,1,1,3,1,3,3,3,1
lpsnh28,lpsnh28,1.0,1,1,2,2,1,1,1,1,1,2
lpsnh29,lpsnh29,1.0,1,1,1,1,6,3,6,1,5,1
lpsnh30,lpsnh30,1.0,11,1,1,7,2,1,4,3,1/2,6/7
lpsnh31,lpsnh31,1.0,1,4,26,25,20,4,22,19,17,25
lpsnh32,lpsnh32,1.0,1,1/2,3,1,1,1,1,1,1,1
lpsnh33,lpsnh33,1.0,1,2,11,1,4,2,4,2,2,1
lpsnh34,lpsnh34,1.0,13,1,11,1,1,1,1,1,1,1
lpsnh35,lpsnh35,1.0,1,1,5,5,2,1/4,2,2,3,5
lpsnh36,lpsnh36,1.0,14,2,10,11,2/8,9,2,2,2/4,11
lpsnh37,lpsnh37,1.0,1/13,1/4,12,9,4,4,4,6/7,5,9
lpsnh38,lpsnh38,1.0,1,1,8,11/12,5,1,1/5/6,4,1,1
lpsnh39,lpsnh39,1.0,1,1,6,7,1,1,1,1,2,7
lpsnh40,lpsnh40,1.0,1,1,1,1,5,1,5,1,1,1/9
lpsnh41,lpsnh41,1.0,1,1,11,1,1,1,1,3/6,3/5,1
lpsnh42,lpsnh42,1.0,1,1,1,9,1,1,1,6,2,9
lpsnh43,lpsnh43,1.0,1,1,1,1,2,2,2/4/5,2,2,1
lpsnh44,lpsnh44,1.0,1,1,1,6,1,1,1,1,1,6
lpsnh45,lpsnh45,1.0,1,1,8,1,2,4,2,1,1,1
lpsnh46,lpsnh46,1.0,1,1,9,12,2,1,2,2/3,3,12
lpsnh47,lpsnh47,1.0,1,1,1/11,25,7,1,7,1/4,1,25
lpsnh48,lpsnh48,1.0,1/13,1,11/12,9,1,8,1,1,1,9
lpsnh49,lpsnh49,1.0,1,1,8,8,4,5/7,4,1,1,8
lpsnh50,lpsnh50,1.0,1,1,13,13,7,10/11,7,3,3,13
lpsnh51,lpsnh51,1.0,1,1,6,1,1,4,1,1,1,1
lpsnh52,lpsnh52,1.0,1,1,1,15,2,2,2,2/3,2,9
lpsnh53,lpsnh53,1.0,1,1,1,7,1,4,1,3,1,1/7
lpsnh54,lpsnh54,1.0,1,7,18,21,17,7,17,12/13/14,8,20
lpsnh55,lpsnh55,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh56,lpsnh56,1.0,1/12,1,6,6,1,1/5,1,1,1/3/4,6
lpsnh57,lpsnh57,1.0,1,1/2,1,1,2,2,2,2/3,2,1
lpsnh58,lpsnh58,1.0,1,1,1,1,1,1,1,4,2,1
lpsnh59,lpsnh59,1.0,1,1,4/5,1,2,2,2,2,2,1
lpsnh60,lpsnh60,1.0,1,1,1,1,5,1,5,9,8,1
lpsnh61,lpsnh61,1.0,1,1,6,5,1,1,1,1,1,7/8
lpsnh62,lpsnh62,1.0,1,1,1,1/14,9,1/2,9,1/7,1,1/12
lpsnh63,lpsnh63,1.0,16,1,1,15,12/14,1,12/13,3,8/9,15
lpsnh64,lpsnh64,1.0,1,2,7/10,11,2,4/6,2,2,2,11
lpsnh65,lpsnh65,1.0,1,1,1,1,2,6,2,1,1,1/9
lpsnh66,lpsnh66,1.0,1,1,7,7,1,1,1,5,1,8
lpsnh67,lpsnh67,1.0,1,1,24,1,7/9,1,7,4,6,1
lpsnh68,lpsnh68,1.0,1,1,6,6,1,1/3/4,1,1,1/2,6
lpsnh69,lpsnh69,1.0,1,1/2,1,1,1,1,1,1/3,1,1
lpmh0,lpmh0,1.0,0,0,0,0,1,0,1,0,0,0/8
lpmh1,lpmh1,1.0,5,4,5,5,4,4,4,4,4,5
lpmh2,lpmh2,1.0,1,2/3,16/17,0,0/7,3/9/10,7,7,7,0
lpmh3,lpmh3,1.0,1,1,0,1,1,0,1,1,1,1
lpmh4,lpmh4,1.0,10,1,6,1,1,1,1,3,1,7/8
lpmh5,lpmh5,1.0,1,1,1,7,0/3,3,0/3,3/5,3,7
lpmh6,lpmh6,1.0,0/1,1,0/1,1,1,1,1,1/6,1/3/4,1
lpmh7,lpmh7,1.0,1,1,1,1,4,6/9,4,2,0,1
lpmh8,lpmh8,1.0,0/9/10,1,0,8,0,0,0,0,0/4,0/8
lpmh9,lpmh9,1.0,1,1,0,17/18,9,1,9,9,9,12
lpmnh0,lpmnh0,1.0,1/11,1/2,1,9,4,7,4,6,4,9/10
lpmnh1,lpmnh1,1.0,1,1,19,45,8,11,8/9,5,5,45
