id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,1,1,3,3,3,11,3,0/3,3/7,3
lpsh1,lpsh1,1.0,1,1,2,2,7,2/8,0,2,2,2
lpsh2,lpsh2,1.0,1,1,2,0/1/3,1,6,1/4,1/3/4,0,0
lpsh3,lpsh3,1.0,1,1,1,2,2,2,0,1,2,2
lpsnh0,lpsnh0,1.0,1,1,2,2,5,2,4,3,2,2
lpsnh1,lpsnh1,1.0,1,1,1,1,7,12,1,2,1,1
lpsnh2,lpsnh2,1.0,1,1,10,6,6,6,5,1,6,8
lpsnh3,lpsnh3,1.0,1,1,5,1,1,1,1,1,1,1
lpsnh4,lpsnh4,1.0,1,1,2/23,5,5/9,12,2,2,5,21
lpsnh5,lpsnh5,1.0,1,1,1,10,10,10/13/15,1/7,1,10/12/14,13
lpsnh6,lpsnh6,1.0,1,1,4,4,4,4,4,4,4,4
lpsnh7,lpsnh7,1.0,2,1,1,1,1/9/10,1,1,7/8,1/12,1
lpsnh8,lpsnh8,1.0,2,2,1,1/7,1,1,5,1,1,1
lpsnh9,lpsnh9,1.0,1,1,13,13,30,13,17,27,13/31,13
lpsnh10,lpsnh10,1.0,1,1,1,1/3/4,6,7,1/2,1,3,1
lpsnh11,lpsnh11,1.0,1,1,7,8,14,8,8,8,8,8
lpsnh12,lpsnh12,1.0,1/2,1,1,1,5,1,4,4,1,1
lpsnh13,lpsnh13,1.0,1,1,1,1,1,1/5,1,1,1,1
lpsnh14,lpsnh14,1.0,1,1,1,5,5/11,12,9,5,12,12
lpsnh15,lpsnh15,1.0,1,1/3,7,5,5,5,5,5,5,5
lpsnh16,lpsnh16,1.0,1,1,1,1,1,6,1,1,1,1/7
lpsnh17,lpsnh17,1.0,1,1,1,1,1,5,1,1,1,6
lpsnh18,lpsnh18,1.0,1,1,1,12,12/13,12,7,7,12,12
lpsnh19,lpsnh19,1.0,1,1,1,1,1,4,1,1,3,4
lpsnh20,lpsnh20,1.0,1,1,1,3,4,5,1,1/2,3,3
lpsnh21,lpsnh21,1.0,1,1/2/3,1,6,6,11,7,6,11,11
lpsnh22,lpsnh22,1.0,1/2,1,4/13/15,6,6,10,4,4,6/8,6/8
lpsnh23,lpsnh23,1.0,1,1,1/6,2,4,2,3,2,5,2
lpsnh24,lpsnh24,1.0,3,3,4,4,4,4,6/7,4,4,4
lpsnh25,lpsnh25,1.0,1,1,18,19,19,19,20,20,19,19
lpsnh26,lpsnh26,1.0,1,1,10,4,4,4,1,1,4/6,4/7/8/9
lpsnh27,lpsnh27,1.0,1,1,1,6/7,6/7,6,1,1/3,6,9/12
lpsnh28,lpsnh28,1.0,1/2,2,3,3/7,3,3,6,6,7,3
lpmh0,lpmh0,1.0,4,4,14,10,6,0/13,8,6,0,0
lpmh1,lpmh1,1.0,3,3,1,1,8,9,6,1,1,0/14/15
lpmh2,lpmh2,1.0,1,1,3,0,16,0/18,0,4,0,0
lpmh3,lpmh3,1.0,1,1,0/13,0/4,0,7,3,3,4,4
lpmh4,lpmh4,1.0,1,1,1/8,1,1,0,1,4,1,1
lpmnh0,lpmnh0,1.0,2/3,2,21,15,15,15,10,13,15,16/17
lpmnh1,lpmnh1,1.0,1,3,37,26,27,31,22,24,26,33
lpmnh2,lpmnh2,1.0,3,3/4,18,16/1,12,1,1/8,1/10,1,1
lpmnh3,lpmnh3,1.0,1,1,2,10,10,10,6,2/7,10,10
lpmnh4,lpmnh4,1.0,1,1/2,4,4,9,11,4,4,4,4
lpmnh5,lpmnh5,1.0,1/2,1,5,24,29,24,26,24,24,24
lpmnh6,lpmnh6,1.0,1,1,38,3,3,3,13,3,3,3
lpmnh7,lpmnh7,1.0,1,1,1,1,1,9,7,1,8,8
lpmnh8,lpmnh8,1.0,1/2,1,38,3,19,3,7,7,3,31
lpmnh9,lpmnh9,1.0,1,1,3,10,10,10,9,9,10,10/12
lpmnh10,lpmnh10,1.0,1,1,9,12,34,39,30,12,12,41
lpmnh11,lpmnh11,1.0,1,1,62,59,59,59,50,52,59,59
lpmnh12,lpmnh12,1.0,1,1,18,32,34,32/36,29/31,29,32,40
lpmnh13,lpmnh13,1.0,1,1,21,2/7,10,19,6,4,2,2
lpmnh14,lpmnh14,1.0,1,1,1,7/9,17,19,13/14,10/15,9,9
lpmnh15,lpmnh15,1.0,1,1/2,3,3,3,3,5,4/6,3/7,3
lpmnh16,lpmnh16,1.0,1,1,3,4,4,12,7,4,11,9
lpmnh17,lpmnh17,1.0,1,1,2,8,19,8/29,18,9,28,8
lpmnh18,lpmnh18,1.0,1,1,9,4/8,7,4,4,4,4,4
lpmnh19,lpmnh19,1.0,1,1,14,14,14,27,21,15,14,14
lpmnh20,lpmnh20,1.0,1,1,9,14,14,14,14,14,14,14
lpmnh21,lpmnh21,1.0,1,1,4,9/10,9,13/14,6,5,12/13,12
lpmnh22,lpmnh22,1.0,1,1,47,8,8,8,8/11,8,12/13,46
lpmnh23,lpmnh23,1.0,1,1,7,7,7,12,7,7,7,7
lpmnh24,lpmnh24,1.0,5,7,12,19,43,19,34,40,19,44
lpmnh25,lpmnh25,1.0,1,1,1,7,7,11,2,1,11,7/11
lpmnh26,lpmnh26,1.0,1,1,23,7,7/12,15,9,9,15,21
lpmnh27,lpmnh27,1.0,1,1/2,18/6,6,6,15,12,14,15,6
lpmnh28,lpmnh28,1.0,1,1,15,6,6,14,8/11,5,6,6
lphh0,lphh0,1.0,0,0,39,21,21,36,27,25,34,38
lphh1,lphh1,1.0,2,2,14,20,25,39,16,0/19,0,34
lphh2,lphh2,1.0,2,1,3,27,27,31,0,5,32/31,39
lphh3,lphh3,1.0,0,1,0,60,59,28,55,58,28,28
lphnh0,lphnh0,1.0,1,1,41,20,30,39,22,22,20,20
lphnh1,lphnh1,1.0,1,1,67,44/46,49/50,60,39,41,51,51
lphnh2,lphnh2,1.0,3,2/5,68,50,58,64,54,50,59,65
lphnh3,lphnh3,1.0,2,2,14,16,21,25,14,19/20,31,35
lphnh4,lphnh4,1.0,1,1,8,26,35,38,8,24,26,26
lphnh5,lphnh5,1.0,1,2,10,10,20,21,15,10,10,22
lphnh6,lphnh6,1.0,1,1,4,10,11,19,8,9,6/12,6
lphnh7,lphnh7,1.0,5,6,1/22,12,12,16,8,8,12,20
lphnh8,lphnh8,1.0,2,2/3,35,21,19/20,34,11,11,33,31
lphnh9,lphnh9,1.0,1/2/3,1,24,8,17/8,21,16,13,18,22
lphnh10,lphnh10,1.0,1,1,38,9,11/15,19,4/5,4,9,9
lphnh11,lphnh11,1.0,1,3,20,11,18,19,6,6,19,19
lphnh12,lphnh12,1.0,1,1,47,30,27/29,32,18,19,32,36
lphnh13,lphnh13,1.0,1/2,1,43,26/27,26,33,20,18,28,26
lphnh14,lphnh14,1.0,1,1/2,37,17,25,32,14,10,32/33,32
lphnh15,lphnh15,1.0,2,7,15,16,16,35/36,26,26,34,33
lphnh16,lphnh16,1.0,2,2,25,10,10,20/23,9,7,20,20
lphnh17,lphnh17,1.0,1/2,4,31,41,46,53,33,35,47,47
lphnh18,lphnh18,1.0,1,1,88,32,51,56,21,15,82/83,87
lphnh19,lphnh19,1.0,1,1,4,18,20,49/47,6/7/8,10,41,41
lphnh20,lphnh20,1.0,1,3,23/24,8,13,17,6,6,17/18/19,21
lphnh21,lphnh21,1.0,1,2,13,30,30,32,19,19,32,33
lphnh22,lphnh22,1.0,1,3,30,23,27,19,14,14,19,28
lphnh23,lphnh23,1.0,1,1,13,23,23/24,36,18,22,27,37/27
lphnh24,lphnh24,1.0,2,2,51/53,30,37,49,28,29,43,50
lphnh25,lphnh25,1.0,1,1,72,25,25,56,22,15,46,71
lphnh26,lphnh26,1.0,3/4,3,17,17,17,22/23,17,17,22,22
lphnh27,lphnh27,1.0,1/2,10,48,23,23,33,22,14,29,23
lphnh28,lphnh28,1.0,1,1/2,7,14,14,14,12,12/13,17,19/21
lnpsh0,lnpsh0,1.0,1,1,3,5,5,7,4,4,5,5
lnpsh1,lnpsh1,1.0,1,1,1,1,1,6,1,3,1,8
lnpsh2,lnpsh2,1.0,0,0,0,0,4,0,0,0,0,0
lnpsh3,lnpsh3,1.0,2,2,3,3,7,9,3,3,3,3
lnpsh4,lnpsh4,1.0,3,1,6,9,9,9,11,9,9,9
lnpsh5,lnpsh5,1.0,1,1,1,1,1,11,6,6,7,12
lnpsh6,lnpsh6,1.0,1,1,5,5,5,5,6,5,5,5
lnpsh7,lnpsh7,1.0,2,1,1,1,1,1,3,1,1,5
lnpsnh0,lnpsnh0,1.0,3,3,11,5,9,5,6,6,5,5
lnpsnh1,lnpsnh1,1.0,1,1,8,11,14,11,8,8,11,11
lnpsnh2,lnpsnh2,1.0,1,1,1,1,1,1,1,1,1,1
lnpsnh3,lnpsnh3,1.0,1,1,25,2,13,2,2,2,2,2
lnpsnh4,lnpsnh4,1.0,1,1,27,28,32,28,28,28,28,28
lnpsnh5,lnpsnh5,1.0,1,1,1,28,28,28,3,3,28,28
lnpsnh6,lnpsnh6,1.0,3,3,1,14,14,14,8,7,14,16
