id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,1,37,37,64,39,0,51,9,58,28
mh1,mh1,50.0,9,19,17,21,21,6,0,7,33,6
mh2,mh2,50.0,1,0,42,45,0,0,45,17,0,18
mh3,mh3,50.0,0,0,0,19,19,9,19,15,19,9
mh4,mh4,50.0,1,1,1,39,30,2,26,14,35,2
mnh0,mnh0,50.0,1,29,24,59,39,15,50,20,57,15
mnh1,mnh1,50.0,16,17,17,21,48,6,46,14,51,12
mnh2,mnh2,50.0,24,46,1,52,57,13,62,15,57,13
mnh3,mnh3,50.0,19,1,20,30,56,17,53,14,57,17
mnh4,mnh4,50.0,88,93,93,127,102,77,101,85,125,77
mnh5,mnh5,50.0,1,45,29,49,69,9,67,21,57,9
mnh6,mnh6,50.0,19,17,17,33,28,11,26,5,29,14
mnh7,mnh7,50.0,17,28,27,48,31,13,34,7,31,13
mnh8,mnh8,50.0,1,31,30,40,32,21,32,25,32,21
mnh9,mnh9,50.0,12,1,1,1,1,9,35,11,1,9
mnh10,mnh10,50.0,33,41,37,52,42,21,49,23,42,20
mnh11,mnh11,50.0,1,32,33,40,38,22,36,31,38,20
mnh12,mnh12,50.0,25,34,32,39,47,20,41,20,49,20
mnh13,mnh13,50.0,1,21,1,32,1,9,1,2,31,8
mnh14,mnh14,50.0,1,28,1,39,31,3,36,23,31,4
lpsh0,lpsh0,1.0,0,34,0/27,38,39,0,39,21,39,0
lpsh1,lpsh1,1.0,39,48,45/46,0,57,31,60,34,67,31
lpsh2,lpsh2,1.0,0,1,1,1,1,19,37,28,1,19
lpsh3,lpsh3,1.0,45,0,48/50,54,63,21,0,43,54,21
lpsh4,lpsh4,1.0,1,29,29,0,52,21,52,27,56/57,0/24
lpsh5,lpsh5,1.0,0,46,43,0,83,1,0/66,14,86,1/5
lpsh6,lpsh6,1.0,0,44,40/43,0/53,53,21,57,32,53,15
lpsh7,lpsh7,1.0,16/14,23/14,22,80/89,80,0,80,7/12,86,0
lpsnh0,lpsnh0,1.0,13,28,18,56,56,5,58,11,95,5
lpsnh1,lpsnh1,1.0,1,85,81,90/91/92,87,70,87,79,87/89,70
lpsnh2,lpsnh2,1.0,1,53/54,1/41,91,67/58,32,66,38,85,25
lpsnh3,lpsnh3,1.0,1,49,46,70,53,25,53,31,62,25
lpsnh4,lpsnh4,1.0,22,1,43,125,126,15,127,19/21,128,15
lpsnh5,lpsnh5,1.0,38,44,40,54,48,25/26,48,37,48,22/27
lpsnh6,lpsnh6,1.0,78,79,87,111,109,56/57,107,73,110,56
lpsnh7,lpsnh7,1.0,1,120,120,122,124,13,122,119,133,13
lpsnh8,lpsnh8,1.0,1,18,20/24,37,59,11/12,42,14,59,11
lpsnh9,lpsnh9,1.0,1,30/31,24,49,44,20,44,22/23,46,15
lpsnh10,lpsnh10,1.0,12,17,12,34,37,3,34/36,8,38,3
lpsnh11,lpsnh11,1.0,1,34,28,48,48,16,48,20,48,16
lpsnh12,lpsnh12,1.0,31,33,33/35,79,47,27,39,29,78,27
lpsnh13,lpsnh13,1.0,1,1,1,53,39,29,46,35/37,39,29
lpsnh14,lpsnh14,1.0,19,19,21,48/19,19/39,10,38,17,46/47,10
lpsnh15,lpsnh15,1.0,13,21/22,15,68,31,5/10,31,12,62,5
lpsnh16,lpsnh16,1.0,1,32,30,53,48/50,13,48,25/26/28,48,13
lpsnh17,lpsnh17,1.0,29,39,31,47,41,22,43,8/27,46,22
lpsnh18,lpsnh18,1.0,1/7/9,14,10,30,43,2,39,5,56,1
lpsnh19,lpsnh19,1.0,15,20,18,35,26,5,24,11,31,6
lpsnh20,lpsnh20,1.0,12,21,17,52,37,3/4,32/31,8,51,3/5
lpsnh21,lpsnh21,1.0,19/20,26/29,24,39,36,1,33,18,38,1
lpsnh22,lpsnh22,1.0,34,37/40,37,37,37,31,37,32,49,28
lpsnh23,lpsnh23,1.0,25,28,31,60,53,9,53,24,53,9
lpsnh24,lpsnh24,1.0,1/69/70,87/89,83,94,94,64,97,68,100/101,64
lpsnh25,lpsnh25,1.0,17,22,24,58,37,1,39,15,52,1
lpsnh26,lpsnh26,1.0,1,147,143,172,150,122,150,140,164,122
lpsnh27,lpsnh27,1.0,1,22,27,29,32,13,32,19,57,13/15
lpsnh28,lpsnh28,1.0,25,41,26,55,47,4,47,15,53,4
lpsnh29,lpsnh29,1.0,1,57,60,73,75,12,78,52,83/84,8/13
lpsnh30,lpsnh30,1.0,1,20/23,22,36,28,15,32,9,28,15
lpsnh31,lpsnh31,1.0,52,52,53/54,56,61,3,56,50,56,3
lpsnh32,lpsnh32,1.0,1,34,48/47,64,55,19,55,29,57,20
lpsnh33,lpsnh33,1.0,1,22,21,20,20,7,25/26/27,18,33,7
lpsnh34,lpsnh34,1.0,47,47,51,59,67,41/44,66,16,74,41
lpsnh35,lpsnh35,1.0,30,32,35,53,43,16/19,36,26,47,16
lpsnh36,lpsnh36,1.0,33,37,34,50,46,27/28,46,31,46,27/28
lpsnh37,lpsnh37,1.0,1,38,30,45,48,13,51,27,48,13/15
lpsnh38,lpsnh38,1.0,16,26,21,31,32,3,32,7,32,2
lpsnh39,lpsnh39,1.0,1,184/173,179,221,190,11/13,193,169/171,194,11
lpsnh40,lpsnh40,1.0,1,83,81,91/93,81,38,81,77,81,38
lpsnh41,lpsnh41,1.0,1,20,19,34,37,9,37,2,40/42/43/44,9
lpsnh42,lpsnh42,1.0,20,21/14,14,14,14,3,14,12,14,3/6
lpsnh43,lpsnh43,1.0,1,28,35,59,47,9,47,22,57,9
lpsnh44,lpsnh44,1.0,19,24,1,27,27,13/14,27,18,27,13/14
lpsnh45,lpsnh45,1.0,1,18,16,45,35,5/7,36,12/13,35,5/7
lpsnh46,lpsnh46,1.0,1,41,41,54,1,17,1,37,50/53,17
lpsnh47,lpsnh47,1.0,1/41,1,1,74,67,6,70,39,67/72,6/8
lpsnh48,lpsnh48,1.0,1/23,25,25/26/27,36,30,16,33,21,30,16
lpsnh49,lpsnh49,1.0,20,26,26,39,39,3,45,15,39,3
lpsnh50,lpsnh50,1.0,1,41,1,69,46,24,49,36,65/66/57,21
lpsnh51,lpsnh51,1.0,32,46,35,73,65,28,55/57/58,31,69,28
lpsnh52,lpsnh52,1.0,1,48,50/52,115,106,17,104/110,40,111,17
lpsnh53,lpsnh53,1.0,1,52,32,62,61,9,54,29,54,7
lpsnh54,lpsnh54,1.0,1/35,41,38,42/31,49,11,42,29,51,11
lpsnh55,lpsnh55,1.0,10,25/26/27,18,10,40,6,34,9,41,6
lpsnh56,lpsnh56,1.0,1,41,48,86,93,30,86/88,39,96,28
lpsnh57,lpsnh57,1.0,1,21,20,77,66,11,27,16,71,11
lpmh0,lpmh0,1.0,68,76,0/74,88,88,0,88/91,0,93,30
lpmh1,lpmh1,1.0,107,0,119,158,152,98,0,12,155/157,99
lpmh2,lpmh2,1.0,1,1,1,0,68,30,61,45,0/87,33/25
lpmh3,lpmh3,1.0,48,71,56,159,148,34/36,0,0,140,34
lpmh4,lpmh4,1.0,48/49,55,53,81/83,0/73,8,68,42,0,4
lpmh5,lpmh5,1.0,39,0/101,45,39,126/127,22/27,123,0,129,18
lpmh6,lpmh6,1.0,25,33,28,121,120,21,114,0,115,17
lpmh7,lpmh7,1.0,0,51,52,92,83,27,85,0,88,27
lpmh8,lpmh8,1.0,0,40/42,32,132,123,26,121/122,0,125,18
lpmh9,lpmh9,1.0,1,71,75,77,86,28,85,0,88,17
lpmnh0,lpmnh0,1.0,137,148,147,274,215,27,214,135,254,29/30
lpmnh1,lpmnh1,1.0,1,28,21,36,77,11,52,14,74,11
lpmnh2,lpmnh2,1.0,139,147,145,158,189/175,85,188,134,219,100
lpmnh3,lpmnh3,1.0,119,131,141,255,180,22,183,110,250,19
lpmnh4,lpmnh4,1.0,115,127,126,185,153,11,150,101,180,15
lpmnh5,lpmnh5,1.0,196,199,196,270,214,184,263,191,214/269,182
lpmnh6,lpmnh6,1.0,60,69/70,68,168,152/74,46,151,43,162,53
lpmnh7,lpmnh7,1.0,1,66/56,60,80,76,50,75,31,78/79,50
lpmnh8,lpmnh8,1.0,133,138,135,165,178,88,173/174/175,125/126,196,91
lpmnh9,lpmnh9,1.0,135,140,141,202,167,113/115,186,131/133,191,101
lpmnh10,lpmnh10,1.0,1,28,24,116,108,13,100/103,16/2,113/108,5
lpmnh11,lpmnh11,1.0,84,85,85/86,89,89,59,93,79,98,61
lpmnh12,lpmnh12,1.0,194,213,198,306/233,242,174,241,183,301,174
lpmnh13,lpmnh13,1.0,25/29,34,30,92,125,16/15,100,22,136/137,15
lpmnh14,lpmnh14,1.0,1/35,1,47,72,80,6,78,34,80,12
lpmnh15,lpmnh15,1.0,77,87,82/84,106,98,17,90,34,94,19
lpmnh16,lpmnh16,1.0,36,59,57,94/95,67/69,27,66,32,86,28/14
lpmnh17,lpmnh17,1.0,84,107/110,102,159,146,77,149,83,158,69
lpmnh18,lpmnh18,1.0,1,1,1,222,207,102,209,125,214,103
lpmnh19,lpmnh19,1.0,40,51,51,59,78,11,72,22/25,83,2
lpmnh20,lpmnh20,1.0,1,52,42,57,62,30,61,41,62,17
lpmnh21,lpmnh21,1.0,79,107,114/115,214,141,41,193/194,54/55,141,28
lpmnh22,lpmnh22,1.0,151,156,154,159,172,82,169,138,173,88
lpmnh23,lpmnh23,1.0,64,161,161,193,190,43,188/189,59,192,42
lpmnh24,lpmnh24,1.0,1,38,32,73,66,23,64,29,71,19
lpmnh25,lpmnh25,1.0,957/958,974,972,991,986,948,986,953,986,950
lpmnh26,lpmnh26,1.0,50,63,59,111,90,15,84,46,103,17/18
lpmnh27,lpmnh27,1.0,60,69/70,61,114,110/111,41,105,51,82,43
lpmnh28,lpmnh28,1.0,36,44,1/38,93,81,30,80,32/18/31,87,30
lpmnh29,lpmnh29,1.0,144,1,148,214,183,118/119,179,139,193,72/121
lpmnh30,lpmnh30,1.0,1,73,70,107,99/106,57,100,59,99,55
lpmnh31,lpmnh31,1.0,121/123,133,126,274,262/248,30,259,116,263,29
lpmnh32,lpmnh32,1.0,1,42,1,88,60,19,55,31,81,11
lpmnh33,lpmnh33,1.0,61,69,64/65,101,88,50,88,59,93,50/54
lpmnh34,lpmnh34,1.0,1,35,35,56,143,8/14,104,29,146/147,8
lpmnh35,lpmnh35,1.0,28,33/31,1,38,38,11,70,25,78,11
lpmnh36,lpmnh36,1.0,169,181/182,176,212,199,140,195,165,202,141
lpmnh37,lpmnh37,1.0,128/1/127,137/139,134,191,152,119/121,167,124/126,176,122
lpmnh38,lpmnh38,1.0,93,106,103,154,150,76,147,92,149,67
lpmnh39,lpmnh39,1.0,28,36/31,32,47,71,20,68,5/27,82,20
lpmnh40,lpmnh40,1.0,1,1/202,201,250,248,42,244,189,247,47
lpmnh41,lpmnh41,1.0,268,276/277,274,483,484,33,482,258,486,44
lpmnh42,lpmnh42,1.0,50,65,1,312/313,297/298,32,296,48,306/310,24
lpmnh43,lpmnh43,1.0,1,42,40,176/174,165,22,164,35,170/171,21
lpmnh44,lpmnh44,1.0,92,101,100,162,163,64,165,91,163/167,64
lpmnh45,lpmnh45,1.0,65,76,73,96,108,58,96/99/100,64/61/63,118,50
lpmnh46,lpmnh46,1.0,102,113,109,153,128,64/65/66,122,96,116,57
lpmnh47,lpmnh47,1.0,101,110,100,214,224,84,220,96,223,83
lpmnh48,lpmnh48,1.0,92,99/100,94,121,143,38,140,83,149,31
lpmnh49,lpmnh49,1.0,1,1,1,58,50,12,46,16,54/55,6
lpmnh50,lpmnh50,1.0,32,40,35/37,189,84/101,16/15,96,29,181,15
lpmnh51,lpmnh51,1.0,29,32/33,25/31,75/76,60,20,56,4,62,17/21
lpmnh52,lpmnh52,1.0,1,90,87,145,140,49,129/131,83,143,47
lpmnh53,lpmnh53,1.0,35,49/50,44/45,211,117,27,196,29/31,201,23
lpmnh54,lpmnh54,1.0,24,35,53,105,92,10,101,19,88,10/12
lpmnh55,lpmnh55,1.0,40,54/55/46,48,84,78,26,82,35,83/78,26
lpmnh56,lpmnh56,1.0,1,75,61,155,145,53,139,58/60,150,55
lpmnh57,lpmnh57,1.0,1,1,1,88,74,45,74,62,85,45
lphh0,lphh0,1.0,241,271,265,358,315,0,347/349,234,0,18
lphh1,lphh1,1.0,87,98,97,140,0,18,0,33,0,0
lphh2,lphh2,1.0,45,55,75,138,84,0,0,39,130,0
lphh3,lphh3,1.0,0,76,75,174,166,28,155,54,173,25
lphh4,lphh4,1.0,0/46,0/137,131,256,230,33,0,43,255,36
lphh5,lphh5,1.0,179,219,0,313/396,374,133,365,167,394,0
lphh6,lphh6,1.0,60,80,72/74,129,0/104,24,108,52,0,0
lphh7,lphh7,1.0,0,73,0/72,145,0,21,0,28,0,14
lphnh0,lphnh0,1.0,121,173,43,192,202,22/24,198,40,211,20
lphnh1,lphnh1,1.0,113,119,114,251/252/253,199,75,189,53/94,231,91
lphnh2,lphnh2,1.0,118,138,136,245,209,105,205,112,224,110
lphnh3,lphnh3,1.0,67,158,118,256,187,21,195,57,208,26
lphnh4,lphnh4,1.0,62,66/72/73,66,224,186,27,196,55,215,45
lphnh5,lphnh5,1.0,94,109,106,181,136,45,172,84,178,61
lphnh6,lphnh6,1.0,92/93,122,102,204,161,40,159,46,168,40
lphnh7,lphnh7,1.0,266,274,268,390/334,384/382,74,376,256,389,72
lphnh8,lphnh8,1.0,277,294,289,324/325,312,53,311,276,323,52
lphnh9,lphnh9,1.0,90,68,166,204,188,32,186,67,192,32
lphnh10,lphnh10,1.0,61,211,204,309,272,48,267,58,298,54
lphnh11,lphnh11,1.0,93/94,106,104,111,124,39,124,51,126,39
lphnh12,lphnh12,1.0,54,75,60,284,268,39,187,52/53,279,26
lphnh13,lphnh13,1.0,80,84,110,281,260/261,59/61,244,79,278,56
lphnh14,lphnh14,1.0,285,323,300,434,412,231,411,249,426,232
lphnh15,lphnh15,1.0,1,282/283,278,503/504,423,257,414/415,272,441,195
lphnh16,lphnh16,1.0,122,148,130,207,181/183,24,167,116,190,25
lphnh17,lphnh17,1.0,101,134,108,175,164,39,160,77,170,53
lphnh18,lphnh18,1.0,37,42,42/46,128/127,91,21,80,22,101,18
lphnh19,lphnh19,1.0,89,102,96,145,151,81,149,87,351,81
lphnh20,lphnh20,1.0,292,293,293,368/369,358,260/261,342,287,362,256
lphnh21,lphnh21,1.0,57,81,73,121,111,35,104,52,114,39
lphnh22,lphnh22,1.0,54/58,73,71,135,109,24/27,93,48,121,17
lphnh23,lphnh23,1.0,55/57,271,266/269,353/334,346,48/49,343,53,350,40
lphnh24,lphnh24,1.0,102,164,139,190,178,61,173,99,184,31
lphnh25,lphnh25,1.0,96,117,115,161,149,49,149,76,156,35
lphnh26,lphnh26,1.0,63,67,67,263/265,232,18,231,43,246/247,14
lphnh27,lphnh27,1.0,84,85/118,115,204,199/201,72,197,76/63,203,71
lphnh28,lphnh28,1.0,158,208,197,285/286,255,150,252,113,282,150
lphnh29,lphnh29,1.0,94,106,101/102,164,158,54,156,88,160,58
lphnh30,lphnh30,1.0,76,84/85,81,196,207,55,201,2,207,14
lphnh31,lphnh31,1.0,139/140,197,196,361,276,97,265,127,330,97
lphnh32,lphnh32,1.0,672,776,678,802,791,48,783,670,796,49
lphnh33,lphnh33,1.0,220/222,241,230,243,243,25,264/266,203,268,25
lphnh34,lphnh34,1.0,64,74,134,207,196/197,54,191,59,201,53
lphnh35,lphnh35,1.0,79,103/104,88,243,108,27,225,51,234,27
lphnh36,lphnh36,1.0,124,147,138/140,228,182,111,182,123,188,109
lphnh37,lphnh37,1.0,1,84,78,188/189/190,100,46,140,50,169/171,45
lphnh38,lphnh38,1.0,81,97,95,192,188/189,73,187,75,173,65
lphnh39,lphnh39,1.0,39,64,45,139,86,21,81/79,24,116,17
lphnh40,lphnh40,1.0,64,105,84,110,132,28,110,57,135,34
lphnh41,lphnh41,1.0,181/182,209,207,338,266,140,250,173,291/295,164
lphnh42,lphnh42,1.0,86,88,84,122/124,103/104,46,101,83,107,46
lphnh43,lphnh43,1.0,176,198/191,184,238,232,148,234/235,152,237,148
lphnh44,lphnh44,1.0,206,210/221,218,303,293,104,291,136,299,102
lphnh45,lphnh45,1.0,1,93,1,156,151,46,129,74,149,51
lphnh46,lphnh46,1.0,124,149,135,182,162,90,154,119,155,93
lphnh47,lphnh47,1.0,214,234,228,272/270,257,103,251,200,259,107
lphnh48,lphnh48,1.0,81/82,113,105,163,160,63,154,69,161,64/62
lphnh49,lphnh49,1.0,44/45/46,48,53,1169,1145,19/21,1129,43,1160,15
lphnh50,lphnh50,1.0,107,113,113,143,133/127,69,128,105/106,139,86
lphnh51,lphnh51,1.0,66,96,78,155,144/142,51,134,58,146,54
lphnh52,lphnh52,1.0,1,214,168,346,316,73,303,128/127,332,96
lphnh53,lphnh53,1.0,93,153,142,171,1,76,156,88,169,76
lphnh54,lphnh54,1.0,29,33,38,256,110,14,98/99,26,250,17
lphnh55,lphnh55,1.0,74,105,101,187,179,56,147,70,150,51
lphnh56,lphnh56,1.0,200,225/226,204/205,356/329,340,142,335,175,355,149
lphnh57,lphnh57,1.0,274,280,281,325,316,90,300,249,321,89
lnpsh0,lnpsh0,1.0,1,13,21,79,91,9,0,6,96,9
lnpsh1,lnpsh1,1.0,15,28,26,59,47,8,0,0,58,5
lnpsh2,lnpsh2,1.0,26,25,25,39,30,0,30,24,35,0
lnpsh3,lnpsh3,1.0,80,82,88,82,95,8,82,77,0,1
lnpsnh0,lnpsnh0,1.0,142,149,146,155,155,113,157,128,160,113
lnpsnh1,lnpsnh1,1.0,1,35,32,32,39,12,38,23,36,1
lnpsnh2,lnpsnh2,1.0,1,14,1,28,28,6,28,7,41,5
lnpsnh3,lnpsnh3,1.0,22,22,22,86,65,15,62,14,81,15
lnpsnh4,lnpsnh4,1.0,1,117,109,120,123,97,120,99,127,94
lnpsnh5,lnpsnh5,1.0,31,35,34,34,34,15,41,25,42,5
lnpsnh6,lnpsnh6,1.0,27,30,30,75,34,17,38,23,47,11
lnpsnh7,lnpsnh7,1.0,1,42,30,45,47,11,47,20,60,11
lnpsnh8,lnpsnh8,1.0,65,68,67,83,76,61,77,4,81,62
lnpsnh9,lnpsnh9,1.0,1,25,1,75,55,17,64,22,69,5
lnpsnh10,lnpsnh10,1.0,1,29,27,41,41,15,43,20,45,19
lnpsnh11,lnpsnh11,1.0,1,13,10,10,10,3,23,8,35,3
lnpsnh12,lnpsnh12,1.0,18,18,26,92,88,4,87,15,90,3
lnpsnh13,lnpsnh13,1.0,1,1,1,64,37,6,47,9,63,6
lnpsnh14,lnpsnh14,1.0,44,52,52,72,57,14,55,36,67,14
lnpsnh15,lnpsnh15,1.0,1,27,26,16,34,8,44,8,55,8
lnpsnh16,lnpsnh16,1.0,70,77,1,93,84,31,85,69,90,31
lnpsnh17,lnpsnh17,1.0,1,20,60,70,1,10,66,19,1,17
lnpsnh18,lnpsnh18,1.0,24,1,31,1,52,18,57,20,63,11
lnpsnh19,lnpsnh19,1.0,20,26,21,29,32,7,31,16,32,7
lnpsnh20,lnpsnh20,1.0,1,1,1,89,82,44,82,72,85,44
lnpsnh21,lnpsnh21,1.0,21,33,24,50,42,11,41,17,45,7
lnpsnh22,lnpsnh22,1.0,18,20,24,40,32,8,38,17,32,8
lnpsnh23,lnpsnh23,1.0,1,64,1,85,91,55,90,59,91,57
lnpsnh24,lnpsnh24,1.0,31,39,34,61,82,25,79,29,84,6
lnpsnh25,lnpsnh25,1.0,13,1,23,62,1,9,50,11,56,5
lnpsnh26,lnpsnh26,1.0,48,63,52,92,64,41,64,10,89,14
lnpsnh27,lnpsnh27,1.0,51,65,58,72,68,39,71,46,68,37
lnpsnh28,lnpsnh28,1.0,56,49,49,61,70,45,69,2,76,12
lnpmh0,lnpmh0,1.0,61,80,79,0,85,12,85,59,86,13
lnpmh1,lnpmh1,1.0,1,93,1,115,108,0,102,59,109,0
lnpmh2,lnpmh2,1.0,1,43,38,83,59,6,64,21,79,12
lnpmh3,lnpmh3,1.0,20,44,22,73,65,0,54,15,69,0
lnpmh4,lnpmh4,1.0,120,128,121,136,152,91,146,112,154,94
lnpmsh0,lnpmsh0,1.0,106,115,115,141,125,11,129,91,137,16
lnpmsh1,lnpmsh1,1.0,108,189,187,246,250,74,248,100,254,63
lnpmsh2,lnpmsh2,1.0,166,175,173,301,269,102,276,151,291,86
lnpmsh3,lnpmsh3,1.0,79,90,89,147,127,19,120,49,144,22
lnpmsh4,lnpmsh4,1.0,114,117,112,144,134,54,131,106,119,56
lnpmsh5,lnpmsh5,1.0,59,58,72,131,103,49,101,57,103,53
lnpmsh6,lnpmsh6,1.0,82,99,96,101,103,7,117,69,118,7
lnpmsh7,lnpmsh7,1.0,207,207,249,287,265,150,262,206,265,150
lnpmsh8,lnpmsh8,1.0,181,198,197,223,240,33,238,177,241,40
lnpmsh9,lnpmsh9,1.0,105,134,131,109,182,84,178,89,185,84
lnpmsh10,lnpmsh10,1.0,76,83,81,149,122,15,117,67,148,11
lnpmsh11,lnpmsh11,1.0,227,234,230,246,249,56,247,161,250,62
lnpmsh12,lnpmsh12,1.0,1,153,151,172,156,81,167,142,170,82
lnpmsh13,lnpmsh13,1.0,96,177,174,238,213,49,209,82,227,47
lnpmsh14,lnpmsh14,1.0,74,80,79,98,88,16,88,62,93,56
lnpmsh15,lnpmsh15,1.0,190,224,223,313,292,73,288,167,275,73
lnpmsh16,lnpmsh16,1.0,16,41,30,155,111,10,138,13,144,11
lnpmsh17,lnpmsh17,1.0,30,43,40,81,72,10,55,25,73,11
lnpmsh18,lnpmsh18,1.0,23,32,30,63,44,18,40,7,54,18
lnpmsh19,lnpmsh19,1.0,39,47,44,96,90,17,78,25,94,20
lnpmsh20,lnpmsh20,1.0,1,32,31,84,71,12,67,23,69,7
lnpmsh21,lnpmsh21,1.0,83,87,98,1,114,49,112,69,129,48
lnpmsh22,lnpmsh22,1.0,73,76,76,106,90,20,89,67,98,20
lnpmsh23,lnpmsh23,1.0,43,50,49,61,83,17,67,23,85,12
lnpmsh24,lnpmsh24,1.0,33,40,37,85,52,16,71,30,74,16
lnpmsh25,lnpmsh25,1.0,137,147,144,187,174,109,169,132,180,114
lnpmsh26,lnpmsh26,1.0,46,49,63,95,81,32,80,42,90,31
lnpmsh27,lnpmsh27,1.0,18,35,21,74,57,12,51,5,72,11
lnpmsh28,lnpmsh28,1.0,42,73,54,133,125,2,124,32,128,2
lnphh0,lnphh0,1.0,102,119,111,125,125,84,150,7,159,88
lnphh1,lnphh1,1.0,111,118,123,140,156,48,152,0,145,0
lnphh2,lnphh2,1.0,73,108,84,111,0,47,0,57,164,49
lnphh3,lnphh3,1.0,0,165,162,0,200,99,199,131,0,102
lnphnh0,lnphnh0,1.0,20,49,48,86,54,11,79,16,83,3
lnphnh1,lnphnh1,1.0,36,50,43,313,110,27,105,31,304,15
lnphnh2,lnphnh2,1.0,45,70,56,195,176,18,174,41,189,15
lnphnh3,lnphnh3,1.0,373,383,381,465,450,201,446,372,463,200
lnphnh4,lnphnh4,1.0,206,238,220,281,273,54,265,204,266,71
lnphnh5,lnphnh5,1.0,161,191,190,241,218,53,217,158,228,40
lnphnh6,lnphnh6,1.0,1,259,248,1881,1855,191,1832,228,1859,191
lnphnh7,lnphnh7,1.0,90,117,103,285,279,72,264,89,281,75
lnphnh8,lnphnh8,1.0,34,95,79,149,113,8,127,24,135,7
lnphnh9,lnphnh9,1.0,47,61,59,144,129,15,114,42,133,13
lnphnh10,lnphnh10,1.0,90,131,129,181,176,67,174,80,176,68
