id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,1,49,78,57,75,47,49,34,39,0
mh1,mh1,50.0,6,13,47,38,43,12,17,11,1,40
mh2,mh2,50.0,0,0,0,53,73,55,53,47,47,68
mh3,mh3,50.0,1,1,46,41,18,1,16,6,5,41
mh4,mh4,50.0,0,24,28,27,26,0,22,8,10,26
mnh0,mnh0,50.0,1,55,67,72,93,53,65,40,40,81
mnh1,mnh1,50.0,7,58,89,112,114,64,86,18,15,108
mnh2,mnh2,50.0,26,61,125,66,122,52,60,29,34,74
mnh3,mnh3,50.0,1,24,41,29,36,14,23,10,3,29
mnh4,mnh4,50.0,5,23,23,45,53,24,43,12,20,45
mnh5,mnh5,50.0,2,21,97,65,63,16,35,8,8,84
mnh6,mnh6,50.0,11,64,69,77,69,56,60,47,44,106
mnh7,mnh7,50.0,2,30,31,31,31,27,29,16,17,44
mnh8,mnh8,50.0,1,1,35,16,32,1,1,8,9,25
mnh9,mnh9,50.0,5,30,67,54,63,30,41,24,29,61
mnh10,mnh10,50.0,4,75,76,81,76,56,71,26,27,85
mnh11,mnh11,50.0,4,35,65,43,64,24,41,16,6,58
mnh12,mnh12,50.0,1,27,223,201,206,28,193,22,9,204
mnh13,mnh13,50.0,34,1,1,1,59,48,54,43,42,1
mnh14,mnh14,50.0,16,118,28,121,121,108,116,25,27,126
lpsh0,lpsh0,1.0,1,1,51,31,41,1,11,4,0/8,36
lpsh1,lpsh1,1.0,8,50,72,58,71,36,43,20,3,69
lpsnh0,lpsnh0,1.0,2,94,126,110,124/125,89,100/101,71,74,123
lpsnh1,lpsnh1,1.0,1,17/20,25,27,30,17,23,14,14,25
lpsnh2,lpsnh2,1.0,7,37,1,1,45,31,37/41,28,24,1
lpsnh3,lpsnh3,1.0,2,43,1,46/47,1,1/14,43,11,5/12,49
lpsnh4,lpsnh4,1.0,7,39,68,56/58,67,30,44/45,25,21,62
lpsnh5,lpsnh5,1.0,5/6,17,17,17,50,29,38,15,13,46
lpsnh6,lpsnh6,1.0,6,50,65,66,126,45,57,17,22,121/125
lpsnh7,lpsnh7,1.0,25,51,43,67,76,47,56/58,37,38,74
lpsnh8,lpsnh8,1.0,7,27,43/44,40,35,22,31,12,12,35
lpsnh9,lpsnh9,1.0,1,50,65,55,63,26,46/47,7,1,60
lpsnh10,lpsnh10,1.0,1,24,13,13,64,13,36,6/9,12,51
lpsnh11,lpsnh11,1.0,4,17,32,22,27,13,19,9/10,11,23
lpsnh12,lpsnh12,1.0,1,87,118,120,118/126,113,116,8,41,124
lpsnh13,lpsnh13,1.0,2,36,65/91,81,86/88,32,61,15,13,83/85
lpmh0,lpmh0,1.0,2,59,164,69,162,27,57,12,2,0/92
lpmh1,lpmh1,1.0,0/1,1683,0,0,1720,1664,1681,1659,1662,0
lpmnh0,lpmnh0,1.0,3,37,53,60,128,26,43,23,24,125
lpmnh1,lpmnh1,1.0,6,34,101,52/54,94,21/23,31,7,18,80
lpmnh2,lpmnh2,1.0,3,93,152,125,139,89,100/101,32,20,122
lpmnh3,lpmnh3,1.0,14,78,197,129/131,193,80/78,126,72,75,141
lpmnh4,lpmnh4,1.0,6,79,63,85,101,64,72,43,50,99
lpmnh5,lpmnh5,1.0,23,62,137,76,131/134,58,65,49/50,54,82
lpmnh6,lpmnh6,1.0,29,98,140/141/142,125,139,84,106,53,53,130
lpmnh7,lpmnh7,1.0,1,128,219/223,200,208/206,126,138,98/103,4,201
lpmnh8,lpmnh8,1.0,6,226,266,247,254,209,224,199,201,248
lpmnh9,lpmnh9,1.0,9,69,195,111,90,55,67,40,41,186/187
lpmnh10,lpmnh10,1.0,6,247,385,250,284/285/286,34,240,26,26,275
lpmnh11,lpmnh11,1.0,2,50/51,77,58,76,20,45,8,1,59
lpmnh12,lpmnh12,1.0,3,1,89,79,78,30,64,23,16,81
lpmnh13,lpmnh13,1.0,7,40/72,134/136,100,124,55,70,30,33,118
lphh0,lphh0,1.0,0/6,168,233,172/173,197,145/143,0,135,136,186
lphh1,lphh1,1.0,0,0/102,0,122,217,58/62,105,24/26,30,168
lphnh0,lphnh0,1.0,11,315,219,340,383,232,307/310,207,211,379
lphnh1,lphnh1,1.0,6,50,116,98,112,57,66,26,19,107
lphnh2,lphnh2,1.0,21,255,256,286,299,250,253,109,114,290/291
lphnh3,lphnh3,1.0,24,118,227/228,210,220,57,88,37,44,187
lphnh4,lphnh4,1.0,1,34,203,166,201,68,143,24,19,192
lphnh5,lphnh5,1.0,1,94,96,108,96,83,88/90,31,25,110
lphnh6,lphnh6,1.0,29,221,241,231,239,159,218,55,62,238
lphnh7,lphnh7,1.0,22,296,373,325,344,228/230,293,214,218,329
lphnh8,lphnh8,1.0,68,135,212,201,210,132/133,145,89,90,208
lphnh9,lphnh9,1.0,15,68/69,109/110,82,73,53,62,38,40,105
lphnh10,lphnh10,1.0,7,64,93,80/81,91,43/44,64,31,33,87/90
lphnh11,lphnh11,1.0,12,104,234,144,232,101/102,106,66,78,208
lphnh12,lphnh12,1.0,13,44,229/215,127,192,90,109,28,36,139
lphnh13,lphnh13,1.0,39,115,226/138,184,225,106,134,76/77,41,217
lnpsh0,lnpsh0,1.0,1,26,46,33,41,21,27,0,0,29
lnpsh1,lnpsh1,1.0,3,70,90,84,87,65,70,0,11,0
lnpsh2,lnpsh2,1.0,0,16,16,62,62,25,0,10,13,0
lnpsh3,lnpsh3,1.0,7,26,35,31,32,1,25,10,12,31
lnpsh4,lnpsh4,1.0,2,48,0,74,0,42,59,13,14,75
lnpsh5,lnpsh5,1.0,6,0,37,33,33,19,0,11,3,33
lnpsh6,lnpsh6,1.0,1,92,25,0,112,36,81,17,22,108
lnpsh7,lnpsh7,1.0,0,0,28,54,61,34,39,18,22,57
lnpsh8,lnpsh8,1.0,8,23,35,19,34,20,27,11,11,19
lnpsh9,lnpsh9,1.0,3,37,92,75,87,0,62,0,34,0
lnpsnh0,lnpsnh0,1.0,5,128,1,145,156,81,127,24,29,146
lnpsnh1,lnpsnh1,1.0,2,18,41,31,37,20,23,12,12,25
lnpsnh2,lnpsnh2,1.0,3,32,61,43,53,31,26,19,10,48
lnpsnh3,lnpsnh3,1.0,3,42,53,17,45,20,38,8,5,17
lnpsnh4,lnpsnh4,1.0,7,31,57,24,53,28,44,9,15,50
lnpsnh5,lnpsnh5,1.0,9,31,60,58,34,18,25,14,14,34
lnpsnh6,lnpsnh6,1.0,5,23,22,42,51,25,30,18,9,49
lnpsnh7,lnpsnh7,1.0,2,47,65,55,59,36,47,2,9,55
lnpsnh8,lnpsnh8,1.0,6,1,55,48,52,38,41,26,14,48
lnpsnh9,lnpsnh9,1.0,7,17,27,38,49,19,24,14,14,47
lnpsnh10,lnpsnh10,1.0,3,29,247,215,219,15,158,4,9,213
lnpsnh11,lnpsnh11,1.0,7,88,128,100,114,87,92,59,79,109
lnpsnh12,lnpsnh12,1.0,1,26,1,41,59,21,30,9,1,56
lnpsnh13,lnpsnh13,1.0,3,22,63,53,51,16,45,8,8,53
lnpsnh14,lnpsnh14,1.0,4,99,233,227,224,97,214,72,73,227
lnpsnh15,lnpsnh15,1.0,1,36,116,57,114,40,56,3,24,62
lnpsnh16,lnpsnh16,1.0,2,40,81,55,62,30,36,6,17,53
lnpsnh17,lnpsnh17,1.0,1,21,31,31,31,20,29,6,9,36
lnpsnh18,lnpsnh18,1.0,5,43,74,1,72,20,68,3,10,69
lnpsnh19,lnpsnh19,1.0,4,26,46,32,28,1,25,10,19,36
lnpsnh20,lnpsnh20,1.0,2,13,72,58,66,32,48,4,3,58
lnpsnh21,lnpsnh21,1.0,6,66,115,87,104,60,78,9,9,98
lnpsnh22,lnpsnh22,1.0,1,28,63,34,1,21,31,6,6,48
lnpsnh23,lnpsnh23,1.0,1,45,116,59,105,44,45,8,11,99
lnpsnh24,lnpsnh24,1.0,2,44,53,52,52,21,43,17,18,52
lnpsnh25,lnpsnh25,1.0,3,28,18,37,54,23,32,6,7,44
lnpsnh26,lnpsnh26,1.0,5,11,23,25,36,14,11,7,6,25
lnpsnh27,lnpsnh27,1.0,9,33,40,43,55,31,37,18,15,43
lnpsnh28,lnpsnh28,1.0,1,20,42,66,94,18,39,3,11,67
lnpsnh29,lnpsnh29,1.0,2,36,56,47,18,19,36,10,14,50
lnpsnh30,lnpsnh30,1.0,1,34,1,48,1,30,41,21,1,55
lnpsnh31,lnpsnh31,1.0,8,38,63,46,62,35,40,24,31,58
lnpsnh32,lnpsnh32,1.0,4,54,72,60,71,18,50,1,5,65
lnpsnh33,lnpsnh33,1.0,5,38,41,45,41,32,37,19,21,47
lnpsnh34,lnpsnh34,1.0,14,31,86,1,77,24,59,21,19,68
lnpsnh35,lnpsnh35,1.0,1,22,32,26,18,18,21,7,14,27
lnpsnh36,lnpsnh36,1.0,2,53,119,104,117,40,61,13,16,116
lnpsnh37,lnpsnh37,1.0,9,122,123,124,127,19,37,5,14,124
lnpsnh38,lnpsnh38,1.0,3,40,51,41,47,32,38,8,1,46
lnpsnh39,lnpsnh39,1.0,1,41,46,53,49,22,40,2,5,55
lnpsnh40,lnpsnh40,1.0,1,39,65,64,63,37,61,6,11,63
lnpsnh41,lnpsnh41,1.0,1,1,1,70,72,8,48,6,6,62
lnpsnh42,lnpsnh42,1.0,8,23,50,46,48,33,39,16,18,23
lnpsnh43,lnpsnh43,1.0,1,27,83,43,67,27,39,25,23,57
lnpsnh44,lnpsnh44,1.0,8,45,73,64,68,37,45,32,34,65
lnpsnh45,lnpsnh45,1.0,1,12,27,30,27,1,25,1,6,46
lnpsnh46,lnpsnh46,1.0,4,36,123,58,76,46,50,24,17,66
lnpsnh47,lnpsnh47,1.0,6,1,92,57,80,47,51,8,11,66
lnpsnh48,lnpsnh48,1.0,4,1,28,1,24,13,16,9,10,1
lnpsnh49,lnpsnh49,1.0,1,37,38,38,46,30,34,20,25,41
lnpsnh50,lnpsnh50,1.0,10,28,39,41,47,22,37,13,14,45
lnpsnh51,lnpsnh51,1.0,15,32,99,63,55,30,53,24,27,66
lnpsnh52,lnpsnh52,1.0,10,1,43,43,50,26,38,14,22,43
lnpsnh53,lnpsnh53,1.0,6,35,41,44,53,32,39,20,15,51
lnpsnh54,lnpsnh54,1.0,20,33,60,33,56,50,33,31,10,33
lnpsnh55,lnpsnh55,1.0,3,23,30,42,32,16,24,13,15,32
lnpsnh56,lnpsnh56,1.0,1,10,1,1,1,8,30,4,5,38
lnpsnh57,lnpsnh57,1.0,1,35,79,50,64,28,34,9,17,52
lnpsnh58,lnpsnh58,1.0,6,17,70,37,40,1,1,6,15,35
lnpsnh59,lnpsnh59,1.0,1,25,59,82,88,30,34,19,23,73
lnpsnh60,lnpsnh60,1.0,1,50,74,66,68,38,53,1,6,64
lnpsnh61,lnpsnh61,1.0,1,18,64,39,60,15,23,3,3,42
lnpsnh62,lnpsnh62,1.0,9,29,23,57,23,26,53,14,9,61
lnpsnh63,lnpsnh63,1.0,3,36,57,84,87,46,36,26,27,85
lnpsnh64,lnpsnh64,1.0,12,23,66,36,45,19,27,15,16,40
lnpsnh65,lnpsnh65,1.0,6,1,94,56,76,28,38,6,6,57
lnpsnh66,lnpsnh66,1.0,3,38,55,42,49,26,39,10,15,42
lnpsnh67,lnpsnh67,1.0,6,64,144,69,139,48,60,39,30,85
lnpsnh68,lnpsnh68,1.0,9,41,49,53,59,30,39,15,13,49
lnpsnh69,lnpsnh69,1.0,4,12,48,34,47,14,23,11,9,45
lnpsnh70,lnpsnh70,1.0,1,6,49,53,52,8,45,3,3,59
lnpsnh71,lnpsnh71,1.0,1,42,68,56,65,40,47,24,25,61
lnpsnh72,lnpsnh72,1.0,2,1,95,83,94,63,72,20,13,87
lnpmh0,lnpmh0,1.0,3,58,98,68,0,40,58,29,35,73
lnpmh1,lnpmh1,1.0,7,0,110,116,162,1,105,32,100,147
lnpmh2,lnpmh2,1.0,5,36,38,40,48,21,35,18,20,40
lnpmh3,lnpmh3,1.0,8,88,109,76,97,81,83,72,0,0
lnpmh4,lnpmh4,1.0,4,41,0,68,77,31,20,14,8,70
lnpmh5,lnpmh5,1.0,24,135,306,268,295,117,262,38,64,287
lnpmh6,lnpmh6,1.0,0,48,91,81,81,38,62,22,0,88
lnpmh7,lnpmh7,1.0,15,59,0,0,77,48,0,32,0,95
lnpmh8,lnpmh8,1.0,27,48,106,110,0,46,0,0,0,0
lnpmh9,lnpmh9,1.0,3,47,70,60,66,36,48,8,18,0
lnpmh10,lnpmh10,1.0,1,38,62,58,56,0,46,9,12,60
lnpmh11,lnpmh11,1.0,1,56,82,65,0,1,53,14,15,80
lnpmh12,lnpmh12,1.0,16,0,69,69,69,54,65,26,22,69
lnpmsh0,lnpmsh0,1.0,6,112,153,122,147,29,105,17,20,143
lnpmsh1,lnpmsh1,1.0,1,50,129,98,73,34,62,5,5,118
lnpmsh2,lnpmsh2,1.0,3,53,125,82,121,1,52,17,48,98
lnpmsh3,lnpmsh3,1.0,16,58,27,74,98,38,62,22,24,94
lnpmsh4,lnpmsh4,1.0,4,39,56,53,54,37,44,21,22,50
lnpmsh5,lnpmsh5,1.0,11,71,85,89,103,65,78,51,42,94
lnpmsh6,lnpmsh6,1.0,23,56,154,68,63,38,55,33,33,138
lnpmsh7,lnpmsh7,1.0,1,88,151,130,139,74,89,64,12,132
lnpmsh8,lnpmsh8,1.0,5,70,83,87,97,66,82,48,49,95
lnpmsh9,lnpmsh9,1.0,3,47,70,63,67,36,45,33,35,60
lnpmsh10,lnpmsh10,1.0,16,55,120,79,115,32,48,23,26,83
lnpmsh11,lnpmsh11,1.0,6,57,107,71,97,53,61,36,38,92
lnpmsh12,lnpmsh12,1.0,3,42,87,57,58,22,38,4,1,52
lnpmsh13,lnpmsh13,1.0,17,36,40,59,64,29,37,21,17,53
lnpmsh14,lnpmsh14,1.0,4,102,122,118,115,75,92,45,6,119
lnpmsh15,lnpmsh15,1.0,15,97,102,103,120,91,97,51,62,109
lnpmsh16,lnpmsh16,1.0,3,36,39,47,79,25,35,22,24,47
lnpmsh17,lnpmsh17,1.0,7,164,181,170,178,68,159,32,10,176
lnpmsh18,lnpmsh18,1.0,23,134,179,156,169,131,136,81,93,163
lnpmsh19,lnpmsh19,1.0,3,21,45,30,42,16,14,10,11,37
lnpmsh20,lnpmsh20,1.0,14,49,101,75,60,42,53,33,20,96
lnpmsh21,lnpmsh21,1.0,6,88,113,97,89,71,85,27,39,110
lnpmsh22,lnpmsh22,1.0,4,132,264,181,236,102,126,27,41,232
lnpmsh23,lnpmsh23,1.0,1,48,105,78,64,32,41,23,28,97
lnpmsh24,lnpmsh24,1.0,10,72,100,96,77,55,68,26,29,77
