id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,1,3,11,11,3,0,3,3,3,11
mh1,mh1,50.0,1,1,1,1,1,0,1,1,0,1
mh2,mh2,50.0,1,1,4,1,2,1,3,0,0,1
mh3,mh3,50.0,3,2,1,1,2,2,2,2,2,1
mh4,mh4,50.0,1,2,7,7,4,2,4,5,4,7
mnh0,mnh0,50.0,1,3,1,1,4,8,4,5,4,1
mnh1,mnh1,50.0,1,3,1,1,6,3,6,6,6,1
mnh2,mnh2,50.0,1,1,1,1,1,1,1,3,1,1
mnh3,mnh3,50.0,1,1,1,4,1,1,1,1,1,1
mnh4,mnh4,50.0,1,1,7,1,1,4,1,1,1,1
mnh5,mnh5,50.0,1,1,1,1,1,1,1,1,1,1
mnh6,mnh6,50.0,1,1,1,1,1,1,1,4,1,1
mnh7,mnh7,50.0,1,1,1,1,1,5,1,1,1,1
mnh8,mnh8,50.0,13,3,1,11,4,7,4,4,4,11
mnh9,mnh9,50.0,1,1,1,1,3,3,3,7,3,1
mnh10,mnh10,50.0,1,1,1,1,1,1,1,3,4,1
mnh11,mnh11,50.0,1,1,1,3,1,1,1,1,1,3
mnh12,mnh12,50.0,1,2,1,15,2,4,2,2,2,13
mnh13,mnh13,50.0,1,1,6,6,1,5,1,1,1,6
mnh14,mnh14,50.0,11,6,9,1,6,6,6,6,6,1
lpsh0,lpsh0,1.0,1,1/2,0,0,2,2,2,5,2,0
lpsh1,lpsh1,1.0,1,1,0/6,7,1,1,1,3/4,3,7
lpsnh0,lpsnh0,1.0,1,1,1,14,1,10,1,2/4,1,14
lpsnh1,lpsnh1,1.0,1,1,1,1,1,1/4,1,1,1/3,1
lpsnh2,lpsnh2,1.0,1,1,3,3,1,1,1,1,1,3
lpsnh3,lpsnh3,1.0,6/7,1,1/4,4,1,1,1,1,2,4
lpsnh4,lpsnh4,1.0,1,1,6,1,1,3,1,1,1,1
lpsnh5,lpsnh5,1.0,6,1,8,13,1,1,1,1,1,13/14/15
lpsnh6,lpsnh6,1.0,1,1,4,7,1,1/2,1,1,1,7
lpsnh7,lpsnh7,1.0,1,3/6,7,1,3,3,3,3,3,1
lpsnh8,lpsnh8,1.0,1/10,1,9,9,1,2,1,1,1,9
lpsnh9,lpsnh9,1.0,1,2,1,12/13,2,2,2,2,2,13
lpsnh10,lpsnh10,1.0,1,1,1/6,1,1,1,1,3/4,1,1
