id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,0,0,0,0,0/2,2,1,0,0,0
lpsh1,lpsh1,1.0,1,1,4,1/10,1,1,1,9,1,1
lpsh2,lpsh2,1.0,1,1,1,1,1,2,1,1,1,1
lpsh3,lpsh3,1.0,5,1,1,1,5,5,7/8,3,5,5
lpsh4,lpsh4,1.0,1,1,1,1,2,3,2,1,2,1
lpsh5,lpsh5,1.0,5,1,1,1,4,4,4,1,4,4/5
lpsh6,lpsh6,1.0,4,1,1,1/2,4,4,4,1,4,4
lpsh7,lpsh7,1.0,1,1,1,2,1,1,1,1,4,1
lpsnh0,lpsnh0,1.0,2,1,1,1,2,2,2,1,2,2
lpsnh1,lpsnh1,1.0,1,1,1,5,1,1,1,1,1,1
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1,1,1,1/3,1
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh4,lpsnh4,1.0,2/4,1,1,1,4/5,4/5,4/5,1,4/5,2/4
lpsnh5,lpsnh5,1.0,1/4,1,1,1,1,1,1,1,1/3,1
lpsnh6,lpsnh6,1.0,2,1,1,2,2,2,4,1,2,2/3
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh8,lpsnh8,1.0,1,1,1,1/3,1,1,1,1,1,1
lpsnh9,lpsnh9,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh10,lpsnh10,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh11,lpsnh11,1.0,3,1,1,1,3,3,3,1,3,3
lpsnh12,lpsnh12,1.0,1,1/2,1,1,1,1,1,1,1,1
lpsnh13,lpsnh13,1.0,1,1,1,1,1,1,1,1/2,1,1
lpsnh14,lpsnh14,1.0,1,1,2,1,1,1/3,1,2,1,1
lpsnh15,lpsnh15,1.0,1/5,1,1,2/3,1/4,1,1,1,1,1
lpsnh16,lpsnh16,1.0,6/7,1,1,2,6,6,6,1,6,6/7
lpsnh17,lpsnh17,1.0,4,1,1,1,1,2/3,1,1,1,1
lpsnh18,lpsnh18,1.0,3,1,1,1/2,1,1,1,1,1,3/5
lpsnh19,lpsnh19,1.0,4,1,1,1,4,4,4,1,4,4
lpsnh20,lpsnh20,1.0,2,1,1,1,2,2,2,1,2/3,2
lpsnh21,lpsnh21,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh22,lpsnh22,1.0,1,2,2,1,1,1,1,2,1,1
lpsnh23,lpsnh23,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh24,lpsnh24,1.0,6,1,1,1,10/11,6,6,1,6,6
lpsnh25,lpsnh25,1.0,1,1,1,1/3,1,1,1,1,1/4/5,1
lpsnh26,lpsnh26,1.0,1,1,1/2,1,1,1,1,2,1,1
lpsnh27,lpsnh27,1.0,3,1,1,1,1,1,1,1,1,1
lpsnh28,lpsnh28,1.0,5,1/2,1/2,1,1/5,1/5,1,1/2,1,5
lpsnh29,lpsnh29,1.0,1,1,1,1,1,1,1,1,2,1
lpsnh30,lpsnh30,1.0,1,1,1/4,1,1/6,1,1,1,1,1
lpsnh31,lpsnh31,1.0,1,1,2,1,1,1,1,2,1,1
lpsnh32,lpsnh32,1.0,6,1,1,4,6,6,6,1,6,6
lpsnh33,lpsnh33,1.0,3,1,1,1,1,1,1,1,1,1/3
lpsnh34,lpsnh34,1.0,1/10,1,1,1,1,1,1/4,1,1,1
lpsnh35,lpsnh35,1.0,1,1,1,1,1,1,1,1,1/5,1
lpsnh36,lpsnh36,1.0,1,1,2,1/3,1,1,1,2,1,1
lpsnh37,lpsnh37,1.0,3/4,1,2,1,1,1,1,2,1,3
lpsnh38,lpsnh38,1.0,1,1,1,2,1,1,1/4,1,1,1
lpsnh39,lpsnh39,1.0,1,1,1,1,1,1,1,1,2,1
lpsnh40,lpsnh40,1.0,1,1/2,1/2,1,1,1,1,1,1,1
lpsnh41,lpsnh41,1.0,2/3,1,1,1,1,1,1,1,1,1
lpsnh42,lpsnh42,1.0,2,1,1,1,2,2,2,1,2,2
lpsnh43,lpsnh43,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh44,lpsnh44,1.0,1,1,1,3,4,4,4,1,4,1
lpsnh45,lpsnh45,1.0,1,1,1,4,1,1,1,1/3,1,1
lpsnh46,lpsnh46,1.0,8,1,2,1,1,1,1/4,2,1,1
lpsnh47,lpsnh47,1.0,3,2,2,3,3,3,3,2,3,3
lpsnh48,lpsnh48,1.0,2,1,1,1,2,2,2,1,2,2
lpsnh49,lpsnh49,1.0,9,1,2,7,1,1/8,1,2,1,1
lpsnh50,lpsnh50,1.0,1,1,1,1,1/5,1,1,1,1,1
lpsnh51,lpsnh51,1.0,6,1,1,1,1,3/4,1,1,1,6
lpsnh52,lpsnh52,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh53,lpsnh53,1.0,5,1,1,3,4,4,4,2,4,1/5
lpsnh54,lpsnh54,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh55,lpsnh55,1.0,1,1,1,1,1/2,1,1,1,1,1
lpsnh56,lpsnh56,1.0,4,1,1,1/2,4,4,5/6,1,4/7,4
lpsnh57,lpsnh57,1.0,11,1,1,1,9/11,9/11,11,2,9,11
lpmh0,lpmh0,1.0,1,1,1,5,1/7,1,1,1/2,1,1
lpmh1,lpmh1,1.0,18,1/2,0,8,18,18,18,0,18,18
lpmh2,lpmh2,1.0,3,1,1,1,1,1,1,2,1,1
lpmh3,lpmh3,1.0,1,1,1,1,1,1,1/2,1,1,1
lpmh4,lpmh4,1.0,0,0,0,0,2,2,2,0,2,0/2
lpmh5,lpmh5,1.0,1,1,1,1,1,6,5,0,5,1/7
lpmh6,lpmh6,1.0,1,1,1,1,1,1,1/3/4,1,1,1
lpmh7,lpmh7,1.0,4,2,1,0,4,4,12/13,1,4,4
lpmh8,lpmh8,1.0,12,2,1,1,9/11,9,10,3,9/11,12
lpmh9,lpmh9,1.0,5/9,2,1,4,5,5,6,0,5/7,5
lpmnh0,lpmnh0,1.0,3,1,1,1,3,3,3,1,3,3
lpmnh1,lpmnh1,1.0,4,1,1,3,8,5,4,2,4,4
lpmnh2,lpmnh2,1.0,4,1,1,4,4,4,6,1/2,4,4
lpmnh3,lpmnh3,1.0,5,1/3,1,1,4,4,4,1,4,4/5
lpmnh4,lpmnh4,1.0,4/5,1,1,1,1,1,1,1,3,4
lpmnh5,lpmnh5,1.0,10,1,3,7,1,1,1,3,1,10
lpmnh6,lpmnh6,1.0,21,1,1/2,3,20,17,13,2,19/11,21/11
lpmnh7,lpmnh7,1.0,5,1,1,2,1,1,1,1,3,1
lpmnh8,lpmnh8,1.0,6,4,4,6,6,6,6,4,6,6
lpmnh9,lpmnh9,1.0,21,1,1,5/8,17,20,19,4,17,21
lpmnh10,lpmnh10,1.0,5,1,1,1,5/14/15,5,5,1,5,5
lpmnh11,lpmnh11,1.0,1,1,1/4,1/9,17,17,1,1/6,17/19,1
lpmnh12,lpmnh12,1.0,16,1,2,1,5,12,6,2,5,16/15
lpmnh13,lpmnh13,1.0,1/8,1,1,1,2,5/6,2,1,7,8
lpmnh14,lpmnh14,1.0,1,1,1,1,1,1,4,3,1,1
lpmnh15,lpmnh15,1.0,3,1,1/2,1,7,3,3,1/2,3/6,3
lpmnh16,lpmnh16,1.0,1/9,1,1,6,7,1,1,1,1,1/9
lpmnh17,lpmnh17,1.0,11/13,2,2,1,1,1,1/8,6,1,11
lpmnh18,lpmnh18,1.0,4,1,1,1,4,10,4,1,4,4
lpmnh19,lpmnh19,1.0,1,2,6,1,1,1,8,6,1,1
lpmnh20,lpmnh20,1.0,10,1,2,5,8,1,1,2,1/7,1
lpmnh21,lpmnh21,1.0,8/10,1,1,3,6,6,6,1,6,8
lpmnh22,lpmnh22,1.0,5,1,1,1,5,5,5,1,5,5
lpmnh23,lpmnh23,1.0,1,1,1,1,1,1,1/4,1,1,1
lpmnh24,lpmnh24,1.0,1,1,1,1,3/5,3/4,1,1,3,1
lpmnh25,lpmnh25,1.0,1,1,1,1,1,1/4,1,3,1,1
lpmnh26,lpmnh26,1.0,4,1,1,3,1/4,6,4,1,1/4/8/9/10,4
lpmnh27,lpmnh27,1.0,1,1,1,1,1,1/19,1,17,1,1
lpmnh28,lpmnh28,1.0,8,3/5,3,1,8,8,8,3,8/9,8
lpmnh29,lpmnh29,1.0,11,1,1,1,8,8,5,1,8,11
lpmnh30,lpmnh30,1.0,12,2,1,3/4,5/7,5,3,1,5,12
lpmnh31,lpmnh31,1.0,3,2,1,3,13,13,11,1,13,3
lpmnh32,lpmnh32,1.0,9,2,1/4,1/5,5,5,5,1/3,6,9
lpmnh33,lpmnh33,1.0,5,1,2,3,5,5,6,2,5,5
lpmnh34,lpmnh34,1.0,13,1,1,2/3,2,2,2/6/7,1,2,13
lpmnh35,lpmnh35,1.0,4,1/3,3,1,7/8,4,4,3,4,4
lpmnh36,lpmnh36,1.0,2,1,1,1,2,2,3,1,2,4
lpmnh37,lpmnh37,1.0,1,1,1,1,1,1,1,1,1,1
lpmnh38,lpmnh38,1.0,4,2,2,1,4,4,4,2,4,4/6
lpmnh39,lpmnh39,1.0,1,1/2,1,3,5,12,9,1,5,1
lpmnh40,lpmnh40,1.0,1,1,1,1,1,1,1/4,1,1,1
lpmnh41,lpmnh41,1.0,1,1,1,1,1,6/7,1,4/5,1,1
lpmnh42,lpmnh42,1.0,1,1,1,1,1,1,1,2,1,1/4
lpmnh43,lpmnh43,1.0,8,4/5,4,1,8,10,9,4,8,8
lpmnh44,lpmnh44,1.0,4,2,1,3,13,11/12,4,1,9,4
lpmnh45,lpmnh45,1.0,11,1,1,1,5,8/9,5,1,5,11
lpmnh46,lpmnh46,1.0,5/10,1,1,1,5,9,6/8,1,5,5
lpmnh47,lpmnh47,1.0,4,1,1,1,1/3,1,1,1/2,1,4/5
lpmnh48,lpmnh48,1.0,1,2,2,4/5/6,1,1,1,2,16,1
lpmnh49,lpmnh49,1.0,6,1/2,1,8/10,6,6,12,3,6,6
lpmnh50,lpmnh50,1.0,7,1,1,1,7,7,7,1,7/10,7
lpmnh51,lpmnh51,1.0,16,1,1/2/3,1,1,9,1,5,1,16
lpmnh52,lpmnh52,1.0,5,1,1,1,3,3,3/6,1,3,5
lpmnh53,lpmnh53,1.0,5,1,4,1,10,8/9,5,3,7,5
lpmnh54,lpmnh54,1.0,3,1,1,3,3,3,5,1,3,3
lpmnh55,lpmnh55,1.0,6/7,1,1,3,1,1,1,2,5,6/7
lpmnh56,lpmnh56,1.0,3,1,1,1/2,3/6,7,3/6,1,6,3
lpmnh57,lpmnh57,1.0,5,2,2,1,1,1,1,2,4,5
lphh0,lphh0,1.0,1,1,1,16/1,1,1,1/21,14,1,1/23
lphh1,lphh1,1.0,0,1,9,13,0,0,0/22,12,0/25,0
lphh2,lphh2,1.0,18,0,1,9,17,0,0/11,3,13,18
lphh3,lphh3,1.0,0,1,1,1,3,3,0,1,3,0
lphh4,lphh4,1.0,1,2,2,0/1,8,1/8,1,4/5,8,11
