id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,7,0,2,0,0,1,8,0,2,3
mh1,mh1,50.0,1,2,1,1,1,1,4,1,1,1
mh2,mh2,50.0,5,1,1,1,1,1,1,1,1,3
mh3,mh3,50.0,1,1,1,1,1,1,1,2,1,1
mh4,mh4,50.0,1,1,2,1,1,1,1,1,1,0
mnh0,mnh0,50.0,1,1,1,1,1,1,1,1,2,1
mnh1,mnh1,50.0,4,1,1,1,1,3,1,1,1,1
mnh2,mnh2,50.0,11,4,4,4,4,4,1,4,4,4
mnh3,mnh3,50.0,1,1,1,4,1,1,1,1,1,1
mnh4,mnh4,50.0,1,2,4,4,3,4,1,4,4,4
mnh5,mnh5,50.0,1,1,1,1,1,1,1,1,1,1
mnh6,mnh6,50.0,1,2,2,4,2,2,1,4,3,7
mnh7,mnh7,50.0,1,4,1,6,1,1,1,1,1,1
mnh8,mnh8,50.0,7,1,3,1,1,2,1,1,1,4
mnh9,mnh9,50.0,1,1,3,1,1,1,1,1,1,4
mnh10,mnh10,50.0,1,1,1,1,1,3,1,6,1,1
mnh11,mnh11,50.0,1,1,1,1,1,1,1,1,1,1
mnh12,mnh12,50.0,18,2,1,1,2,1,20,1,15,1
mnh13,mnh13,50.0,1,1,5,1,1,1,1,1,1,8
mnh14,mnh14,50.0,1,1,8,9,1,1,1,1,8,1
lpsh0,lpsh0,1.0,0,0,0,1,0,0,0,0,0,2
lpsh1,lpsh1,1.0,0,1,1,1,1,1,0/1,1,1,0/3
lpsh2,lpsh2,1.0,1,3,3,3,3,3,1,3,5,8
lpsh3,lpsh3,1.0,1,1,2,2,1,0/2/3,1,2,2,2
lpsh4,lpsh4,1.0,0/1,0,0,0,0,0,0,0,0,0
lpsh5,lpsh5,1.0,1,3,1,1,3,1,1,1,1,1
lpsh6,lpsh6,1.0,1,3,1,1,1,1,1/4,1,1,1
lpsh7,lpsh7,1.0,6,2,2,3/4,2,2,0,3,2,2
lpsh8,lpsh8,1.0,1,1,1,1,1,1,1,1,3,1
lpsh9,lpsh9,1.0,5,1,1,0,1,1,5,1,1,1
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,1,1,1,4
lpsnh1,lpsnh1,1.0,1,2,1,1,1,4,1,1,5,1/8
lpsnh2,lpsnh2,1.0,8,1,1,1,1,3/4,1,1,1,1
lpsnh3,lpsnh3,1.0,1,1,1,2,1,1,1,1/2,1,1
lpsnh4,lpsnh4,1.0,13,1,2,3,1,9,13,3,2,12
lpsnh5,lpsnh5,1.0,1,1,2,1,1,1,1,1,3,5
lpsnh6,lpsnh6,1.0,10,2,4,8,2,2,10,2,2,2
lpsnh7,lpsnh7,1.0,1,1,1,3,1,1,1,3,1,1
lpsnh8,lpsnh8,1.0,1,40,1,1,1,1,1,1,1,1
lpsnh9,lpsnh9,1.0,3,1,1,1,1,1,3,1,1,1
lpsnh10,lpsnh10,1.0,7,1,1/3,1,1,1/2,7,1,1/4/5,6
lpsnh11,lpsnh11,1.0,1,1,1,1,1,1,1,1,1,2/4
lpsnh12,lpsnh12,1.0,12,2,9,2,2,5,1,2,9,2
lpsnh13,lpsnh13,1.0,3,1,1,1,1,1,1,1,1,1
lpsnh14,lpsnh14,1.0,1,3,4,1,1,1,1,1,1,1/5
lpsnh15,lpsnh15,1.0,8,2,2/4,2,2,2,1,2,2,5
lpsnh16,lpsnh16,1.0,1,1,2,1,1,1,1,1,1/2/3,1
lpsnh17,lpsnh17,1.0,10/11,3,5,9,1,1,12,9,5,1
lpsnh18,lpsnh18,1.0,13,5,3,3,3,3,1,3,3,11
lpsnh19,lpsnh19,1.0,10,4/5,1,6,1,1,1,1,1,9
lpsnh20,lpsnh20,1.0,1,1,5,1,1,1,1,1,9,1
lpsnh21,lpsnh21,1.0,7,1,1/3,1,1,1,1,1,4/5,1
lpsnh22,lpsnh22,1.0,1/4,2,2,2,2,2,1,2,2/3,2
lpsnh23,lpsnh23,1.0,5,2,1,1,1,1,1,1,1,1
