id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,9,1,0,1,6,1,1,1,4,1
lpsh1,lpsh1,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh0,lpsnh0,1.0,3,2,1,1,1,3,3,3,2,3
lpsnh1,lpsnh1,1.0,5,1,1,1,1,1,1,1/2,1,2
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1,1,1,1,5
lpsnh3,lpsnh3,1.0,1,4,1,1/2,1,1,1,1,4,1
lpsnh4,lpsnh4,1.0,2,1,1,2,1,1,2,2,1,5
lpsnh5,lpsnh5,1.0,6,3,1/7,1,1,1/5,5,1,3,1
lpsnh6,lpsnh6,1.0,6,1,1,11,1,3/4,5,5,1,5
lpsnh7,lpsnh7,1.0,8,1/2/3,1,4,1,4,4,6,1,9
lpsnh8,lpsnh8,1.0,1,2,1,1,1,1,1,1,1,1
lpsnh9,lpsnh9,1.0,9,1,1,3/10,1,3,3,3,1,3
lpsnh10,lpsnh10,1.0,3,1,1,1,1,1,1,1/2,1,8
lpsnh11,lpsnh11,1.0,12,1,1,1,1,10,10,10,4,16
lpsnh12,lpsnh12,1.0,4,1,1,1,1,1,1,5/6,1,4
lpsnh13,lpsnh13,1.0,5,1,1,1,1,3,3/9,5,1,7/8
lpmh0,lpmh0,1.0,12,1,1,1,7,9,9,9,0/1,9
lpmh1,lpmh1,1.0,11,4/5/6,1,7,1,7,7,7,3,12
lpmnh0,lpmnh0,1.0,19,1,1,1,1,7,1,1,1,1
lpmnh1,lpmnh1,1.0,12,3,1,1,1/7,9,19,10,1,14
lpmnh2,lpmnh2,1.0,43,31,1,1,37,40,1,46/47,28,41
lpmnh3,lpmnh3,1.0,11,2,1/19,17/18/4/5/6,3,6/8,6,6,2,15
lpmnh4,lpmnh4,1.0,8,2,1/11,1,1/2,1,1,1,2,1
lpmnh5,lpmnh5,1.0,8,2,1,6,1,8,8,8,3/4,14
lpmnh6,lpmnh6,1.0,10,5,1,9,1,12,10,10,5,14
lpmnh7,lpmnh7,1.0,10,4,1,1/15,1/6,1/8/9,1,1,4,11
lpmnh8,lpmnh8,1.0,2,6,1,2,2,2,2,2,6/7,11
lpmnh9,lpmnh9,1.0,1,20/11,1,1,21,1,1,1,14,1
lpmnh10,lpmnh10,1.0,15,13,1,1,1,1,1,17/18,13,1
lpmnh11,lpmnh11,1.0,3/9,1,1,16,2,7,3,3/15,1,13
lpmnh12,lpmnh12,1.0,8,1/3,1,1,5,1,10,1,1,1
lpmnh13,lpmnh13,1.0,43,1,1,1/8/45,1,8,8,8,3/4/5,8/44
lphh0,lphh0,1.0,15,8/10,1,19,0/4,4,0/4,12,6,12
lphh1,lphh1,1.0,19,10,1,14,13,16,14,17,8,17
lphnh0,lphnh0,1.0,7,3,1,5,1,5,5,11/12,3,5
lphnh1,lphnh1,1.0,12,3,1,1,10,12,12,12,5/6,22/24
lphnh2,lphnh2,1.0,22,4,1/29,1,8,15,14,25,4,23/24
lphnh3,lphnh3,1.0,141,116,1,1,125,137,138,144,111,143
lphnh4,lphnh4,1.0,30,6,1,1,1/8/9,10,10,10,6,10
lphnh5,lphnh5,1.0,12,1,1,1,5,10/11,8,12,1,12
lphnh6,lphnh6,1.0,15,9,24,1,1,13,11,15,7,22
lphnh7,lphnh7,1.0,1,28,1/37,36,32/30,1,1/35,1,14,1
lphnh8,lphnh8,1.0,64,19,69,2/67,3,32,32,32/66,19,32/65
lphnh9,lphnh9,1.0,24,17,1,5,21,28,24,24,5,30
lphnh10,lphnh10,1.0,33,15,38,37,17,22,34,31,10/11,31
lphnh11,lphnh11,1.0,17,6,1,2,2,2,2/21,20/12,3,19
lphnh12,lphnh12,1.0,28,1,1,34,11/12,22,32/20,20,6,31
lphnh13,lphnh13,1.0,35,3,1,1,23,32,26,43,17,34
lnpsh0,lnpsh0,1.0,0,1,1,1,1,0,1,0,1,0
lnpsh1,lnpsh1,1.0,7,1,1,7,6,7,7,7,1,7
lnpsh2,lnpsh2,1.0,5,1,0,0,0,0,0,7,1,6
lnpsh3,lnpsh3,1.0,0,2,1,1,1,1,1,1,2,5
lnpsh4,lnpsh4,1.0,0,4,1,1,8,1,1,11,6,0
lnpsh5,lnpsh5,1.0,0,0,0,0,0,0,0,0,0,0
lnpsh6,lnpsh6,1.0,1,2,1,0,1,1,1,1,4,1
lnpsh7,lnpsh7,1.0,10,7,1,1,1,8,1,1,5,1
lnpsh8,lnpsh8,1.0,0,0,0,0,2,3,3,3,0,3
lnpsh9,lnpsh9,1.0,1,3,1,10,1,1,1,1,1,0
lnpsnh0,lnpsnh0,1.0,1,15,1,1,16,1,1,17,10,1
lnpsnh1,lnpsnh1,1.0,2,2,1,2,2,2,2,6,2,5
lnpsnh2,lnpsnh2,1.0,7,3,1,1,1,1,1,1,1,9
lnpsnh3,lnpsnh3,1.0,1,1,1,1,4,1,1,1,2,1
lnpsnh4,lnpsnh4,1.0,1,1,1,1,1,1,1,1,1,1
lnpsnh5,lnpsnh5,1.0,6,1,1,1,3,1,1,1,1,1
lnpsnh6,lnpsnh6,1.0,1,9,1,1,10,1,1,1,9,11
lnpsnh7,lnpsnh7,1.0,4,1,1,1,3,1,1,1,1,6
lnpsnh8,lnpsnh8,1.0,1,3,1,1,9,10,1,1,1,1
lnpsnh9,lnpsnh9,1.0,10,4,1,10,1,10,10,10,4,10
lnpsnh10,lnpsnh10,1.0,8,2,1,1,1,1,1,1,2,1
lnpsnh11,lnpsnh11,1.0,1,1,1,1,1,1,1,1,3,1
lnpsnh12,lnpsnh12,1.0,1,1,1,1,10,1,16,15,1,1
lnpsnh13,lnpsnh13,1.0,1,9,1,1,1,1,1,1,6,18
lnpsnh14,lnpsnh14,1.0,3,1,1,1,1,1,1,4,2,1
lnpsnh15,lnpsnh15,1.0,8,1,1,1,1,8,8,8,4,8
lnpsnh16,lnpsnh16,1.0,1,1,1,1,1,1,1,1,1,1
lnpsnh17,lnpsnh17,1.0,1,3,1,1,1,1,7,1,4,1
lnpsnh18,lnpsnh18,1.0,12,3,1,3,3,3,3,3,3,3
lnpsnh19,lnpsnh19,1.0,1,2,1,1,2,1,1,1,4,1
lnpsnh20,lnpsnh20,1.0,3,1,1,1,1,3,3,3,2,6
lnpsnh21,lnpsnh21,1.0,1,2,1,1,1,1,1,1,1,1
lnpsnh22,lnpsnh22,1.0,3,1,1,3,1,3,3,3,1,3
lnpsnh23,lnpsnh23,1.0,9,2,1,2,6,2,2,2,2,2
lnpsnh24,lnpsnh24,1.0,1,1,1,1,1,1,1,1,1,1
lnpsnh25,lnpsnh25,1.0,5,2,1,4,1,5,5,5,1,5
lnpsnh26,lnpsnh26,1.0,1,8,1,1,15,1,1,20,8,17
lnpsnh27,lnpsnh27,1.0,1,1,1,1,4,1,1,1,1,1
lnpsnh28,lnpsnh28,1.0,1,3,1,1,8,1,1,11,7,1
lnpsnh29,lnpsnh29,1.0,7,6,1,7,1,7,7,12,2,9
lnpsnh30,lnpsnh30,1.0,5,1,1,1,1,3,3,5,1,5
lnpsnh31,lnpsnh31,1.0,3,1,1,1,1,1,1,1,1,1
lnpsnh32,lnpsnh32,1.0,1,1,1,1,4,6,1,1,1,1
lnpsnh33,lnpsnh33,1.0,7,3,1,1,1,1,7,7,5,9
lnpsnh34,lnpsnh34,1.0,1,1,1,1,1,1,7,1,1,1
lnpsnh35,lnpsnh35,1.0,1,3,1,1,5,1,1,1,2,9
lnpsnh36,lnpsnh36,1.0,3,1,1,2,1,2,4,2,1,2
lnpsnh37,lnpsnh37,1.0,5,1,1,1,1,4,4,4,1,4
lnpsnh38,lnpsnh38,1.0,17,13,1,1,1,1,1,1,13,1
lnpsnh39,lnpsnh39,1.0,5,1,1,1,1,1,1,1,1,1
lnpsnh40,lnpsnh40,1.0,1,1,1,1,1,1,1,1,4,1
lnpsnh41,lnpsnh41,1.0,11,2,1,11,9,11,11,11,2,11
lnpsnh42,lnpsnh42,1.0,4,1,1,9,1,1,7,5,1,1
lnpsnh43,lnpsnh43,1.0,1,1,1,1,1,1,1,1,1,2
lnpsnh44,lnpsnh44,1.0,1,1,1,1,1,1,6,1,1,1
lnpsnh45,lnpsnh45,1.0,1,9,1,1,10,1,1,1,3,1
lnpsnh46,lnpsnh46,1.0,2,3,1,2,2,2,6,2,2,5
lnpsnh47,lnpsnh47,1.0,1,1,1,1,6,1,1,1,1,1
lnpsnh48,lnpsnh48,1.0,9,1,1,7,4,7,7,7,1,7
lnpsnh49,lnpsnh49,1.0,9,3,1,1,1,1,1,7,2,7
lnpsnh50,lnpsnh50,1.0,1,1,1,1,1,1,1,1,2,1
lnpsnh51,lnpsnh51,1.0,2,3,1,2,9,2,2,2,3,13
lnpsnh52,lnpsnh52,1.0,3,2,1,2,2,3,3,3,2,3
lnpsnh53,lnpsnh53,1.0,1,3,1,1,1,1,1,5,3,1
lnpsnh54,lnpsnh54,1.0,9,1,1,8,1,8,8,17,3,9
lnpsnh55,lnpsnh55,1.0,6,1,1,6,1,10,6,6,1,6
lnpsnh56,lnpsnh56,1.0,2,1,1,2,1,2,2,2,1,2
lnpsnh57,lnpsnh57,1.0,6,1,1,6,2,6,6,6,1,6
lnpsnh58,lnpsnh58,1.0,9,2,1,2,7,2,10,2,4,2
lnpsnh59,lnpsnh59,1.0,10,1,12,1,4,5,6,6,1,6
lnpsnh60,lnpsnh60,1.0,1,2,1,1,1,1,1,1,2,1
lnpsnh61,lnpsnh61,1.0,3,2,1,3,1,3,3,3,1,3
lnpsnh62,lnpsnh62,1.0,1,4,1,1,6,1,1,9,1,1
lnpsnh63,lnpsnh63,1.0,1,5,1,1,1,1,1,1,5,1
lnpsnh64,lnpsnh64,1.0,4,3,1,1,1,4,4,5,2,4
lnpsnh65,lnpsnh65,1.0,10,8,1,10,9,12,10,10,6,10
lnpsnh66,lnpsnh66,1.0,9,5,1,1,1,1,1,1,1,1
lnpsnh67,lnpsnh67,1.0,5,3,1,5,1,5,5,5,1,7
lnpsnh68,lnpsnh68,1.0,1,1,1,1,1,1,1,1,1,1
lnpsnh69,lnpsnh69,1.0,1,3,1,1,4,1,1,1,3,1
lnpsnh70,lnpsnh70,1.0,9,1,1,1,7,9,9,9,4,9
lnpsnh71,lnpsnh71,1.0,1,3,1,1,3,1,1,5,3,1
lnpsnh72,lnpsnh72,1.0,1,3,1,1,1,1,1,1,2,1
lnpmh0,lnpmh0,1.0,1,1,1,1,1,1,1,1,1,10
lnpmh1,lnpmh1,1.0,1,0,1,1,3,4,1,1,0,1
lnpmh2,lnpmh2,1.0,15,0,0,0,0,0,0,0,6,16
lnpmh3,lnpmh3,1.0,2,6,1,2,2,26,2,2,7,2
lnpmh4,lnpmh4,1.0,52,1,1,1,1,1,1,1,1,0
lnpmh5,lnpmh5,1.0,0,10,0,1,0,0,0,17,7,14
lnpmh6,lnpmh6,1.0,0,12,1,2,16,21,2,2,6,2
lnpmh7,lnpmh7,1.0,1,0,1,1,6,9,0,1,3,11
lnpmh8,lnpmh8,1.0,0,6,1,1,7,0,0,10,0,0
lnpmh9,lnpmh9,1.0,0,9,1,1,15,1,0,0,8,0
lnpmh10,lnpmh10,1.0,10,6,1,9,1,10,10,10,3,10
lnpmh11,lnpmh11,1.0,0,6,1,0,14,0,0,0,11,0
