id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,0,0,12,0,8,4,9,9,6,9
mh1,mh1,50.0,17,1,13,0,1,8,6,1,3,1
mh2,mh2,50.0,1,0,0,0,8,8,8,8,8,8
mh3,mh3,50.0,1,13,13,1,1,1,1,1,1,5
mh4,mh4,50.0,1,1,1,1,1,4,1,1,1,1
mnh0,mnh0,50.0,1,1,13,1,8,8,8,9,8,9
mnh1,mnh1,50.0,1,17,17,1,10,4,10,13,4,15
mnh2,mnh2,50.0,1,9,4,24,8,4,8,8,4,8
mnh3,mnh3,50.0,1,1,1,14,1,13,1,7,3,8
mnh4,mnh4,50.0,1,2,2,7,2,2,2,2,2,2
mnh5,mnh5,50.0,14,12,2,2,9,4,4,4,4,7
mnh6,mnh6,50.0,1,21,17,23,8,7,12,10,7,10
mnh7,mnh7,50.0,1,1,1,1,3,3,3,6,3,6
mnh8,mnh8,50.0,1,1,6,10,1,4,1,1,2,1
mnh9,mnh9,50.0,1,1,1,1,4,7,4,4,5,4
mnh10,mnh10,50.0,1,1,1,1,15,9,15,15,7,15
mnh11,mnh11,50.0,1,7,5,1,2,1,2,3,1,4
mnh12,mnh12,50.0,41,39,39,2,7,7,36,7,10,35
mnh13,mnh13,50.0,1,6,6,3,8,12,8,8,9,8
mnh14,mnh14,50.0,1,1,1,1,1,1,1,1,4,7
lpsh0,lpsh0,1.0,17,15,0/14,1,0,7,0,0,4,0/5
lpsh1,lpsh1,1.0,0,17,15,0,3,14,13,0,3,0
lpsnh0,lpsnh0,1.0,1,1,1,1,8,6,8,8,6,8
lpsnh1,lpsnh1,1.0,1,1/8,1,10,2,2/6,2,2/5,2,2
lpsnh2,lpsnh2,1.0,1,1,8,1,5/7,5,5,5,5,5
lpsnh3,lpsnh3,1.0,1,1/11,1,1,1,1,1,1,10,1
lpsnh4,lpsnh4,1.0,1,17,1,1,1/10,14,1,1,1,1
lpsnh5,lpsnh5,1.0,1,1,1,1,1,1,4,4,1,5
lpsnh6,lpsnh6,1.0,1,23,18/20,2,3,3,11,11/13,10,14
lpsnh7,lpsnh7,1.0,1,2,13,2,6,6,6/9,6,6,9
lpsnh8,lpsnh8,1.0,1,1,11,1,1,1,1,6/7,2,1/8
lpsnh9,lpsnh9,1.0,1,10,10,1,1,1,1,1,2,7/8
lpsnh10,lpsnh10,1.0,1,1/11/12,1,14,2,3,6,6/8,4,6
lpsnh11,lpsnh11,1.0,4,1,1,1,1,1/3,1,1,1,1
lpsnh12,lpsnh12,1.0,1,17,16,18,13,3,14,14,3,14
lpsnh13,lpsnh13,1.0,1,16,14/15,17,8,8,8,10,8,10
lpmh0,lpmh0,1.0,1,1,8,39,0,1,0,0,3,6
lpmh1,lpmh1,1.0,1,459,460,464,4,0,4,4,450,454
lpmnh0,lpmnh0,1.0,1,16,1,1,1,1/10,1/9,1,3,1
lpmnh1,lpmnh1,1.0,1,1,7,10,2,1,2,2,1,4
lpmnh2,lpmnh2,1.0,31,21,24,30,17/20,2,17,17,7/9,19
lpmnh3,lpmnh3,1.0,47,4,20,45,9,19/9,16,17,14,17
lpmnh4,lpmnh4,1.0,1,28,27,30,17/23,24,20,14,13,14
lpmnh5,lpmnh5,1.0,1,1,1,23,1,6,1,1,1,7
lpmnh6,lpmnh6,1.0,1,19/4,4,25/26,9,16,9,12,8,9
lpmnh7,lpmnh7,1.0,39,32/33/34,32,36,1,1,26,27/29,19,26
lpmnh8,lpmnh8,1.0,1,45,50,54,33,33,42,43,39,42
