id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,0,3,20,3,16,3,16,16,5,18
lpsh1,lpsh1,1.0,1,7,1,0/11,1/6,1,5,5,4,5
lpsh2,lpsh2,1.0,1,1,1,8,1,1,1,1,1,1/3
lpsh3,lpsh3,1.0,1,0/9/10/11,1,1,3,3,5/7,0,3,5
lpsnh0,lpsnh0,1.0,8,1,1/7,1,2,5/6,4,1,1/2,1
lpsnh1,lpsnh1,1.0,1,1,1,1,4,7,4/6,4,4,4
lpsnh2,lpsnh2,1.0,1,7/12,7,14,1,1,4,4,1,6
lpsnh3,lpsnh3,1.0,13/15,1,1,1,8,8/10,8,8,9,8
lpsnh4,lpsnh4,1.0,1,13,1,31,2,2,10,6,4,6/9
lpsnh5,lpsnh5,1.0,1,16/3,3,17,5/8,5,10,13,6,14
lpsnh6,lpsnh6,1.0,1,8,8,1/9/10,1/6,1,7,6,1,6
lpsnh7,lpsnh7,1.0,1,1,1,11,1,1,1/4,1,1,3
lpsnh8,lpsnh8,1.0,1,11,1,1,1,6,1,1,1,1
lpsnh9,lpsnh9,1.0,1,1,1,30,4,5,4,22,18,22
lpsnh10,lpsnh10,1.0,1,1/4,1,5,1,1,3,1,1,1
lpsnh11,lpsnh11,1.0,1,1,1,1,7,7,7,7,15,19
lpsnh12,lpsnh12,1.0,1,17/7,7,7,8,16,8,8,8,8
lpsnh13,lpsnh13,1.0,1,1,1,8,2,2,2,5,2,5
lpsnh14,lpsnh14,1.0,1/15,1,1,14,2,2/13,2,8,6,2
lpsnh15,lpsnh15,1.0,1,1,1,17/15,1,1/10/11,8,8/9,6/7,8
lpsnh16,lpsnh16,1.0,1,1,1,1/7,1,1,1,5,1,2
lpsnh17,lpsnh17,1.0,1,1,1,30,10,1,3,8,1,3/9
lpsnh18,lpsnh18,1.0,1,1,10,1,8,6,8,8,6,8
lpsnh19,lpsnh19,1.0,1/14,1/12,1,13,2,9,2/5,2,3,2
lpsnh20,lpsnh20,1.0,11,1,1,1,7,1,1,1,1/3,1/6
lpsnh21,lpsnh21,1.0,1,1,12,16/17,1,9,7,8,2/4,8
lpsnh22,lpsnh22,1.0,1/12,2,2,1,5,11,5,10,5,5
lpsnh23,lpsnh23,1.0,1,1,5,1,1,1,4,3,1,3
lpsnh24,lpsnh24,1.0,1,13,13,11,13,13,17/18/15,16,13,15
lpsnh25,lpsnh25,1.0,1,3/25,23,29,21,7,21,21,16,21
lpsnh26,lpsnh26,1.0,1,1,7,8,1,5,1,1,1/4,1
lpsnh27,lpsnh27,1.0,1,2,2,17/22,2,2,2,4,2,2/4
lpsnh28,lpsnh28,1.0,1,2/8,2,2,4,2,4,6,2,4
lpmh0,lpmh0,1.0,21,16/17,16,0,13,15,3,0,3,3/6
lpmh1,lpmh1,1.0,1,6/13,6,21,8,0,8,8,7,8/9
lpmh2,lpmh2,1.0,1,6,6,2,11,6,0/16,12,10,0/12
lpmh3,lpmh3,1.0,17,4,4,0,7,0,9,9,8,9
lpmh4,lpmh4,1.0,0,11,11,0,0,9,0,0,0,5
lpmnh0,lpmnh0,1.0,1,16/8,13/14/15,26,3,1,5,7,1,4
lpmnh1,lpmnh1,1.0,1,55/58,56,60,41,24,50,53,35,50
lpmnh2,lpmnh2,1.0,1,1,14,20,7,5/12,10,8,5,9
lpmnh3,lpmnh3,1.0,1,12,12/13,16,1,1,7,9,2,7
lpmnh4,lpmnh4,1.0,1,21,23,28,7,7,12,10,9,10/11/12/13
lpmnh5,lpmnh5,1.0,16/1,12,12,1,1,1,1,1,1,1
lpmnh6,lpmnh6,1.0,28,1,1,1,16/6,2,10/11,12,5,13/15
lpmnh7,lpmnh7,1.0,1,11,9,1,4,7/8,4,4,4,4
lpmnh8,lpmnh8,1.0,1,20,17,50,7,2,16/15,8,2/3,7
lpmnh9,lpmnh9,1.0,1,1,22,1,5,5,5,5,4,18
lpmnh10,lpmnh10,1.0,1,28,1,46,1/26,1,18,18,5,18
lpmnh11,lpmnh11,1.0,1,1,66,68,1,1,42,57,38,42
lpmnh12,lpmnh12,1.0,1,2,41,49,32,3,33,35,23,38
lpmnh13,lpmnh13,1.0,1/17,2,2,1,4,15,8/13,11,1,8/12
lpmnh14,lpmnh14,1.0,1,15,16/15,17/2/18,6,2,6,12,5,6
lpmnh15,lpmnh15,1.0,1,1,17,21,3,3/12,8,8,4,10
lpmnh16,lpmnh16,1.0,1,2,24,26,2,21,9,9,6,9
lpmnh17,lpmnh17,1.0,46,6,43,45,12,6,22,25/26,9,22
lpmnh18,lpmnh18,1.0,24,2/20,2/19,2,8,2,16/8,8,2,14
lpmnh19,lpmnh19,1.0,1,2,42/44/45,1,1,41,33/40,34/35/31,19,39
lpmnh20,lpmnh20,1.0,1,29,28/29,1/30,1,1,20,20,18,27
lpmnh21,lpmnh21,1.0,1,20,20,1,13,17,7,8,4/5,12
lpmnh22,lpmnh22,1.0,166/167,21,24,163,17,16,17/18/19,19,15,19
lpmnh23,lpmnh23,1.0,1,3,20,22/23,3,3,3,3,8,18
lpmnh24,lpmnh24,1.0,1,9,38,43/45,13,13,31,35,19/20,34
lpmnh25,lpmnh25,1.0,1,7,7,1/9,3,6,3,3,3,3
lpmnh26,lpmnh26,1.0,1,20,1/19,29,6,17,6,7,4,8
lpmnh27,lpmnh27,1.0,1,16,14,1,1/3/4,1,6,6,2,6/7
lpmnh28,lpmnh28,1.0,1,1,1,16,1,1/9/10,6,7/8,1,6
lphh0,lphh0,1.0,1,0,0/71,76,42,0,0/60,60,55/58,0
lphh1,lphh1,1.0,1,57,58,1,8,0,23,18,17,18
lphh2,lphh2,1.0,1,1,1,120/121,0,52,45/46,44,8/9,0
lphh3,lphh3,1.0,1/51,1,1,47,10,10,44,44,29,44
lphnh0,lphnh0,1.0,40/41,2,2,1,4,4,30,19,13,21
lphnh1,lphnh1,1.0,79,78,74,1,53,73,65,62,6,53
lphnh2,lphnh2,1.0,85,83,78,1,41/44,40,43,41,34/37/38,41
lphnh3,lphnh3,1.0,62/63,1,43,60,27/28,39,16,21,13,22/24
lphnh4,lphnh4,1.0,1/39,28,4,36,6,26,6,16,11,14
lphnh5,lphnh5,1.0,1,1,36,40,1,1/34,20,32,18,20
lphnh6,lphnh6,1.0,31,28,21,30,2,2,2,10,2,2
lphnh7,lphnh7,1.0,39,31,27,38,23,11,14,15,11,18/14
lphnh8,lphnh8,1.0,1,64,67/63,2,50,60,23,38,30,48/47
lphnh9,lphnh9,1.0,1,30,4,33,5,24,5,5,11,18
lphnh10,lphnh10,1.0,32,19,18,24,1,11,8,7,2,3
lphnh11,lphnh11,1.0,1,4,4,29,24,25,21,18,9,14
lphnh12,lphnh12,1.0,45,34,34,1,17,33,20,27,1/4,29
lphnh13,lphnh13,1.0,1,33,28,36/38,7,26,12,12,6,23
lphnh14,lphnh14,1.0,34,1,1,1,22/23,28/29,19,13,9,13
lphnh15,lphnh15,1.0,1,71,71,89,62,65,64,62,58,62
lphnh16,lphnh16,1.0,38,1,1,36,5,32,5/14,10,1/4,5/13
lphnh17,lphnh17,1.0,1,44,41,46,36/9,9,37,37,34,37
lphnh18,lphnh18,1.0,1,53/141,138,148,48,51,47,37,13,39
lphnh19,lphnh19,1.0,1,96,96,1,13,92,15,28,10/12,16
lphnh20,lphnh20,1.0,41,36/40,38,4,16,33/35,24,19,16,19
lphnh21,lphnh21,1.0,1,60/61,60,70,10,58,39,55,32,39
lphnh22,lphnh22,1.0,1,1,1,55,36,25,48/49,40,33/31,42
lphnh23,lphnh23,1.0,1,44,41,1,1,38,1,19,7,1
lphnh24,lphnh24,1.0,1,29,26,34,10,22,17,13/14,6,13
lphnh25,lphnh25,1.0,1,60,6,101,6,55,27,25,6,18/26
lphnh26,lphnh26,1.0,1/24,21,21,1,13,19,13,16,11,18
lphnh27,lphnh27,1.0,112,105,103/104,1,98,75,95,87,79,94
lphnh28,lphnh28,1.0,1,2,2,25,15,20,13/14,11,9,12
lnpsh0,lnpsh0,1.0,1,0,0,1,5,2,5,7,2,9
lnpsh1,lnpsh1,1.0,8,0,5,1,1,3,1,1,1,1
lnpsh2,lnpsh2,1.0,1,1,1,1,2,5,2,2,2,2
lnpsh3,lnpsh3,1.0,1,2,2,2,2,2,6,0,3,0
lnpsh4,lnpsh4,1.0,0,5,5,0,10,10,0,0,7,0
lnpsh5,lnpsh5,1.0,1,2,2,15,2,0,2,2,5,2
lnpsh6,lnpsh6,1.0,1,1,1,7,1,1,0,1,0,1
lnpsh7,lnpsh7,1.0,1,2,2,2,8,0,0,0,0,0
lnpsnh0,lnpsnh0,1.0,1,1,1,10,4,7,4,4,3,4
lnpsnh1,lnpsnh1,1.0,1,1,1,17,12,1,16,14,9,13
lnpsnh2,lnpsnh2,1.0,1,9,1,1,1,1,1,1,6,1
lnpsnh3,lnpsnh3,1.0,1,1,11,17,2,2,8,2,2,5
lnpsnh4,lnpsnh4,1.0,36,1,33,35,1,24,22,22,17,23
lnpsnh5,lnpsnh5,1.0,1,25,24,26,3,1,3,20,1,3
lnpsnh6,lnpsnh6,1.0,1,12,4,4,4,4,4,4,4,4
lnpsnh7,lnpsnh7,1.0,13,9,9,12,8,1,1,6,2,6
lnpsnh8,lnpsnh8,1.0,1,14,3,18,10,4,10,10,6,10
lnpsnh9,lnpsnh9,1.0,1,15,15,1,2,2,2,2,3,12
lnpsnh10,lnpsnh10,1.0,17,6,9,16,1,1,1,1,2,1
lnpsnh11,lnpsnh11,1.0,14,13,13,2,3,3,7,3,2,3
lnpsnh12,lnpsnh12,1.0,1,1,1,14,1,1,8,1,1,1
lnpsnh13,lnpsnh13,1.0,1,1,1,13,10,10,11,12,10,11
lnpsnh14,lnpsnh14,1.0,1,1,11,1,1,1,1,9,1,1
lnpsnh15,lnpsnh15,1.0,1,1,1,1,5,1,5,7,3,5
lnpsnh16,lnpsnh16,1.0,1,1,1,1,9,10,4,7,2,4
lnpsnh17,lnpsnh17,1.0,1,13,14,15,1,1,11,6,1,6
lnpsnh18,lnpsnh18,1.0,1,12,1,1,9,10,7,7,3,7
lnpsnh19,lnpsnh19,1.0,1,1,10,1,3,3,9,9,3,9
lnpsnh20,lnpsnh20,1.0,1,2,2,26,15,23,15,20,13,15
lnpsnh21,lnpsnh21,1.0,16,1,1,14,1,1,7,4,2,6
lnpsnh22,lnpsnh22,1.0,1,1,1,1,3,3,3,7,5,3
lnpsnh23,lnpsnh23,1.0,21,16,17,20,2,2,14,15,12,15
lnpsnh24,lnpsnh24,1.0,1,12,12,16,1,1,1,9,4,1
lnpsnh25,lnpsnh25,1.0,1,1,8,1,2,2,3,5,2,3
lnpsnh26,lnpsnh26,1.0,1,1,12,16,1,10,6,8,4,6
lnpsnh27,lnpsnh27,1.0,1,1,1,42,3,3,3,36,4,3
lnpsnh28,lnpsnh28,1.0,1,1,1,1,18,20,1,1,11,1
lnpsnh29,lnpsnh29,1.0,18,14,14,1,7,7,11,11,9,11
lnpsnh30,lnpsnh30,1.0,1,3,3,3,4,4,4,10,4,4
lnpsnh31,lnpsnh31,1.0,1,17,2,1,2,12,2,11,6,2
lnpsnh32,lnpsnh32,1.0,1,11,1,16,2,2,2,2,5,2
lnpsnh33,lnpsnh33,1.0,1,1,8,12,7,7,7,7,5,7
lnpsnh34,lnpsnh34,1.0,1,1,1,7,1,1,1,5,1,6
lnpsnh35,lnpsnh35,1.0,13,1,12,1,6,6,11,6,9,6
lnpsnh36,lnpsnh36,1.0,1,9,8,16,5,1,1,1,4,1
lnpsnh37,lnpsnh37,1.0,1,11,4,4,10,4,9,8,4,8
lnpsnh38,lnpsnh38,1.0,1,2,2,13,2,9,2,2,5,2
lnpsnh39,lnpsnh39,1.0,1,1,10,18,1,1,5,4,1,4
lnpsnh40,lnpsnh40,1.0,17,2,2,13,2,2,2,2,9,2
lnpsnh41,lnpsnh41,1.0,1,2,2,11,7,7,7,7,5,7
lnpsnh42,lnpsnh42,1.0,1,1,1,21,2,2,5,7,2,8
lnpsnh43,lnpsnh43,1.0,1,2,2,12,2,7,6,2,2,2
lnpsnh44,lnpsnh44,1.0,1,12,1,111,1,10,9,1,6,1
lnpsnh45,lnpsnh45,1.0,1,1,1,1,4,4,4,4,3,4
lnpsnh46,lnpsnh46,1.0,1,1,1,10,1,7,2,5,1,6
lnpsnh47,lnpsnh47,1.0,1,1,1,1,2,1,2,2,1,2
lnpsnh48,lnpsnh48,1.0,1,6,1,7,1,5,1,1,1,3
lnpsnh49,lnpsnh49,1.0,1,3,3,15,10,13,12,10,7,10
lnpsnh50,lnpsnh50,1.0,9,8,8,1,1,1,1,5,4,7
lnpsnh51,lnpsnh51,1.0,1,15,15,2,10,8,10,10,8,13
lnpsnh52,lnpsnh52,1.0,1,6,1,1,1,1,3,1,1,1
lnpsnh53,lnpsnh53,1.0,1,1,1,1,3,14,9,13,5,9
lnpsnh54,lnpsnh54,1.0,1,1,1,1,1,1,1,10,9,1
lnpsnh55,lnpsnh55,1.0,1,1,1,24,1,19,1,1,1,5
lnpsnh56,lnpsnh56,1.0,1,1,9,1,4,4,4,4,4,4
lnpsnh57,lnpsnh57,1.0,1,1,1,7,5,1,5,5,1,5
lnpmh0,lnpmh0,1.0,1,22,1,23,10,1,10,12,5,10
lnpmh1,lnpmh1,1.0,19,16,13,0,0,10,0,0,0,7
lnpmh2,lnpmh2,1.0,0,10,10,0,6,9,7,8,3,7
lnpmh3,lnpmh3,1.0,0,0,0,0,7,0,7,0,0,7
lnpmh4,lnpmh4,1.0,0,41,41,44,0,0,39,39,14,39
lnpmh5,lnpmh5,1.0,1,1,7,1,0,6,0,0,4,0
lnpmh6,lnpmh6,1.0,1,10,10,3,7,4,7,7,4,7
lnpmh7,lnpmh7,1.0,22,3,9,16,8,4,7,7,6,7
lnpmh8,lnpmh8,1.0,1,12,12,0,3,3,3,7,3,10
lnpmh9,lnpmh9,1.0,1,0,0,0,0,0,7,7,0,7
lnpmsh0,lnpmsh0,1.0,1,12,1,17,6,1,7,7,3,9
lnpmsh1,lnpmsh1,1.0,1,16,16,1,13,1,11,1,5,9
lnpmsh2,lnpmsh2,1.0,1,27,24,1,15,2,15,15,14,15
lnpmsh3,lnpmsh3,1.0,1,85,79,3,5,23,5,14,8,18
lnpmsh4,lnpmsh4,1.0,1,1,1,1,3,3,5,28,4,5
lnpmsh5,lnpmsh5,1.0,1,23,1,1,6,18,6,13,2,17
lnpmsh6,lnpmsh6,1.0,1,38,36,40,25,28,18,24,12,24
lnpmsh7,lnpmsh7,1.0,1,35,35,1,17,32,17,17,15,19
lnpmsh8,lnpmsh8,1.0,1,20,5,1,10,5,15,17,5,17
lnpmsh9,lnpmsh9,1.0,27,3,3,26,8,4,8,8,4,14
lnpmsh10,lnpmsh10,1.0,1,6,6,2,14,6,13,13,10,13
lnpmsh11,lnpmsh11,1.0,1,1,17,1,13,15,14,14,8,14
lnpmsh12,lnpmsh12,1.0,1,1,1,15,8,12,8,8,8,8
lnpmsh13,lnpmsh13,1.0,1,1,1,36,1,1,1,1,1,34
lnpmsh14,lnpmsh14,1.0,26,6,22,24,12,12,12,15,9,18
lnpmsh15,lnpmsh15,1.0,1,1,1,1,10,4,4,4,4,9
lnpmsh16,lnpmsh16,1.0,1,21,22,25,1,19,9,15,5,9
lnpmsh17,lnpmsh17,1.0,1,1,18,1,3,3,10,3,3,6
lnpmsh18,lnpmsh18,1.0,1,1,1,1,1,15,4,10,3,4
lnpmsh19,lnpmsh19,1.0,1,20,20,25,10,19,10,10,12,10
lnpmsh20,lnpmsh20,1.0,1,7,24,29,17,14,22,17,16,17
lnpmsh21,lnpmsh21,1.0,1,59,17,1,1,1,7,9,1,7
lnpmsh22,lnpmsh22,1.0,17,1,1,15,3,11,3,3,5,7
