id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,18,11,11,8,1,1,5,11,9,24
mh1,mh1,50.0,0,6,3,0,15,0,0,3,0,11
mh2,mh2,50.0,11,0,4,1,1,14,1,0,3,8
mh3,mh3,50.0,0,0,0,0,0,0,0,0,2,0
mh4,mh4,50.0,7,2,2,4,12,11,2,2,4,9
mnh0,mnh0,50.0,6,4,4,4,1,1,3,4,4,6
mnh1,mnh1,50.0,30,13,12,10,1,32,1,9,10,29
mnh2,mnh2,50.0,11,1,1,2,1,1,1,1,1,8
mnh3,mnh3,50.0,1,20,20,20,1,1,1,20,20,31
mnh4,mnh4,50.0,22,4,4,4,23,25,3,4,4,19
mnh5,mnh5,50.0,12,7,1,1,22,22,1,1,5,21
mnh6,mnh6,50.0,2,13,13,12,22,22,4,13,7,18
mnh7,mnh7,50.0,6,3,3,5,11,10,1,3,3,7
mnh8,mnh8,50.0,8,1,1,1,10,10,1,1,1,1
mnh9,mnh9,50.0,23,7,7,7,1,1,1,7,7,22
mnh10,mnh10,50.0,14,7,7,11,1,1,6,7,10,16
mnh11,mnh11,50.0,1,1,1,1,1,1,1,1,3,1
mnh12,mnh12,50.0,7,5,1,2,8,8,1,1,2,1
mnh13,mnh13,50.0,4,3,3,3,1,1,3,3,3,6
mnh14,mnh14,50.0,5,1,1,4,6,6,1,1,4,5
lpsh0,lpsh0,1.0,13,1,1/10,1,1,1,0,1/11,8,0/15
lpsh1,lpsh1,1.0,0/1,1,9,4,1,13,0,1,1,1
lpsh2,lpsh2,1.0,7,5,5,5,0/1/17,0/1/17/19,2,5,6,15
lpsh3,lpsh3,1.0,12/13,1,9,4,0,0,1,1,3,0
lpsnh0,lpsnh0,1.0,43,14,8,2,1,1,1,2/4/5,2,20
lpsnh1,lpsnh1,1.0,12,7,10,1,1,1,5,7,1,1
lpsnh2,lpsnh2,1.0,1,12,3,3,1,13,1,3,5,1
lpsnh3,lpsnh3,1.0,16,2/6,2/5,2,17,17,2,4,2,1
lpsnh4,lpsnh4,1.0,1,7,6,5,1,12,1,1,1,1
lpsnh5,lpsnh5,1.0,1,7/8,10,7,1,1,1,7,7/9,1
lpsnh6,lpsnh6,1.0,5,1,1,1/3,1,11,2,1,1,7
lpsnh7,lpsnh7,1.0,22/23,17/9,15,11,25,24,2,9,11,21
lpsnh8,lpsnh8,1.0,33/34,26,12,8,1,1,4,8,8,30
lpsnh9,lpsnh9,1.0,22/26,6/8,6/9,1,1,1,5,6,1,24
lpsnh10,lpsnh10,1.0,13/15,11,5,8,18,18/20,3,5,8,13
lpsnh11,lpsnh11,1.0,1,1,1,12/14,17,17,1,1,10,1
lpsnh12,lpsnh12,1.0,29,3,1,1,1,1,1,1,1,4
lpsnh13,lpsnh13,1.0,15,10,8/9,8,1,1,6,8,8,13
lpsnh14,lpsnh14,1.0,1,5,1,1,1,1/12,2/3,1,1,1
lpsnh15,lpsnh15,1.0,1,2,2,2,1,1,2,2,2,1
lpsnh16,lpsnh16,1.0,15,3,3,3,17,22/23,1,3,3,12
lpsnh17,lpsnh17,1.0,8/10,1,4/5,1,11,1/11,1,1,1/3,9
lpsnh18,lpsnh18,1.0,1,1,1,1/5,1,1,1,1,1,14
lpsnh19,lpsnh19,1.0,1,12,7,11,19/20,17,2/3,7,10,1
lpsnh20,lpsnh20,1.0,1,3/6,3,4,1,1,1,3,3,1
lpsnh21,lpsnh21,1.0,19,13,13,13/14,1/22,1,3,13,13,17
lpsnh22,lpsnh22,1.0,17,9,4,1,19/20,19,1,1,1,13
lpsnh23,lpsnh23,1.0,9,1,1,5,1,1,3,1,1/4,8
lpsnh24,lpsnh24,1.0,1,8,4,7,19,19/20,1/3,4,4/5/6,9
lpsnh25,lpsnh25,1.0,9,1,6,4,13,15,1,5,1,7
lpsnh26,lpsnh26,1.0,1/6,4,4,3,1,7,1,4,3,1
lpsnh27,lpsnh27,1.0,1,19,15,13,1,1,2,15,14,1
lpsnh28,lpsnh28,1.0,14,6,10,6,1,17,6,6,7/8,13
lpmh0,lpmh0,1.0,0/17,0,0,0,32,31,0/5,0,10,0
lpmh1,lpmh1,1.0,18,0,15,5,1,23,2,0,2,0
lpmh2,lpmh2,1.0,22/23,15,18,14,26,1,1,15,8,21
lpmh3,lpmh3,1.0,0,23,21,8,47,51,2/4,16/22,11,43
lpmh4,lpmh4,1.0,16,7,1,1,0,0,1/2/3,1,1,16
lpmnh0,lpmnh0,1.0,1,8,33,26/27/28,1,1,4,8,13,1
lpmnh1,lpmnh1,1.0,15,11,11,7,16/1,17,4,11,7,13
lpmnh2,lpmnh2,1.0,32,18,9,17/9,1,36,6,9,15,21/22
lpmnh3,lpmnh3,1.0,1,17,19,9,26,26,5,17,9,21
lpmnh4,lpmnh4,1.0,11,8,10,8,19,19,8,8,8,1
lpmnh5,lpmnh5,1.0,25,8,7,5,27,29,1,3,5,18
lpmnh6,lpmnh6,1.0,32,1,1,21,1,1,7,25,19,27
lpmnh7,lpmnh7,1.0,1,48,52,44,65,62,7,48,36,58
lpmnh8,lpmnh8,1.0,35,9,9,24,36,36,5,25/26,16,30
lpmnh9,lpmnh9,1.0,19,16/13,6,1,1,1,2,4,1/3,17
lpmnh10,lpmnh10,1.0,1,7,7,21,1,1,6,7,13,27
lpmnh11,lpmnh11,1.0,1,19,15,14,1,1,9,1,10,1
lpmnh12,lpmnh12,1.0,2,10,10/12,9,1,1,5,2,8,2
lpmnh13,lpmnh13,1.0,13,2/10,2/6,3,26,24,2,2/7,4,17/19
lpmnh14,lpmnh14,1.0,21,4,4,10,1,1,2,4/7,11/13,1/20
lpmnh15,lpmnh15,1.0,37,26,14,18,38,38/40,9,14,18,2
lpmnh16,lpmnh16,1.0,30,2,2,2,33,32,2,2,2,21
lpmnh17,lpmnh17,1.0,1,1,1,1,9,9,3,1,1,7
lpmnh18,lpmnh18,1.0,1/24,9,9,16,1,1,6,9,16/21,1
lpmnh19,lpmnh19,1.0,52,6,12,6,1,1/54,6,13,6,35
lpmnh20,lpmnh20,1.0,1/47,41,24,19,50,51,4,24,19,46
lpmnh21,lpmnh21,1.0,1,19,12,13,1,1,3,17,15,1
lpmnh22,lpmnh22,1.0,1,3,3,10,31,31,3/5,3,8,1
lpmnh23,lpmnh23,1.0,16,2,8/11,6,25,25,2,2/12,4/5,18
lpmnh24,lpmnh24,1.0,27,18,16,13,29,29,9,12,13,25
lpmnh25,lpmnh25,1.0,145,8,8,6,148,149,2,8,6,16
lpmnh26,lpmnh26,1.0,56,47,47,37/38,66,66,13,47,35,50
lpmnh27,lpmnh27,1.0,17/18,3,8,7,19/22,21,2,3,3,14
lpmnh28,lpmnh28,1.0,1,20/21,18/19,13,26,26,6/8,17,14,23
lphh0,lphh0,1.0,0,0/20,0,18,0,246,0,0,0,236
lphh1,lphh1,1.0,35,19,1,18,38,40,5,1,11,32
lphh2,lphh2,1.0,70,3,3/24/25,3,75,79,10,27,22,66
lphh3,lphh3,1.0,0,32,0,25,189,0,4,26,23,173
lphnh0,lphnh0,1.0,103,35,15,27,1,1,9,15,23,89
lphnh1,lphnh1,1.0,42,40,37,33/29,55,55,10,16,32,53
lphnh2,lphnh2,1.0,109/110,80,59,64/66/67,113,113/115,47,59,63,106
lphnh3,lphnh3,1.0,74,33/31,28,22,90,88/77,1,6,19,72
lphnh4,lphnh4,1.0,252,17,14,8,254,254,2/3,9,7,31
lphnh5,lphnh5,1.0,188,166,153/156,148/149,193,202,5,153/158,131/134,185
lphnh6,lphnh6,1.0,1,65,54,33,1/90,89,3,56,27/30/31,1
lphnh7,lphnh7,1.0,75,46,50,39,79,92,9,46,35,71
lphnh8,lphnh8,1.0,76,36,28,28,1,1,27,28,28,69
lphnh9,lphnh9,1.0,3,38,38,29,82/83,81,8/9,38,22,76
lphnh10,lphnh10,1.0,31,16/17,7,8,35,35/38,1,7,7,19
lphnh11,lphnh11,1.0,48,36,30,27,52,59,12,14,17,46
lphnh12,lphnh12,1.0,46,41,34,28,1,1,18,32,28/29,44
lphnh13,lphnh13,1.0,119,33,31,15,1,1,13,3,16,54
lphnh14,lphnh14,1.0,38,21,21,25,1/40,40,10,21,24,33
lphnh15,lphnh15,1.0,75,56,49/51,40,1,97,26,45,32,2
lphnh16,lphnh16,1.0,179,42,6/11,7,180,186,1,6,7,55
lphnh17,lphnh17,1.0,43,37,33/31,15,44,44,6,13,15,41
lphnh18,lphnh18,1.0,67,60/61/14,14,54,73,73,5,14,21,65
lphnh19,lphnh19,1.0,63,45,44,13,66,70,8,13,18,1/46
lphnh20,lphnh20,1.0,60,42,36,15,63,65,10,22,12,46
lphnh21,lphnh21,1.0,73,54,40,37,75,79,33,40,37,69/70
lphnh22,lphnh22,1.0,96,33,36,24,1,98,7,36,11/12,45/46
lphnh23,lphnh23,1.0,29,14,11,2,1,30,4,12,2,20
lphnh24,lphnh24,1.0,107,58,55,12,108,1,8,48,35/37,98/101
lphnh25,lphnh25,1.0,70/71,60,56/57/27,52,76,76,5/7,27,49,68
lphnh26,lphnh26,1.0,112/113/111,90,82/87/88,14,117,116,3,82,6,99
lphnh27,lphnh27,1.0,48,20,16,13,56/59,57/58,7,13,13,28
lphnh28,lphnh28,1.0,185,179,178,148,1,1,128,172,142,182/184
lnpsh0,lnpsh0,1.0,13,12,0,2,1,17,1,1,0,13
lnpsh1,lnpsh1,1.0,0,0,0,4,0,0,0,0,0,0
lnpsh2,lnpsh2,1.0,22,11,11,11,24,24,7,11,11,18
lnpsh3,lnpsh3,1.0,12,2,3,0,13,1,1,2,2,6
lnpsh4,lnpsh4,1.0,0,7,6,3,12,0,0,6,3,11
lnpsh5,lnpsh5,1.0,14,3,3,4,1,22,2,3,4,6
lnpsh6,lnpsh6,1.0,7,1,3,1,1,1,1,1,2,5
lnpsh7,lnpsh7,1.0,27,3,2,1,34,34,1,2,1,8
lnpsnh0,lnpsnh0,1.0,18,5,5,6,21,21,3,5,6,3
lnpsnh1,lnpsnh1,1.0,14,2,10,8,1,16,6,2,7,1
lnpsnh2,lnpsnh2,1.0,13,1,6,1,15,15,4,1,1,8
lnpsnh3,lnpsnh3,1.0,22,5,5,2,23,23,2,5,2,22
lnpsnh4,lnpsnh4,1.0,19,7,14,10,1,1,2,7,11,1
lnpsnh5,lnpsnh5,1.0,1,33,23,20,1,1,1,9,15,1
lnpsnh6,lnpsnh6,1.0,7,1,1,1,54,56,4,1,1,52
lnpsnh7,lnpsnh7,1.0,17,1,1,1,1,1,1,1,1,12
lnpsnh8,lnpsnh8,1.0,14,9,1,5,1,1,1,1,1,11
lnpsnh9,lnpsnh9,1.0,10,2,2,1,14,16,1,2,1,1
lnpsnh10,lnpsnh10,1.0,9,1,7,1,1,1,1,1,1,1
lnpsnh11,lnpsnh11,1.0,13,8,3,3,1,1,3,3,3,10
lnpsnh12,lnpsnh12,1.0,16,7,1,6,1,1,2,1,1,13
lnpsnh13,lnpsnh13,1.0,19,1,1,1,1,1,1,1,3,14
lnpsnh14,lnpsnh14,1.0,10,1,1,7,1,16,1,1,4,10
lnpsnh15,lnpsnh15,1.0,1,5,5,3,9,9,1,5,1,7
lnpsnh16,lnpsnh16,1.0,9,1,1,1,16,16,1,1,1,9
lnpsnh17,lnpsnh17,1.0,1,11,9,1,1,1,3,1,5,35
lnpsnh18,lnpsnh18,1.0,1,3,5,1,1,1,1,3,1,10
lnpsnh19,lnpsnh19,1.0,1,9,4,7,1,1,1,4,4,1
lnpsnh20,lnpsnh20,1.0,14,1,1,1,16,16,1,1,1,12
lnpsnh21,lnpsnh21,1.0,1,8,8,8,11,11,1,8,8,1
lnpsnh22,lnpsnh22,1.0,1,11,4,5,1,1,2,4,9,20
lnpsnh23,lnpsnh23,1.0,17,16,13,8,1,1,2,11,8,22
lnpsnh24,lnpsnh24,1.0,17,3,9,8,1,1,1,3,3,15
lnpsnh25,lnpsnh25,1.0,14,7,10,1,1,1,3,7,1,1
lnpsnh26,lnpsnh26,1.0,7,5,1,1,1,1,1,1,3,15
lnpsnh27,lnpsnh27,1.0,16,12,9,1,19,19,1,1,1,18
lnpsnh28,lnpsnh28,1.0,32,15,13,7,1,36,2,13,5,28
lnpsnh29,lnpsnh29,1.0,1,3,1,1,6,6,1,1,1,1
lnpsnh30,lnpsnh30,1.0,23,10,8,1,1,1,1,8,1,23
lnpsnh31,lnpsnh31,1.0,1,1,1,1,4,7,1,1,1,1
lnpsnh32,lnpsnh32,1.0,24,17,1,15,1,1,1,16,3,1
lnpsnh33,lnpsnh33,1.0,1,9,9,9,1,1,1,9,9,1
lnpsnh34,lnpsnh34,1.0,17,10,7,3,20,1,3,3,3,14
lnpsnh35,lnpsnh35,1.0,15,1,10,1,1,1,2,1,7,13
lnpsnh36,lnpsnh36,1.0,54,12,12,12,1,1,1,12,12,56
lnpsnh37,lnpsnh37,1.0,1,10,10,13,1,1,1,10,10,19
lnpsnh38,lnpsnh38,1.0,15,8,9,6,1,1,1,10,1,12
lnpsnh39,lnpsnh39,1.0,14,10,1,8,1,1,1,1,8,21
lnpsnh40,lnpsnh40,1.0,9,7,7,5,14,14,3,7,5,11
lnpsnh41,lnpsnh41,1.0,14,1,9,8,1,1,1,1,1,15
lnpsnh42,lnpsnh42,1.0,18,1,16,1,21,21,1,17,1,20
lnpsnh43,lnpsnh43,1.0,12,10,1,9,1,1,1,1,3,11
lnpsnh44,lnpsnh44,1.0,57,1,1,3,59,59,1,1,3,1
lnpsnh45,lnpsnh45,1.0,11,1,6,1,42,43,1,1,3,36
lnpsnh46,lnpsnh46,1.0,25,5,5,11,1,1,1,5,7,22
lnpsnh47,lnpsnh47,1.0,31,28,28,25,45,43,20,28,27,39
lnpsnh48,lnpsnh48,1.0,23,10,10,9,1,1,3,10,8,16
lnpsnh49,lnpsnh49,1.0,17,12,12,12,1,1,3,12,12,17
lnpsnh50,lnpsnh50,1.0,14,1,1,5,1,21,1,1,2,16
lnpsnh51,lnpsnh51,1.0,1,1,1,2,1,12,1,1,1,1
lnpsnh52,lnpsnh52,1.0,27,8,8,9,1,1,8,8,9,21
lnpsnh53,lnpsnh53,1.0,6,3,3,4,9,9,2,3,4,6
lnpsnh54,lnpsnh54,1.0,16,4,4,4,17,18,1,4,6,11
lnpsnh55,lnpsnh55,1.0,1,14,11,2,21,21,6,2,2,1
lnpsnh56,lnpsnh56,1.0,18,10,12,1,1,1,9,10,1,14
lnpsnh57,lnpsnh57,1.0,1,2,16,11,1,1,3,2,7,1
lnpmh0,lnpmh0,1.0,23,19,14,11,1,1,1,3,6,24
lnpmh1,lnpmh1,1.0,0,11,14,10,1,26,4,11,8,24
lnpmh2,lnpmh2,1.0,1,0,2,2,12,12,4,2,2,11
lnpmh3,lnpmh3,1.0,50,43,35,32,1,1,22,1,1,1
lnpmh4,lnpmh4,1.0,0,13,1,0,35,32,1,1,3,0
lnpmh5,lnpmh5,1.0,28,0,20,0,0,0,3,0,0,3
lnpmh6,lnpmh6,1.0,14,12,12,11,0,0,0,12,8,14
lnpmh7,lnpmh7,1.0,29,6,13,6,1,1,0,6,8,26
lnpmh8,lnpmh8,1.0,1,3,3,3,1,1,1,3,3,50
lnpmh9,lnpmh9,1.0,0,12,10,8,0,19,6,9,8,17
lnpmsh0,lnpmsh0,1.0,1,12,6,6,1,1,7,6,9,17
lnpmsh1,lnpmsh1,1.0,12,11,11,7,1,20,3,11,5,17
lnpmsh2,lnpmsh2,1.0,1,17,17,5,32,32,1,17,5,23
