id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,0/25,9,1,0/23,1,0,17,20,18,27/28
lpsh1,lpsh1,1.0,0,27/30,46,46,0/41,67,0,37/38,35,52
lpsh2,lpsh2,1.0,0/33,0,9,18,3,0,3,3,3,0
lpsh3,lpsh3,1.0,29,8,23,23,16,1,0/1,15,1,1
lpsh4,lpsh4,1.0,24,0,0/13,0,11,0/26,0,6,0,0
lpsh5,lpsh5,1.0,1,4,17,19/20,15,22,0/4,0,0,23
lpsh6,lpsh6,1.0,1,4,19,0/21,17,23,1,16,0/11,23
lpsh7,lpsh7,1.0,39,9,21,0,0,37,11,20,18,41
lpsh8,lpsh8,1.0,0,2,0/47,50,2/10,1,2/6,9,2/7,65
lpsh9,lpsh9,1.0,29/30,6,21,23,11,0,5,5,9/10,0
lpsnh0,lpsnh0,1.0,34,11,2,25,2/21,36,4,17,14,36/37
lpsnh1,lpsnh1,1.0,62,22/23,33,33,32,63,16,25/26,16,66
lpsnh2,lpsnh2,1.0,1,1,9,8,8,1,1,7,3,1
lpsnh3,lpsnh3,1.0,53,11,21,21/22,20,67,13,17/15,7,65
lpsnh4,lpsnh4,1.0,16,10,14,14,14,16,10,10,11,23
lpsnh5,lpsnh5,1.0,36,7/9,16,19,2,34,1,1,1,34/37
lpsnh6,lpsnh6,1.0,68,2,46,48/46,2,68,2,2,23,68
lpsnh7,lpsnh7,1.0,33/34,17/15,26,26,2,36,21,25,23,31
lpsnh8,lpsnh8,1.0,52,16/12,33/34,32/33/30,12,52,12,21,12,54
lpsnh9,lpsnh9,1.0,1,14,6,6,6,1,7,21,16,1
lpsnh10,lpsnh10,1.0,59,1,18,19/20,1,66,6,1,10,66
lpsnh11,lpsnh11,1.0,17,1,1,1,1,24,1,1,1,24
lpsnh12,lpsnh12,1.0,21/22,2,2/6,9,2,23/24,4,2,2,24
lpsnh13,lpsnh13,1.0,30,3,21,19,18/15,34,4,3,10/11,35
lpsnh14,lpsnh14,1.0,1,11/12,30,35/29,5,1,16/17,9,21,38
lpsnh15,lpsnh15,1.0,21,1,16,17,13,18,4,12,1,18
lpsnh16,lpsnh16,1.0,33,14,26,26/28,23/24,1/35,16,21,19,34
lpsnh17,lpsnh17,1.0,27,10,24,24,20,31,2,16,2,31
lpsnh18,lpsnh18,1.0,50,5,26,26,3,27,5,18,8,27
lpsnh19,lpsnh19,1.0,14,4,8,8,1,15,2,1,1,15
lpsnh20,lpsnh20,1.0,56,27,51/52,24,24,58,26,45,37,56
lpsnh21,lpsnh21,1.0,45,4,23,22,17,1,12,4,4,1
lpsnh22,lpsnh22,1.0,52,5/6,42,43,1/38,54,4,37,1,1
lpsnh23,lpsnh23,1.0,26,8,16,16,1,17,5,12/14,9,17/28
lpsnh24,lpsnh24,1.0,1,10,26,26,1,30,12,3,13,1
lpsnh25,lpsnh25,1.0,27,8,16,17/4,4/15,31,8,4/13,12,29
lpsnh26,lpsnh26,1.0,10,3,1/5,1,1,13,3,1,1,1
lpsnh27,lpsnh27,1.0,60,2,14,12,12,67,6,9,1/8,67
lpsnh28,lpsnh28,1.0,22,12,1,1,1,23,15,10,10,23
lpsnh29,lpsnh29,1.0,50,19,45,41,41,57,28,33,31,53
lpsnh30,lpsnh30,1.0,1,76,75,75/93,75/76,1,76,88/90,84,97
lpsnh31,lpsnh31,1.0,27,8/10,25,5,5,27,16,24,20,29
lpsnh32,lpsnh32,1.0,75/76,9,54,54,35,95,16/19,9,28,95
lpsnh33,lpsnh33,1.0,50,23,41,42,35/38,47,22,32/18/31,29,55
lpsnh34,lpsnh34,1.0,47,18,26/27,31,25,36,6,22,1,36
lpsnh35,lpsnh35,1.0,9,1,1,1,1,10,5,1,1/6/7,10
lpsnh36,lpsnh36,1.0,27,10/12,19,1,1,31,4,17/18,14,29
lpsnh37,lpsnh37,1.0,31,4,21,16/23/15,2,29,6,2,12,29
lpsnh38,lpsnh38,1.0,66,33,53,52,5,67/70,5,5,5,67
lpsnh39,lpsnh39,1.0,26,4,13,13,1,23,6,1,1,23
lpsnh40,lpsnh40,1.0,33,3,1,1,1,36,24,1/30,1,36
lpsnh41,lpsnh41,1.0,51,10,3,3,3,20/54,5,5,5,56
lpsnh42,lpsnh42,1.0,30,5,21,20,2/20,33,6,17/7,14,33
lpsnh43,lpsnh43,1.0,37,12,30/31,30,30,34,12,25,21,34
lpsnh44,lpsnh44,1.0,1,7,46,48,35/4,51,13,4,34,51
lpsnh45,lpsnh45,1.0,24,9,15,15,5/15,33,11/12,5,5,23
lpsnh46,lpsnh46,1.0,30,9,27/28,23,7,30,13,17,7,30
lpsnh47,lpsnh47,1.0,70,38,6,69/6,6,72,42,9,66,75
lpsnh48,lpsnh48,1.0,22,1,13,12,12,24,1,10,1/4,24
lpsnh49,lpsnh49,1.0,17,4,2,15,2,22,10,2,2,24
lpsnh50,lpsnh50,1.0,36,11,27,23,6,39,6,15,6,39
lpsnh51,lpsnh51,1.0,35,13,28,28,28,50,5,5,15,50
lpsnh52,lpsnh52,1.0,30,15,24/26/27,23,11,30,11,22,11,30
lpsnh53,lpsnh53,1.0,33,5,18,19,2,27,12,17/2,16,38
lpsnh54,lpsnh54,1.0,59,5,14,17/18/19/14,1,67/55,7,13,1,66
lpsnh55,lpsnh55,1.0,60,35,57,54,6,59,14,48,38,59
lpsnh56,lpsnh56,1.0,1,2,7/9,7,7,1,2,6,2,1
lpsnh57,lpsnh57,1.0,50,10,39,5,5,1,8,11,36,52
lpsnh58,lpsnh58,1.0,43,19,1,1,1,43/47,22/23,34/36,24/28,43
lpsnh59,lpsnh59,1.0,23,9,19,1,1,26,15,18,1,24
lpsnh60,lpsnh60,1.0,44,12,19/10,20,10,42,12,12,12,42
lpsnh61,lpsnh61,1.0,20,9,14,4,4,1/23,4,12,11,1
lpsnh62,lpsnh62,1.0,33,14,26,29/31,26,1,15,1,1,1
lpsnh63,lpsnh63,1.0,22,2,1,1,1,29,2,7,2,23
lpsnh64,lpsnh64,1.0,25,4,19,16/21,1,26,4,10/14,8,26
lpsnh65,lpsnh65,1.0,1,4/5,24,25,1,31,3,20,8,35
lpsnh66,lpsnh66,1.0,33,12,5/21,23,5,48,15,6,6,46
lpsnh67,lpsnh67,1.0,61,4,41,41,2,65,2/6,13,10,67/68
lpsnh68,lpsnh68,1.0,21,5,10,2,2,21,4,3/9,6,22
lpsnh69,lpsnh69,1.0,40,11,19,19,2,49,13,14,15,45
lpmh0,lpmh0,1.0,39,14,37,5,5,45,9,19,9,48
lpmh1,lpmh1,1.0,40,0,23,23,2,42,0/16,20,17,42
lpmh2,lpmh2,1.0,0/47,16,34,41,1,52,21,23,1/22,52
lpmh3,lpmh3,1.0,89/90/91,8,58,75,0,92,11,36,29/30,92
lpmh4,lpmh4,1.0,0,6,0,29,6,48,8,0,12,49
lpmh5,lpmh5,1.0,84,70,58,81/58,58,86,0,77,0,0
lpmh6,lpmh6,1.0,73/74,19,0,0,63,79,22,0,26,79
