id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,71,27,15,57,15,79,25,47,30,77
mh1,mh1,50.0,53,14,29,29,29,53,0,0,17,60
mh2,mh2,50.0,85,26,18,18,18,48,26,43,34,93
mh3,mh3,50.0,0,9,0,0,38,49,9,32,26,49
mh4,mh4,50.0,0,15,31,35,31,51,18,27,6,46
mnh0,mnh0,50.0,60,13,41,42,10,69,22,10,24,69
mnh1,mnh1,50.0,98,26,39,47,1,102,6,1,32,98
mnh2,mnh2,50.0,86,11,57,65,4,86,4,33,30,86
mnh3,mnh3,50.0,146,75,93,91,91,153,17,14,89,151
mnh4,mnh4,50.0,162,82,134,153,134,169,83,101,88,180
mnh5,mnh5,50.0,104,16,54,68,33,111,21,26,23,111
mnh6,mnh6,50.0,48,16,29,29,3,54,8,26,23,57
mnh7,mnh7,50.0,50,16,38,39,9,71,17,35,27,68
mnh8,mnh8,50.0,62,30,28,55,28,67,36,51,42,71
mnh9,mnh9,50.0,132,25,45,49,43,137,10,36,33,137
mnh10,mnh10,50.0,56,17,42,45,40,69,23,7,31,65
mnh11,mnh11,50.0,49,12,8,32,31,51,21,28,25,51
mnh12,mnh12,50.0,53,31,37,40,32,75,29,29,29,75
mnh13,mnh13,50.0,28,2,22,22,2,38,2,10,15,36
mnh14,mnh14,50.0,41,9,32,29,28,46,21,26,5,44
lpsh0,lpsh0,1.0,51,19,38,0,18,51,19,23,23,51
lpsh1,lpsh1,1.0,99,32,0,78,72,100,25,66,0/54,100/101
lpsh2,lpsh2,1.0,74,27,0,0,0,78,0,37,32,0
lpsh3,lpsh3,1.0,0,14,12,12,12,65,25,50,40,65
lpsh4,lpsh4,1.0,43,13,33,6,6/24,35,10,20,15,35
lpsh5,lpsh5,1.0,123,10,31,33,0/22/23,0,17,0,0,0/131
lpsh6,lpsh6,1.0,0,21,93,90,78,106/107,27,74,33,106/107
lpsh7,lpsh7,1.0,0,9,28,21,0,43,7,0,18,0
lpsnh0,lpsnh0,1.0,42,4,38,30,16/19,46,6,14,8,60
lpsnh1,lpsnh1,1.0,110,83,104,104,102,112/1,88,93,73,1
lpsnh2,lpsnh2,1.0,77,30,63,64,48,107,31,41,34,105
lpsnh3,lpsnh3,1.0,48,12,33,43,25,52,14,21,9,50
lpsnh4,lpsnh4,1.0,1,6,54,57,1,1,9,1,13,61/63
lpsnh5,lpsnh5,1.0,86,17/23,57,63,42,88,24,17,30,91/92
lpsnh6,lpsnh6,1.0,81,40,72,64,58,113/115,48,33,50,113
lpsnh7,lpsnh7,1.0,90,8/9,3,3,3,102,57,70,3,105/108
lpsnh8,lpsnh8,1.0,193,6,38,39/30,3,51,9,26,6/10,194
lpsnh9,lpsnh9,1.0,1,17/14,3,37,3,49/50,19/11,28/29,21/22,48
lpsnh10,lpsnh10,1.0,54,3,42,45,23,65,7,17/19,3,66
lpsnh11,lpsnh11,1.0,73,12/13,56,58,50/51,62,14/15,45,9,75/62
lpsnh12,lpsnh12,1.0,83/84,37,29,54,29,97,30,48/49,44,115
lpsnh13,lpsnh13,1.0,75,49,56,61,53,78,51,47,52,72
lpsnh14,lpsnh14,1.0,69,21,25,25,13,61,23,13,13,72
lpsnh15,lpsnh15,1.0,50,10,40,34,5,75,5,25,5,71
lpsnh16,lpsnh16,1.0,42,9/10,32/29,27,6,47,11,7,12,52
lpsnh17,lpsnh17,1.0,88,35/37/38,60,60,58,92,41,57,44,90
lpsnh18,lpsnh18,1.0,55,3/4,23,30,18/20,67/60,7,11,2,64/66
lpsnh19,lpsnh19,1.0,47,7,44,44,27,57,11,25,16/5,57
lpsnh20,lpsnh20,1.0,1,5,46,42,35,78,3,14,11,84
lpsnh21,lpsnh21,1.0,42,2,25,25,25,59,2,18/19,7,59
lpsnh22,lpsnh22,1.0,55,39,53,24,24,59/63,29,51,24,62
lpsnh23,lpsnh23,1.0,62,25/26,53,7,7,73,37/39/40,46,42,73
lpsnh24,lpsnh24,1.0,78,36,63,55,46,66,38,42,35,66
