id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,3,3,6,0,7,10,17,5,26/30,0
lpsh1,lpsh1,1.0,9,22,11,52,18,48,34,11/12,44,0
lpsh2,lpsh2,1.0,4,11,4,51,4,44,1,0,30,56
lpsh3,lpsh3,1.0,4,0,5,52,26,44,38,18,0/39,0
lpsh4,lpsh4,1.0,4,9,1/6,61,1,0,48,1,0,65
lpsh5,lpsh5,1.0,3,1,12,91,15,81/85,29,0,44,0
lpsnh0,lpsnh0,1.0,5,9,6,137,6,131,125,6,127,10
lpsnh1,lpsnh1,1.0,1/5,45,1,82,43,74,60,20,51,85
lpsnh2,lpsnh2,1.0,1,1,4,93,4,85,79,8/9,82,88
lpsnh3,lpsnh3,1.0,27,40,27,1,34,46,45,32,41,48
lpsnh4,lpsnh4,1.0,6,26,6,84,14,59,39,7,58,94
lpsnh5,lpsnh5,1.0,1,3,6,33,6,23,18/19,6,29,33
lpsnh6,lpsnh6,1.0,1,7,4,225,4,224,219,4,223,11
lpsnh7,lpsnh7,1.0,1,13,3,50,9,42,25,3,37,48
lpsnh8,lpsnh8,1.0,20,48/47,35,144,37,107,105,32,113,146
lpsnh9,lpsnh9,1.0,1/3,50,1,85,5,64/67,60,43,1,85
lpsnh10,lpsnh10,1.0,2,1,1,1,17,122,53,1,65,1
lpsnh11,lpsnh11,1.0,1,1,1,29,7,28,18,5,25,1/30
lpsnh12,lpsnh12,1.0,2/3,19,5,89,13,73,69,6,70,92/93
lpsnh13,lpsnh13,1.0,3,30,5/12,81,24/25,79,67/68,9/11,75,81
lpsnh14,lpsnh14,1.0,3,3,3,58,8,41,17/20,3,33,59
lpsnh15,lpsnh15,1.0,20,22,22,70,22,64/62,37/38,22,61,83
lpsnh16,lpsnh16,1.0,7,10,10,1,10,1,15,13,56,1
lpsnh17,lpsnh17,1.0,3,3,5,61/63,16,59,55,5,28,64
lpsnh18,lpsnh18,1.0,1,12,1,68,7,63,42,4,55/59,68
lpsnh19,lpsnh19,1.0,6,25,10,62,23/24,55,34/35/36/29,10,45,66
lpsnh20,lpsnh20,1.0,1,8,2,90,4,83,71,3,13,91
lpsnh21,lpsnh21,1.0,3/4,5,9,37,10,30,25,6,27,40
lpsnh22,lpsnh22,1.0,1,6,3,92,3,44/45,33/36,3/4,39/43,88
lpsnh23,lpsnh23,1.0,1,19/20,1,55,9,43,30/31,6,40,55
lpsnh24,lpsnh24,1.0,8,12,17,42,24,36,31,16,35/25,42
lpsnh25,lpsnh25,1.0,4,33,5,107,31,89/92,78,22,87,110
lpsnh26,lpsnh26,1.0,9,14,9,1/38,9,36,28,9,34/35,1
lpsnh27,lpsnh27,1.0,3,23,12,49,21,29,38/40,11,47,58
lpsnh28,lpsnh28,1.0,40/42,40,43,77,43,61,60,52,63,78
lpsnh29,lpsnh29,1.0,2,21,2,43,17/18/19,38,32,6,24,40
lpsnh30,lpsnh30,1.0,1,17,1,65,10,56,58,1,60,64
lpsnh31,lpsnh31,1.0,2,2,2/20,94/95,24,85/60,57,19,81,92/93
lpsnh32,lpsnh32,1.0,3,4,5,43,11,22/25/26,21,5,24,45
lpsnh33,lpsnh33,1.0,1,27,6,59,6,54,43,20,49,59
lpsnh34,lpsnh34,1.0,4,2,2,1,10/11,1,25,7,1,40
lpsnh35,lpsnh35,1.0,2/5/6,2/7,2,36,26,33,30,18/15,1,1
lpsnh36,lpsnh36,1.0,4,8,4,50,4,48,30,4/7,40,53
lpsnh37,lpsnh37,1.0,8,4,18/19,66,48,1,1,15,55,66
lpsnh38,lpsnh38,1.0,9/10,2,3,52,3,38,30/31,14/15,1,59
lpsnh39,lpsnh39,1.0,1,15,4,87,11,77/78,41/42,6,70,87
lpsnh40,lpsnh40,1.0,1,1,10,45,17,37,26,5/9,30,45
lpsnh41,lpsnh41,1.0,2/5/6,89,75,122,87,1,101/103,72/73,116,133
lpsnh42,lpsnh42,1.0,5,1/19,16/1,45,17,38,24/25,14,31,49
lpsnh43,lpsnh43,1.0,2,1,1/5,1,13/14,18,53,4,63,67
lpmh0,lpmh0,1.0,2,0,14,43,0,1,36,9,1,1
lpmh1,lpmh1,1.0,4/7,13,11,36,4,29,0,10,25,37/38
lpmh2,lpmh2,1.0,0,13,0,110,11,78,0,0,73,117
lpmh3,lpmh3,1.0,4,0,6,56,6,0,0/32/33,17,0,61
lpmh4,lpmh4,1.0,1/3,6,6,136,0,112,84,28,95,137
lpmh5,lpmh5,1.0,2,14,4,68,4,63,0,13,44,68
lpmh6,lpmh6,1.0,3,30,0/10,74,0,67,62,9,64,0/77
lpmnh0,lpmnh0,1.0,12,1,13,111,18,100,26,13,54/57,120
lpmnh1,lpmnh1,1.0,8,83,24/46,277,72,254,233,40,252,286
lpmnh2,lpmnh2,1.0,2,4,9,99,26,53,84,23,87,102
lpmnh3,lpmnh3,1.0,5,6,22,177,27/28,47,42,18,36,181
lpmnh4,lpmnh4,1.0,3,1,10,122,19,38,36,8,53,124
lpmnh5,lpmnh5,1.0,14/15,18,18,188,28,163,152,25/27,155,183
lpmnh6,lpmnh6,1.0,5,3,8,295,8,283/284,21,11,57,298/303
lpmnh7,lpmnh7,1.0,15,78/79,40,179,77,103/104/105,88,45,96,181
lpmnh8,lpmnh8,1.0,1,18/19,14,60,10,50,39/42/43,9,45,1
lpmnh9,lpmnh9,1.0,24,3/52,3,181,48,116,87,32,114,177
lpmnh10,lpmnh10,1.0,6,26,24,92,24/25,57,43,14,50/54,64
lpmnh11,lpmnh11,1.0,7,23,21,138,21,104,42,16/20,102,151
lpmnh12,lpmnh12,1.0,4,48,39,112,43,83,63,38,75,122
lpmnh13,lpmnh13,1.0,1/3,6,10,180/175,18,152,87,11,149,183
lpmnh14,lpmnh14,1.0,5,7,16,149,19,112,70,16,105,154
lpmnh15,lpmnh15,1.0,1,1,6,109,6,105,75,10,88,1
lpmnh16,lpmnh16,1.0,11,15,20,176,22/23,172,80/77,18,170,188
lpmnh17,lpmnh17,1.0,1,56,9,103,54/9,60,58,50/51,86,103
lpmnh18,lpmnh18,1.0,39,67,55/56,205,60,194/69,119/120,54,192/193,214
lpmnh19,lpmnh19,1.0,3,61/62,50/7,182,57/59,78,72,49,145,201
lpmnh20,lpmnh20,1.0,2,1,1,226,11,205,35,9,65,226
lpmnh21,lpmnh21,1.0,9/12,13,79,155,95,130,108,77,128/126,161
lpmnh22,lpmnh22,1.0,1,79,58,169,78,118,117,50,125,173/174
lpmnh23,lpmnh23,1.0,1,89,9/61,134/135,81,113,91,59,112,139
lpmnh24,lpmnh24,1.0,20,34,21,151,31,1/129,54,30,125,153
lpmnh25,lpmnh25,1.0,10,10,24,146,32,1,39,18,129,149
lpmnh26,lpmnh26,1.0,2,2,2,57,2,40,33,10,36,60
lpmnh27,lpmnh27,1.0,14/15,18,31,104,18,54,53,28,62,83
lpmnh28,lpmnh28,1.0,14,40,19,122,32/35,98,81/82/83,29,92,138
lpmnh29,lpmnh29,1.0,1,9,3/5,132,6,126,42,3,81,138
lpmnh30,lpmnh30,1.0,12,38,34/22,65/69,22,57,43,33,50,61
lpmnh31,lpmnh31,1.0,19,41,23,123,37,81,67,23/26,74,86
lpmnh32,lpmnh32,1.0,1/3,12,8,220,9,208,102,4,116,212
lpmnh33,lpmnh33,1.0,1,1,8,83,8,21,50,15,62,83
lpmnh34,lpmnh34,1.0,7,5,17,72,21,39,26,14,34,72
lpmnh35,lpmnh35,1.0,4,22,12,61,16/12,41/43,27,11,23/31,64
lpmnh36,lpmnh36,1.0,2,47,14,123,30/31,103,94,12,97,117
lpmnh37,lpmnh37,1.0,9/10,18,18,127,34,115,112,28,120,144/145
lpmnh38,lpmnh38,1.0,3,44/46,4/10,112,14,105,50,7,59,114
lpmnh39,lpmnh39,1.0,2,10/12,4,40,4,34,29,9,30,42
lpmnh40,lpmnh40,1.0,3/6,98,22,209/210,71,1,123,11,192,233
lpmnh41,lpmnh41,1.0,7,7,48,103,48,72,65/59,44,67,100
lpmnh42,lpmnh42,1.0,9,222,8,277,218,258,242,18,252,279/280
lphh0,lphh0,1.0,0,198,126/127,0,196/197,229,0,0,199,246
lphh1,lphh1,1.0,3,38/39,35,149,37,122,51,29,68,156/159
lphh2,lphh2,1.0,8,40,0,180,21,111,80,14,104,186
lphh3,lphh3,1.0,4,4,4,112,14,0,80,8/9/10,87,135
lphh4,lphh4,1.0,18,55,51,158,50,144,82,0,0/113,210
lphh5,lphh5,1.0,8,0,7,141,7,126,0,7,78,142
lphnh0,lphnh0,1.0,5,36,33,189/191,33,159,53,32,93/95,219
lphnh1,lphnh1,1.0,10,19/22,15,109,15,94,79,3,89,114
lphnh2,lphnh2,1.0,1/2,46,16,749,25,288,94,12,186,756
lphnh3,lphnh3,1.0,4,6,8,164,22,151,64,17,137/142,166
lphnh4,lphnh4,1.0,36/38,26,69,242/237,83,188,157,63,158,278/280
lphnh5,lphnh5,1.0,29,67,57,163,57,153/154,130,52,149,202
lphnh6,lphnh6,1.0,25,26,45,291,59,245,199,41/44,206/207,299
lphnh7,lphnh7,1.0,5,36/38/39,14,126,33,92,79,9,103/105,137
lphnh8,lphnh8,1.0,7,4,22,389,182,373,307,174,338,405
lphnh9,lphnh9,1.0,8,10,360/363,1233,376,384/1179,1177/1178,358,384,1242
lphnh10,lphnh10,1.0,5,47,23,721,42,81/676,241,38,675,732
lphnh11,lphnh11,1.0,5,4,21/9,473,44,466,382,18,450/454,493
lphnh12,lphnh12,1.0,14/15,4,4,258,4,254,243,32,248,260
lphnh13,lphnh13,1.0,18,44,32/33,317,34,151,134,20/30,139,323
lphnh14,lphnh14,1.0,10,13,48/14,183,52/53,119,90,46,97,246
lphnh15,lphnh15,1.0,16,54,50/19,432,51,426,398,48,421,432/436
lphnh16,lphnh16,1.0,8,67,58/59,269,56,234,168,48/42/46/47,232,273
lphnh17,lphnh17,1.0,3/4,24,15,111,20,100/101,36,11,74,122
lphnh18,lphnh18,1.0,1,29,19/21,320,26,250,227,17,244,358
lphnh19,lphnh19,1.0,3,2,12,124,20,97,65,11,92,164
lphnh20,lphnh20,1.0,15,67/63,60,247,62,149,106,58,141,249
lphnh21,lphnh21,1.0,6,8,25,482,29,473,208,18,460,521
lphnh22,lphnh22,1.0,1,70,26,240,66,232,208/207,21,230,247
lphnh23,lphnh23,1.0,13/14,92,18,185,85/87,168,151,35,158,187
lphnh24,lphnh24,1.0,18,15,23,265,24,204/207,74,20/21,192,276/277/279
lphnh25,lphnh25,1.0,11,3,37,144,51,125,111,49,120/122,167
lphnh26,lphnh26,1.0,27,62,44,270,52/54,66,203,41,263,293
lphnh27,lphnh27,1.0,4,6,247,553,324,504,439,244/245,503,555
lphnh28,lphnh28,1.0,2,42,29,144,24,129,86,23,126,151
lphnh29,lphnh29,1.0,14,9/77,24/9,184,75,181,89,23,179,191
lphnh30,lphnh30,1.0,4/9,48,4,258,31,157,96,26,154,262
lphnh31,lphnh31,1.0,9,9,11,278,28,242,206,20,238,285/287
lphnh32,lphnh32,1.0,25,20,59,604,194,535,417,52/56,510,612
lphnh33,lphnh33,1.0,6,37,25,133,25/30,121,113,24,117,159
lphnh34,lphnh34,1.0,2,2,14,415,174,412,355,9,383,425
lphnh35,lphnh35,1.0,32,59,49/50,140,51,119,97/98,46,105,146
lphnh36,lphnh36,1.0,2,3,37,203/204/205,43,197,161,31,170,213
lphnh37,lphnh37,1.0,5,51,40,287,43,241,207,37,233,310
lphnh38,lphnh38,1.0,25,57,37,311,48,302,262,37,297,344
lphnh39,lphnh39,1.0,5,61,48/49,167,48,160,141,44,148,250
lphnh40,lphnh40,1.0,3,3,58,187,74/76,178,109,69,172,199
lphnh41,lphnh41,1.0,6,107,67,372,105,341,215,99,331,370
lphnh42,lphnh42,1.0,1,1,28,136,34,126,113,19,124,220
lphnh43,lphnh43,1.0,19,224,215,471,218,467,382,212,448,470
lnpsh0,lnpsh0,1.0,1,1,1,1,0,19,17,7,20,24
lnpsh1,lnpsh1,1.0,2,5,1,35,1,28,22,1,26,40
lnpsh2,lnpsh2,1.0,1,0,8,21,9,17,16,7,11,21
lnpsh3,lnpsh3,1.0,1,10,5,0,9,114,44,6,51,120
lnpsh4,lnpsh4,1.0,1,1,1,95,13,26,0,10,72,98
lnpsh5,lnpsh5,1.0,0,6,7,1,20,49,0,10,45,51
lnpsnh0,lnpsnh0,1.0,1,3,3,62,3,52,1,15,25,64
lnpsnh1,lnpsnh1,1.0,4,4,18,50,32,43,36,27,42,51
lnpsnh2,lnpsnh2,1.0,1,3,4,52,9,43,25,4,35,60
lnpsnh3,lnpsnh3,1.0,3,8,5,83,5,45,39,5,44,56
lnpsnh4,lnpsnh4,1.0,25,1,1,1,1,71,1,31,58,75
lnpsnh5,lnpsnh5,1.0,4,1,9,64,23,37,36,7,41,65
lnpsnh6,lnpsnh6,1.0,1,32,8,73,24,46,36,14,44,75
lnpsnh7,lnpsnh7,1.0,4,5,5,76,5,73,69,5,1,80
lnpsnh8,lnpsnh8,1.0,1,37,14,58,34,57,45,23,41,58
lnpsnh9,lnpsnh9,1.0,1,24,18,49,20,45,42,15,44,1
lnpsnh10,lnpsnh10,1.0,1,7,2,1,2,119,118,5,129,146
lnpsnh11,lnpsnh11,1.0,5,1,1,74,1,63,60,1,1,74
lnpsnh12,lnpsnh12,1.0,4,16,2,69,9,61,42,2,55,71
lnpsnh13,lnpsnh13,1.0,4,4,16,53,18,1,37,15,52,59
lnpsnh14,lnpsnh14,1.0,1,15,15,111,15,104,96,15,1,113
lnpsnh15,lnpsnh15,1.0,1,40,1,118,1,68,65,7,72,137
lnpsnh16,lnpsnh16,1.0,1,100,4,1,4,134,125,95,127,142
lnpsnh17,lnpsnh17,1.0,3,2,2,45,2,28,32,23,42,45
lnpsnh18,lnpsnh18,1.0,1,9,2,56,6,11,21,2,45,58
lnpsnh19,lnpsnh19,1.0,1,12,10,91,6,22,19,6,85,97
lnpsnh20,lnpsnh20,1.0,13,32,1,77,29,74,73,20,75,96
lnpsnh21,lnpsnh21,1.0,7,27,1,1,13,55,33,1,54,72
lnpsnh22,lnpsnh22,1.0,5,13,8,81,8,77,64,8,74,82
lnpsnh23,lnpsnh23,1.0,2,1,4,39,13,22,20,4,22,45
lnpsnh24,lnpsnh24,1.0,4,6,10,97,28,49,39,14,42,94
lnpsnh25,lnpsnh25,1.0,9,31,27,87,27,75,41,25,50,106
lnpsnh26,lnpsnh26,1.0,5,8,9,41,9,37,17,15,27,50
lnpsnh27,lnpsnh27,1.0,13,7,7,1,18,47,44,17,46,1
lnpsnh28,lnpsnh28,1.0,12,29,24,100,24,93,76,22,85,102
lnpsnh29,lnpsnh29,1.0,1,6,6,79,11,76,42,10,49,1
lnpsnh30,lnpsnh30,1.0,5,22,12,57,18,35,30,16,31,72
lnpsnh31,lnpsnh31,1.0,12,29,16,62,16,56,37,24,54,68
lnpsnh32,lnpsnh32,1.0,5,14,2,61,11,53,39,2,50,61
lnpsnh33,lnpsnh33,1.0,1,8,6,906,7,1,839,3,843,921
lnpsnh34,lnpsnh34,1.0,8,2,21,41,22,36,34,20,1,43
lnpsnh35,lnpsnh35,1.0,2,9,11,57,12,16,42,10,43,65
lnpsnh36,lnpsnh36,1.0,8,11,19,122,19,108,98,32,105,131
lnpsnh37,lnpsnh37,1.0,5,3,7,19,7,16,1,8,1,1
lnpsnh38,lnpsnh38,1.0,2,17,12,104,13,62,46,10,58,109
lnpsnh39,lnpsnh39,1.0,5,13,9,147,12,14,25,9,14,151
lnpsnh40,lnpsnh40,1.0,7,11,21,114,24,106,104,20,29,114
lnpsnh41,lnpsnh41,1.0,1,1,1,73,26,56,29,17,40,73
lnpsnh42,lnpsnh42,1.0,7,6,6,61,12,16,39,10,53,63
lnpsnh43,lnpsnh43,1.0,2,2,7,195,7,175,139,7,156,190
lnpmh0,lnpmh0,1.0,0,2,2,72,22,59,0,0,40,73
lnpmh1,lnpmh1,1.0,3,2,8,0,94,119,0,61,109,0
lnpmh2,lnpmh2,1.0,8,28,0,275,0,188,36,0,184,282
lnpmh3,lnpmh3,1.0,25,54,48,92,51,89,0,43,0,92
lnpmh4,lnpmh4,1.0,0,29,7,66,26,49,40,20,0,66
lnpmh5,lnpmh5,1.0,3,1,12,0,12,24,41,10,60,63
lnpmh6,lnpmh6,1.0,3,3,8,0,9,0,12,5,81,182
lnpmsh0,lnpmsh0,1.0,7,55,32,76,47,69,65,31,57,77
lnpmsh1,lnpmsh1,1.0,6,67,20,117,21,69,90,19,104,173
lnpmsh2,lnpmsh2,1.0,6,40,8,102,37,86,82,13,88,96
lnpmsh3,lnpmsh3,1.0,34,60,45,96,57,80,69,52,70,98
lnpmsh4,lnpmsh4,1.0,2,37,13,171,35,119,116,22,135,179
lnpmsh5,lnpmsh5,1.0,9,67,30,125,61,118,103,26,68,126
lnpmsh6,lnpmsh6,1.0,6,2,9,72,15,56,47,10,53,73
lnpmsh7,lnpmsh7,1.0,1,19,15,209,15,206,198,8,203,213
lnpmsh8,lnpmsh8,1.0,1,1,2,116,16,30,97,12,108,120
lnpmsh9,lnpmsh9,1.0,3,109,44,158,57,111,124,31,127,180
lnpmsh10,lnpmsh10,1.0,2,46,9,96,39,80,55,1,67,85
lnpmsh11,lnpmsh11,1.0,15,139,107,196,131,149,175,103,183,204
lnpmsh12,lnpmsh12,1.0,3,25,10,119,10,82,41,15,46,126
lnpmsh13,lnpmsh13,1.0,5,7,13,81,17,57,24,14,48,78
lnpmsh14,lnpmsh14,1.0,2,22,1,80,21,69,30,13,27,78
lnpmsh15,lnpmsh15,1.0,10,74,19,113,70,101,89,65,90,118
lnpmsh16,lnpmsh16,1.0,3,53,19,113,41,99,87,16,98,127
lnpmsh17,lnpmsh17,1.0,5,39,22,1,36,91,64,20,81,97
lnpmsh18,lnpmsh18,1.0,25,52,30,151,49,135,125,30,129,152
lnpmsh19,lnpmsh19,1.0,4,23,18,173,18,152,121,18,137,174
lnpmsh20,lnpmsh20,1.0,3,29,16,75,21,70,37,13,68,82
lnpmsh21,lnpmsh21,1.0,7,24,27,64,32,46,45,24,46,67
lnpmsh22,lnpmsh22,1.0,16,20,20,1,63,97,77,29,86,99
lnpmsh23,lnpmsh23,1.0,10,44,42,102,43,88,56,36,71,98
lnpmsh24,lnpmsh24,1.0,2,2,2,75,12,70,30,11,46,79
lnpmsh25,lnpmsh25,1.0,4,63,14,105,59,92,86,26,87,103
lnpmsh26,lnpmsh26,1.0,18,37,31,143,34,132,102,30,105,140
lnpmsh27,lnpmsh27,1.0,3,69,13,145,21,111,102,11,110,122
lnpmsh28,lnpmsh28,1.0,6,36,23,202,34,193,79,27,89,205
lnpmsh29,lnpmsh29,1.0,18,20,34,105,34,101,45,28,56,107
lnpmsh30,lnpmsh30,1.0,10,68,13,193,66,172,127,58,156,197
lnpmsh31,lnpmsh31,1.0,3,77,57,136,72,120,82,52,93,138
lnpmsh32,lnpmsh32,1.0,13,78,25,158,43,153,127,23,140,81
lnpmsh33,lnpmsh33,1.0,17,48,38,162,46,151,125,32,147,168
lnpmsh34,lnpmsh34,1.0,3,56,47,145,54,111,78,46,88,148
lnpmsh35,lnpmsh35,1.0,12,45,23,81,39,72,1,34,68,81
lnpmsh36,lnpmsh36,1.0,13,33,21,72,31,59,44,25,52,86
lnpmsh37,lnpmsh37,1.0,5,45,21,76,37,68,55,19,62,76
lnpmsh38,lnpmsh38,1.0,52,82,1,83,78,110,95,75,105,135
lnpmsh39,lnpmsh39,1.0,4,105,44,160,99,157,128,88,140,167
lnpmsh40,lnpmsh40,1.0,6,25,2,155,22,118,49,9,98,158
lnpmsh41,lnpmsh41,1.0,3,32,7,131,30,118,34,21,63,132
lnpmsh42,lnpmsh42,1.0,20,88,74,119,86,110,105,72,108,118
lnphh0,lnphh0,1.0,8,0,42,158,58,71,107,41,127,171
lnphh1,lnphh1,1.0,2,14,166,196,182,192,186,172,1,198
lnphh2,lnphh2,1.0,62,261,150,399,257,0,0,0,357,424
lnphh3,lnphh3,1.0,3,0,3,265,32,226,175,7,222,273
lnphh4,lnphh4,1.0,0,65,8,204,63,0,84,16,95,213
lnphh5,lnphh5,1.0,7,10,10,76,18,65,34,10,0,85
lnphnh0,lnphnh0,1.0,2,51,7,238,50,176,81,7,103,262
lnphnh1,lnphnh1,1.0,8,48,25,127,47,96,60,21,87,113
lnphnh2,lnphnh2,1.0,4,1,1,142,76,114,83,40,109,169
lnphnh3,lnphnh3,1.0,2,61,18,267,59,159,86,14,97,266
lnphnh4,lnphnh4,1.0,4,5,20,160,63,143,85,25,136,181
lnphnh5,lnphnh5,1.0,22,28,36,238,78,227,109,48,140,256
lnphnh6,lnphnh6,1.0,6,39,10,119,19,87,43,10,84,129
lnphnh7,lnphnh7,1.0,2,37/38,4,233,29,97,80,2,85,238
lnphnh8,lnphnh8,1.0,1,50,19,168,44,162,84,18,129,181
lnphnh9,lnphnh9,1.0,10,47,15,212,41,162,81,30,133,211
lnphnh10,lnphnh10,1.0,25,52,37,142,50,122,67,33,120,136
lnphnh11,lnphnh11,1.0,8,46,30,150,32,87,76,17,83,150
lnphnh12,lnphnh12,1.0,12,40,27,129,36,103,57,26,92,130
lnphnh13,lnphnh13,1.0,22,72,55,168,68,130,91,43,123,209
lnphnh14,lnphnh14,1.0,10,34,22,237,32,201,135,28,199,266
lnphnh15,lnphnh15,1.0,1,44,17,128,24,119,52,10,112,131
lnphnh16,lnphnh16,1.0,4,34,9,283,31,175,85,11,141,290
lnphnh17,lnphnh17,1.0,1,4,19,317,34,268,96,15,255,325
lnphnh18,lnphnh18,1.0,31,28,106,245,112,222,123,105,188,247
lnphnh19,lnphnh19,1.0,8,166,41,320,164,229,191,99,201,331
lnphnh20,lnphnh20,1.0,8,86,19,187,84,169,130,60,148,196
lnphnh21,lnphnh21,1.0,20,73,37,2424,38,1927,1909,33,1921,2447
lnphnh22,lnphnh22,1.0,11,67,29,619,62,482,138,40,307,621
lnphnh23,lnphnh23,1.0,1,1,11,200,110,193,160,6,191,217
lnphnh24,lnphnh24,1.0,2,51,3,252,50,248,71,17,101,266
lnphnh25,lnphnh25,1.0,8,134,27,229,126,204,140,21,188,232
lnphnh26,lnphnh26,1.0,9,38,18,124,33,96,66,26,83,153
lnphnh27,lnphnh27,1.0,3,34,22,168,29,128,96,20,120,202
lnphnh28,lnphnh28,1.0,16,105,74,166,91,125,113,70,120,174
lnphnh29,lnphnh29,1.0,7,38,32,143,34,137,50,17,118,170
lnphnh30,lnphnh30,1.0,1,84,62,174,70,170,112,58,136,177
lnphnh31,lnphnh31,1.0,20,73,44,255,67,213,208,43,212,288
lnphnh32,lnphnh32,1.0,2,46,9,324,44,294,205,9,268,348
lnphnh33,lnphnh33,1.0,15,27,20,198,26,109,60,24,92,207
lnphnh34,lnphnh34,1.0,1,82,63,171,60,113,107,59,109,177
lnphnh35,lnphnh35,1.0,8,1,13,197,20,147,104,11,145,205
lnphnh36,lnphnh36,1.0,3,29,17,95,21,89,48,14,88,156
lnphnh37,lnphnh37,1.0,8,45,25,239,43,160,66,20,84,253
lnphnh38,lnphnh38,1.0,28,30,30,299,213,279,237,36,243,313
lnphnh39,lnphnh39,1.0,13,15,47,188,72,154,90,55,146,192
lnphnh40,lnphnh40,1.0,7,10,23,111,30,94,65,14,74,116
lnphnh41,lnphnh41,1.0,4,96,16,405,88,297,138,11,168,407
lnphnh42,lnphnh42,1.0,8,38,21,283,26,51,140,22,178,288
lnphnh43,lnphnh43,1.0,12,33,14,76,28,54,36,26,41,85
